Gene	MobiDBLite	Coils	interpro	GO	CDD	Gene3D	SUPERFAMILY	ProSiteProfiles	Pfam	SMART	ProSitePatterns	PATHWAY	TIGRFAM	PRINTS	Hamap	PIRSF	SFLD
PNP51219.1	NA	Coil	IPR010730	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA
PNP47043.1	mobidb-lite	NA	IPR036259	NA	cd17327	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46430.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48191.1	NA	Coil	IPR002523	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	G3DSA:1.20.58.340	SSF144083	NA	PF01544	NA	NA	NA	NA	NA	NA	NA	NA
PNP51997.1	mobidb-lite	NA	IPR004000	NA	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.60	SSF53067	NA	PF00022	SM00268	NA	NA	NA	NA	NA	NA	NA
PNP49498.1	mobidb-lite	NA	IPR023041	NA	cd00637	G3DSA:1.20.1070.10	SSF81321	NA	PF11710	NA	NA	NA	NA	NA	NA	NA	NA
PNP55628.1	NA	NA	IPR009571	GO:0005886	cd06179	NA	NA	NA	PF06687	NA	NA	NA	NA	NA	NA	NA	NA
PNP57407.1	NA	Coil	IPR008580	NA	NA	G3DSA:3.90.1720.30	NA	NA	PF05903	NA	NA	NA	NA	NA	NA	NA	NA
PNP60199.1	mobidb-lite	Coil	IPR014017	GO:0005524;GO:0016787	cd18807;cd17932	G3DSA:3.40.50.300;G3DSA:1.10.10.160;G3DSA:1.10.486.10	SSF52540	PS51217;PS51198;PS50132	PF13361;PF00580	NA	NA	NA	NA	NA	NA	NA	NA
PNP59182.1	NA	NA	IPR029019	GO:0004563;GO:0005975;GO:0004553	cd06562	G3DSA:3.20.20.80	SSF51445;SSF55545	NA	PF14845;PF00728	NA	NA	KEGG: 00511+3.2.1.52|KEGG: 00513+3.2.1.52|KEGG: 00520+3.2.1.52|KEGG: 00531+3.2.1.52|KEGG: 00603+3.2.1.52|KEGG: 00604+3.2.1.52|MetaCyc: PWY-6902|MetaCyc: PWY-7822|MetaCyc: PWY-7883|Reactome: R-HSA-1660662|Reactome: R-HSA-2022857|Reactome: R-HSA-2024101|Reactome: R-HSA-2160916	NA	PR00738	NA	PIRSF001093	NA
PNP47134.1	mobidb-lite	NA	IPR006593	NA	cd08760	NA	NA	PS50939	PF03188	SM00665	NA	NA	NA	NA	NA	NA	NA
PNP49112.1	mobidb-lite	NA	IPR008979	NA	NA	G3DSA:2.60.120.470	SSF49785	PS51532	PF06201	NA	NA	NA	NA	NA	NA	NA	NA
PNP54369.1	mobidb-lite	NA	IPR007860	GO:0005524;GO:0006298;GO:0030983	NA	G3DSA:3.40.50.300;G3DSA:3.30.420.110;G3DSA:1.10.1420.10;G3DSA:3.40.1170.10	SSF48334;SSF52540;SSF53150;SSF55271	NA	PF05188;PF05192;PF01624;PF00488	SM00533;SM00534	PS00486	Reactome: R-HSA-5632928	NA	NA	NA	PIRSF037677	NA
PNP57166.1	NA	NA	IPR007274	GO:0005375;GO:0016021;GO:0035434	NA	NA	NA	NA	PF04145	NA	NA	NA	NA	NA	NA	NA	NA
PNP59510.1	NA	NA	IPR002180	GO:0009231;GO:0009349;GO:0000906	cd09209	G3DSA:3.40.50.960	SSF52121	NA	PF00885	NA	NA	KEGG: 00740+2.5.1.78|MetaCyc: PWY-6167|MetaCyc: PWY-6168	TIGR00114	NA	NA	NA	NA
PNP51846.1	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP59453.1	NA	NA	IPR041698	GO:0006479;GO:0008168	cd02440	G3DSA:2.70.160.11;G3DSA:3.40.50.150	SSF53335	PS51678	PF13649	NA	NA	NA	NA	NA	NA	NA	NA
PNP49231.1	NA	Coil	IPR018717	NA	NA	G3DSA:3.30.2130.10	SSF55021	NA	PF10000	NA	NA	NA	NA	NA	NA	NA	NA
PNP51220.1	NA	NA	IPR015797	GO:0016787	cd02883	G3DSA:3.90.79.10	SSF55811	PS51462	PF00293	NA	NA	NA	NA	NA	NA	NA	NA
PNP58098.1	NA	NA	IPR020846	GO:0016021;GO:0022857;GO:0055085	cd17364	NA	SSF103473	PS50850	PF00083	NA	PS00217	NA	NA	NA	NA	NA	NA
PNP49079.1	mobidb-lite	NA	IPR016024	GO:0005515	NA	G3DSA:1.25.10.10	SSF48371	NA	NA	SM00185	NA	NA	NA	NA	NA	NA	NA
PNP42396.1	mobidb-lite	NA	IPR036259	GO:0055085	cd17322	G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	NA	NA	NA	NA	NA	NA
PNP52994.1	mobidb-lite	Coil	IPR007900	GO:0005669;GO:0006352	NA	NA	NA	NA	PF05236	NA	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA
PNP58613.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP57413.1	NA	NA	IPR013785	GO:0003824;GO:0005975	NA	G3DSA:3.20.20.70	SSF51569	NA	PF00923	NA	NA	KEGG: 00030+2.2.1.2|MetaCyc: PWY-1861|MetaCyc: PWY-5723|Reactome: R-HSA-163754|Reactome: R-HSA-6791055|Reactome: R-HSA-6791462|Reactome: R-HSA-71336|Reactome: R-HSA-8950505	NA	NA	NA	NA	NA
PNP56869.1	NA	NA	IPR015366	GO:0008236;GO:0004252;GO:0006508	cd04056;cd11377	G3DSA:3.40.50.200	SSF52743;SSF54897	PS51695	PF09286;PF00082	SM00944	NA	Reactome: R-HSA-381038	NA	NA	NA	NA	NA
PNP49484.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP58322.1	NA	NA	IPR017926	NA	cd01741	G3DSA:3.40.50.880	SSF52317	PS51273	PF00117	NA	NA	NA	NA	NA	NA	NA	NA
PNP59206.1	NA	NA	IPR029058	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	PF00561	NA	NA	NA	NA	NA	NA	NA	NA
PNP54951.1	NA	NA	IPR004000	NA	cd00012	G3DSA:3.30.420.40;G3DSA:3.90.640.10	SSF53067	NA	PF00022	SM00268	PS01132;PS00432;PS00406	NA	NA	PR00190	NA	NA	NA
PNP50546.1	mobidb-lite	NA	IPR011701	GO:0055085	cd17325	G3DSA:1.20.1250.20	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA
PNP51283.1	mobidb-lite	NA	IPR019775	GO:0005515;GO:0003824;GO:0009116	cd00200;cd09008	G3DSA:3.40.50.1580;G3DSA:1.25.40.20;G3DSA:2.130.10.10	SSF50978;SSF48403;SSF53167	PS50088;PS50294;PS50082;PS50297	PF00400;PF12796	SM00320;SM00248	PS00678	NA	NA	PR00320	NA	NA	NA
PNP51783.1	mobidb-lite	NA	IPR036322	GO:0005515	NA	G3DSA:2.130.10.10	SSF50978	NA	NA	SM00320	NA	NA	NA	NA	NA	NA	NA
PNP53736.1	NA	NA	IPR002641	GO:0006629;GO:0004806	cd07229	G3DSA:3.40.1090.10	SSF52151	PS51635	PF01734;PF11815	NA	NA	NA	NA	NA	NA	NA	NA
PNP55130.1	mobidb-lite	NA	IPR014801	GO:0003712;GO:0006357;GO:0016592	NA	NA	NA	NA	PF08689	NA	NA	NA	NA	NA	NA	NA	NA
PNP51634.1	NA	NA	IPR011701	GO:0055085	cd17394	G3DSA:1.20.1250.20	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA
PNP60534.1	mobidb-lite	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	cd05574	G3DSA:3.30.200.20;G3DSA:1.10.510.10	SSF56112	PS50011	PF00069	SM00220	PS00108	NA	NA	NA	NA	NA	NA
PNP52145.1	mobidb-lite	Coil	IPR000198	GO:0007165	cd09395;cd00159;cd09394	G3DSA:1.10.555.10;G3DSA:2.10.110.10	SSF48350	PS50238;PS50023	PF00620;PF00412	SM00324;SM00132	PS00478	Reactome: R-HSA-194840	NA	NA	NA	NA	NA
PNP49667.1	NA	NA	IPR002347	NA	cd05233	G3DSA:3.40.50.720	SSF51735	NA	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA
PNP51168.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP52286.1	mobidb-lite	NA	IPR020846	GO:0055085	cd17476	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	SSF103473	PS50850	PF07690	NA	NA	NA	NA	NA	NA	NA	NA
PNP51282.1	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP52913.1	mobidb-lite	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	cd00067;cd12148	G3DSA:4.10.240.10	SSF57701	PS50048	PF04082;PF00172	SM00066;SM00906	NA	NA	NA	NA	NA	NA	NA
PNP53591.1	NA	Coil	IPR031348	NA	NA	NA	NA	NA	PF17111	NA	NA	NA	NA	NA	NA	NA	NA
PNP47807.1	mobidb-lite	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067;cd12148	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066	PS00463	NA	NA	NA	NA	NA	NA
PNP50060.1	mobidb-lite	NA	IPR000300	GO:0046856	NA	G3DSA:3.60.10.10	SSF56219	NA	NA	SM00128	NA	NA	NA	NA	NA	NA	NA
PNP56925.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44467.1	mobidb-lite	NA	IPR036640	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	cd03250;cd18580;cd18579	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SSF90123;SSF52540	PS50929;PS50893	PF00664;PF00005	SM00382	PS00211	NA	NA	NA	NA	NA	NA
PNP52411.1	mobidb-lite	Coil	IPR004827	GO:0003700;GO:0006355	cd14710	G3DSA:1.20.5.170	SSF57959	PS50217	PF07716	SM00338	NA	NA	NA	NA	NA	NA	NA
PNP51549.1	mobidb-lite	NA	IPR029071	GO:0000045;GO:0005737	cd01612	G3DSA:3.10.20.90	SSF54236	NA	PF04110	NA	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-5205685|Reactome: R-HSA-8934903|Reactome: R-HSA-936440	NA	NA	NA	NA	NA
PNP59490.1	NA	NA	IPR038763	NA	NA	G3DSA:3.90.1640.10	SSF64182	NA	PF01368	NA	NA	NA	NA	NA	NA	NA	NA
PNP56874.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP49905.1	mobidb-lite	Coil	IPR020846	GO:0055085	cd17330	NA	SSF103473	PS50850	PF07690	NA	NA	NA	NA	NA	NA	NA	NA
PNP52941.1	mobidb-lite	NA	IPR014721	GO:0003723;GO:0003735;GO:0005840;GO:0006412	NA	G3DSA:3.30.160.20;G3DSA:3.30.230.10	SSF54211;SSF54768	PS50881	PF00333;PF03719	NA	NA	NA	NA	NA	NA	NA	NA
PNP59515.1	mobidb-lite	NA	IPR034922	GO:0003676	cd06145	G3DSA:3.30.420.10	SSF53098	NA	PF00929	SM00479	NA	NA	NA	NA	NA	NA	NA
PNP54373.1	mobidb-lite	NA	IPR001025	GO:0003682	NA	G3DSA:2.30.30.490	NA	PS51038	PF01426	SM00439	NA	NA	NA	NA	NA	NA	NA
PNP58147.1	mobidb-lite	NA	IPR000086	GO:0016787	cd02883	G3DSA:3.90.79.10	SSF55811	PS51462	PF00293	NA	NA	NA	NA	NA	NA	NA	NA
PNP49475.1	mobidb-lite	NA	IPR001806	GO:0003924;GO:0005525;GO:0007165;GO:0016020	NA	G3DSA:3.40.50.300	SSF52540	PS51421	PF00071	SM00174;SM00173;SM00175	NA	NA	TIGR00231	PR00449	NA	NA	NA
PNP52084.1	mobidb-lite	Coil	IPR000679	GO:0006355;GO:0008270;GO:0043565	cd00202	G3DSA:3.30.50.10	SSF57716	PS50114	PF00320	SM00401	PS00344	Reactome: R-HSA-383280	NA	PR00619	NA	NA	NA
PNP53312.1	NA	NA	IPR027248	GO:0008380;GO:0030532	cd01720	G3DSA:2.30.30.100	SSF50182	NA	PF01423	SM00651	NA	Reactome: R-HSA-191859|Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA	NA	NA
PNP60164.1	mobidb-lite	NA	IPR013904	NA	NA	NA	NA	NA	PF08595	NA	NA	NA	NA	NA	NA	NA	NA
PNP51229.1	NA	NA	IPR000182	GO:0008080	cd04301	G3DSA:3.40.630.30	SSF55729	PS51186	PF00583	NA	NA	NA	NA	NA	NA	NA	NA
PNP52525.1	mobidb-lite	NA	IPR029063	GO:0008168;GO:0032259	NA	G3DSA:3.40.50.150	SSF53335	NA	PF01728	NA	NA	NA	NA	NA	NA	NA	NA
PNP58936.1	NA	NA	IPR002347	NA	NA	G3DSA:3.40.50.720	SSF51735	NA	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA
PNP53910.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP58652.1	mobidb-lite	NA	IPR002220	GO:0016829;GO:0003824	cd00408	G3DSA:3.20.20.70	SSF51569	NA	PF00701	SM01130	NA	NA	NA	PR00146	NA	PIRSF001365	NA
PNP51763.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP54961.1	mobidb-lite	Coil	IPR009449		NA	NA	SSF144284	NA	PF06428	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA
PNP55588.1	NA	NA	IPR036908	NA	NA	G3DSA:2.40.40.10	SSF50685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP50980.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP52044.1	mobidb-lite	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172;PF11951	SM00066	PS00463	NA	NA	NA	NA	NA	NA
PNP53116.1	NA	NA	IPR002921	GO:0006629	cd00519	G3DSA:3.40.50.1820	SSF53474	NA	PF01764	NA	NA	Reactome: R-HSA-426048	NA	NA	NA	NA	NA
PNP53151.1	NA	NA	IPR000644	NA	cd04608	G3DSA:3.10.580.10	SSF54631	PS51371	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP58572.1	mobidb-lite	NA	IPR007651		NA	NA	NA	NA	PF04571	NA	NA	KEGG: 00561+3.1.3.4|KEGG: 00564+3.1.3.4|KEGG: 00565+3.1.3.4|KEGG: 00600+3.1.3.4|MetaCyc: PWY-6453|MetaCyc: PWY-7782|MetaCyc: PWY-8051|MetaCyc: PWY-8052|MetaCyc: PWY-8053|MetaCyc: PWY-8055|Reactome: R-HSA-1483191|Reactome: R-HSA-1483213|Reactome: R-HSA-4419969|Reactome: R-HSA-75109	NA	NA	NA	NA	NA
PNP56416.1	mobidb-lite	NA	NA	NA	NA	G3DSA:1.10.10.2120;G3DSA:3.60.60.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP52836.1	mobidb-lite	NA	IPR033121	NA	NA	G3DSA:2.40.70.10	SSF50630	PS51767	PF00026	NA	NA	NA	NA	NA	NA	NA	NA
PNP50294.1	NA	NA	IPR008775	NA	NA	G3DSA:2.60.120.620	SSF51197	NA	PF05721	NA	NA	NA	NA	NA	NA	NA	NA
PNP58166.1	mobidb-lite	NA	IPR035821	GO:0005515;GO:0008092;GO:0030674;GO:0042802;GO:0043130	cd11775;cd11773	G3DSA:2.30.30.40;G3DSA:2.30.30.700;G3DSA:1.10.150.50	SSF50044	PS50002	PF00018;PF03983;PF14604	SM00326	NA	NA	NA	PR00452	NA	NA	NA
PNP47035.1	mobidb-lite	NA	IPR014043	GO:0016740;GO:0003824;GO:0031177	cd02440;cd00833	G3DSA:1.10.1200.10;G3DSA:3.30.70.3290;G3DSA:3.40.366.10;G3DSA:3.40.47.10;G3DSA:3.10.129.110;G3DSA:3.40.50.150	SSF53901;SSF55048;SSF52151;SSF53335;SSF47336	PS50075	PF00698;PF02801;PF00109;PF00550;PF18558;PF08242	SM00827;SM00823;SM00825	PS00012	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	NA	NA	NA	NA	NA
PNP49898.1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP49359.1	mobidb-lite	Coil	IPR002125	GO:0003824	cd01285	G3DSA:3.40.140.10	SSF53927	PS51747	PF00383	NA	NA	NA	NA	NA	NA	NA	NA
PNP51310.1	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP53816.1	NA	NA	IPR014044	NA	cd05382	G3DSA:3.40.33.10	SSF55797	NA	PF00188	SM00198	NA	NA	NA	PR00837	NA	NA	NA
PNP50367.1	NA	NA	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0046373;GO:0046556	cd08987	G3DSA:2.115.10.20	SSF75005;SSF57180	PS51164	PF00734;PF03664	SM00236	PS00562	KEGG: 00520+3.2.1.55	NA	NA	NA	NA	NA
PNP56460.1	mobidb-lite	NA	IPR001849	NA	cd13311	G3DSA:1.20.1270.60;G3DSA:2.30.29.30	SSF50729;SSF103657	PS50003	NA	SM00233	NA	NA	NA	NA	NA	NA	NA
PNP45745.1	NA	NA	IPR011050	NA	NA	G3DSA:2.160.20.10	SSF51126	NA	PF12708	NA	NA	NA	NA	NA	NA	NA	NA
PNP52456.1	NA	NA	IPR016191	GO:0003723;GO:0004540;GO:0004521	cd00606	G3DSA:3.10.450.30	SSF53933	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF037430	NA
PNP56722.1	mobidb-lite	Coil	IPR003959	GO:0005524	cd00009	G3DSA:3.40.50.300	SSF52540	NA	PF00004	SM00382	NA	NA	NA	NA	NA	NA	NA
PNP48832.1	NA	NA	IPR002110	GO:0005515	NA	G3DSA:1.25.40.20	SSF48403	PS50088;PS50297	PF13857;PF00023;PF12796	SM00248	NA	NA	NA	PR01415	NA	NA	NA
PNP56748.1	NA	NA	IPR025110	GO:0006629;GO:0030729;GO:0003824	cd05943	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	SSF56801	NA	PF13193;PF16177;PF00501	NA	PS00455	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857	TIGR01217	NA	NA	NA	NA
PNP52285.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP54773.1	NA	NA	IPR036838	NA	NA	G3DSA:3.30.70.600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP55925.1	mobidb-lite	Coil	IPR001374	GO:0003676	cd12253	G3DSA:3.30.70.330;G3DSA:3.30.1370.50	SSF54928;SSF82708	PS51061;PS50102	PF01424;PF00076	SM00360	NA	NA	NA	NA	NA	NA	NA
PNP54581.1	NA	NA	IPR000210	GO:0005515	cd18186	NA	SSF54695	PS50097	PF00651	SM00225	NA	NA	NA	NA	NA	NA	NA
PNP55686.1	mobidb-lite	Coil	IPR017946	GO:0006629;GO:0008081;GO:0004435;GO:0007165;GO:0035556	cd08598	G3DSA:3.20.20.190	SSF51695	PS50008;PS50007	PF00388;PF00387	SM00149;SM00148	NA	KEGG: 00562+3.1.4.11|KEGG: 04070+3.1.4.11|MetaCyc: PWY-6351|MetaCyc: PWY-6367|MetaCyc: PWY-7039|MetaCyc: PWY-8052|Reactome: R-HSA-1855204	NA	PR00390	NA	NA	NA
PNP56679.1	NA	NA	IPR007740	GO:0003735;GO:0005840;GO:0006412	NA	G3DSA:3.30.780.10	NA	NA	PF05046	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA
PNP52609.1	mobidb-lite	NA	IPR041804	GO:0005515	cd14369	G3DSA:1.10.8.10;G3DSA:1.20.1050.80;G3DSA:1.10.246.120	SSF109993;SSF46934	PS51140;PS51205	PF02204;PF18151;PF02845	SM00546;SM00167	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA
PNP52998.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP52965.1	NA	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	SSF48264	NA	PF00067	NA	PS00086	NA	NA	PR00463;PR00385	NA	NA	NA
PNP53606.1	mobidb-lite	NA	IPR013883	NA	NA	NA	NA	NA	PF08574	NA	NA	NA	NA	NA	NA	NA	NA
PNP59474.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48003.1	mobidb-lite	Coil	IPR001650	GO:0004525;GO:0006396;GO:0016891;GO:0003676;GO:0005524	cd00593;cd18034;cd18802	G3DSA:3.30.160.380;G3DSA:3.40.50.300;G3DSA:1.10.1520.10	SSF52540;SSF69065;SSF54768	PS50142;PS51192;PS51327;PS51194;PS50137	PF00271;PF03368;PF00270;PF00636	SM00535;SM00490;SM00487	NA	Reactome: R-HSA-203927	NA	NA	NA	NA	NA
PNP58156.1	NA	NA	NA	NA	NA	NA	NA	NA	PF13233	NA	NA	NA	NA	NA	NA	NA	NA
PNP49897.1	mobidb-lite	NA	IPR003578	GO:0005525;GO:0007264;GO:0003924	NA	G3DSA:3.40.50.300	SSF52540	PS51420	PF00071	SM00174;SM00173;SM00175	NA	Reactome: R-HSA-194840	TIGR00231	PR00449	NA	NA	NA
PNP54923.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP57273.1	NA	NA	IPR017986	GO:0005515;GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	G3DSA:2.130.10.10;G3DSA:4.10.240.10	SSF50978;SSF57701	PS50294;PS50048;PS50082	PF00400;PF00172	SM00320;SM00066	PS00463	NA	NA	NA	NA	NA	NA
PNP47987.1	NA	NA	IPR000073	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	PF00561	NA	NA	NA	NA	NA	NA	NA	NA
PNP49147.1	NA	NA	IPR011041	GO:0003824	NA	G3DSA:2.120.10.30	SSF50952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP59092.1	NA	NA	NA	NA	NA	G3DSA:3.40.190.10	SSF53850	NA	PF13343	NA	NA	NA	NA	NA	NA	NA	NA
PNP53384.1	mobidb-lite	NA	IPR036259	GO:0055085	cd17502	G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	NA	NA	NA	NA	NA	NA
PNP53485.1	mobidb-lite	Coil	IPR025122	NA	NA	NA	NA	NA	PF13257	NA	NA	NA	NA	NA	NA	NA	NA
PNP59209.1	mobidb-lite	Coil	IPR036770	GO:0005515	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.1820	SSF48371;SSF48403;SSF53474	PS50088;PS50297	PF05057;PF12796	SM00248	NA	NA	NA	PR01415	NA	NA	NA
PNP49938.1	NA	NA	IPR023395	GO:0005347;GO:0055085	NA	G3DSA:1.50.40.10	SSF103506	PS50920	PF00153	NA	NA	NA	NA	PR00926	NA	NA	NA
PNP53503.1	mobidb-lite	NA	IPR032675	NA	NA	G3DSA:3.80.10.10	SSF52047	NA	NA	SM00367	NA	NA	NA	NA	NA	NA	NA
PNP55136.1	mobidb-lite	Coil	IPR028124	NA	NA	NA	NA	NA	PF15477	NA	NA	NA	NA	NA	NA	NA	NA
PNP56406.1	NA	NA	IPR036188	GO:0016491;GO:0055114;GO:0020037;GO:0051536;GO:0051537;GO:0008942	NA	G3DSA:3.50.50.60;G3DSA:1.10.10.1100;G3DSA:3.30.413.10;G3DSA:2.102.10.10	SSF56014;SSF55124;SSF51905;SSF50022	PS51296	PF01077;PF13806;PF07992;PF04324;PF03460	NA	PS00365	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683	TIGR02378	PR00397;PR00368	NA	NA	NA
PNP47161.1	mobidb-lite	NA	IPR004000	NA	NA	G3DSA:3.90.640.10;G3DSA:3.30.420.40	SSF53067	NA	PF00022	NA	NA	NA	NA	NA	NA	NA	NA
PNP51467.1	NA	Coil	IPR000727	GO:0016020;GO:0016192;GO:0005484;GO:0006886	cd15845	G3DSA:1.20.58.70	SSF47661	PS50192	PF05739	SM00397	PS00914	NA	NA	NA	NA	NA	NA
PNP55489.1	NA	NA	IPR023214	NA	NA	G3DSA:3.40.50.1000;G3DSA:3.90.1470.20	SSF56784	NA	PF12710	NA	NA	NA	TIGR01488	NA	NA	NA	NA
PNP57151.1	mobidb-lite	NA	IPR035979	GO:0003676;GO:0003723;GO:0005634;GO:0006397	cd12232	G3DSA:3.30.70.330	SSF54928	PS50102	PF00076	SM00360;SM00361	NA	Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856	TIGR01642	NA	NA	NA	NA
PNP44820.1	NA	NA	IPR001608		NA	G3DSA:3.20.20.10;G3DSA:2.40.37.20	SSF51419	NA	PF01168;PF14031	SM01119	NA	KEGG: 00473+5.1.1.1|MetaCyc: PWY-7383|MetaCyc: PWY-8040	NA	NA	NA	NA	NA
PNP57131.1	NA	NA	IPR012677	GO:0003676;GO:0031124	NA	G3DSA:3.30.70.330;G3DSA:1.10.20.70;G3DSA:1.25.40.630	SSF54928	PS50102	PF14327;PF00076;PF14304	SM00360	NA	Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856|Reactome: R-HSA-77595	NA	NA	NA	NA	NA
PNP49243.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP54345.1	mobidb-lite	Coil	IPR037516		NA	NA	NA	PS50211	PF08616;PF07792	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA
PNP51356.1	NA	NA	IPR013216	GO:0008168;GO:0016435;GO:0070476	cd02440	G3DSA:3.40.50.150	SSF53335	NA	PF08241;PF12589	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA
PNP57492.1	NA	NA	IPR004045	GO:0005515	cd00570;cd00299	G3DSA:3.40.30.10	SSF52833	PS50404;PS50405	PF13417	NA	NA	NA	NA	NA	NA	NA	NA
PNP55794.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP51133.1	NA	NA	IPR014472	GO:0008654;GO:0016020;GO:0016780	NA	G3DSA:1.20.120.1760	NA	NA	PF01066	NA	PS00379	NA	NA	NA	NA	PIRSF015665	NA
