Gene	CDD	interpro	GO	Pfam	Gene3D	SUPERFAMILY	SMART	MobiDBLite	PATHWAY	ProSiteProfiles	ProSitePatterns	PRINTS	Coils	TIGRFAM	PIRSF	Hamap	SFLD
PON26142.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON20015.1	cd05227	IPR036291	GO:0003824;GO:0050662	PF01370	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25943.1	cd04878	IPR004789	GO:0009082;GO:1990610	PF01842;PF10369	G3DSA:3.30.70.1150;G3DSA:3.30.70.260	SSF55021	NA	NA	KEGG: 00290+2.2.1.6|KEGG: 00650+2.2.1.6|KEGG: 00660+2.2.1.6|KEGG: 00770+2.2.1.6|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5938|MetaCyc: PWY-5939|MetaCyc: PWY-6389|MetaCyc: PWY-7111	PS51671	NA	NA	NA	TIGR00119	NA	NA	NA
PON21842.1	NA	IPR001229	NA	PF12044;PF01419	G3DSA:2.100.10.30	SSF51101	SM00915	mobidb-lite	NA	PS51752	NA	NA	NA	NA	NA	NA	NA
PON23125.1	NA	IPR022044	NA	PF12255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26269.1	NA	IPR001303	NA	PF00596	G3DSA:3.40.225.10	SSF53639	SM01007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24120.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25036.1	NA	IPR001139	GO:0004348;GO:0006665	PF02055;PF17189	G3DSA:2.60.40.1180;G3DSA:3.20.20.80	SSF51445	NA	NA	Reactome: R-HSA-1660662|Reactome: R-HSA-390471	NA	NA	PR00843	NA	NA	NA	NA	NA
PON28642.1	NA	IPR018506	GO:0020037	PF00173	G3DSA:3.10.120.10	SSF55856	SM01117	NA	NA	PS50255	PS00191	PR00363	NA	NA	NA	NA	NA
PON21673.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27557.1	NA	IPR013057	NA	PF01490	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26836.1	NA	IPR036691	GO:0005515;GO:0046856	PF03372	G3DSA:2.130.10.10;G3DSA:3.60.10.10	SSF56219;SSF50978	SM00128	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON23375.1	cd00570;cd00299;cd18119	IPR036249	GO:0005515	PF00043;PF13417	G3DSA:3.40.30.110;G3DSA:1.20.1050.10	SSF52833;SSF47616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23338.1	cd17352	IPR036259	GO:0055085	PF07690	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
PON21922.1	cd00086	IPR013087	GO:0003676;GO:0003677;GO:0006355	PF05920	G3DSA:1.10.10.60;G3DSA:3.30.160.60	SSF46689	SM00355;SM00389	mobidb-lite	NA	PS50071;PS50157	PS00028	NA	NA	NA	NA	NA	NA
PON20039.1	NA	IPR005162	NA	PF03732	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON29720.1	cd14334;cd14079	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	PF00069;PF16579;PF08587	G3DSA:1.10.510.10;G3DSA:3.30.310.80	SSF56112;SSF103243	SM00220	mobidb-lite	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PS50011	PS00107;PS00108	NA	NA	NA	NA	NA	NA
PON22084.1	NA	IPR036188	GO:0071949	PF01494	G3DSA:3.30.9.30;G3DSA:3.50.50.60	SSF51905	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA
PON24451.1	cd08297	IPR036291	GO:0055114;GO:0016491;GO:0008270	PF00107;PF08240	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF51735;SSF50129	SM00829	NA	Reactome: R-HSA-71384	NA	PS00059	NA	NA	NA	NA	NA	NA
PON23107.1	cd00067;cd12148	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	G3DSA:4.10.240.10	SSF57701	SM00066	NA	NA	PS50048	PS00463	NA	Coil	NA	NA	NA	NA
PON28123.1	cd07061	IPR033379	NA	PF00328	G3DSA:3.40.50.1240	SSF53254	NA	mobidb-lite	NA	NA	PS00616;PS00778	NA	NA	NA	NA	NA	NA
PON23428.1	cd16014	IPR007312	GO:0016788;GO:0003824	PF04185	G3DSA:3.40.720.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29442.1	cd18186	IPR036427	GO:0005515	PF00651;PF00439	G3DSA:1.20.920.10;G3DSA:3.30.710.10	SSF54695;SSF47370	SM00297	mobidb-lite	NA	PS50014;PS50097	NA	PR00503	NA	NA	NA	NA	NA
PON20480.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28347.1	cd06467	IPR008978	NA	PF04969	G3DSA:2.60.40.790	SSF49764	NA	NA	NA	PS51203	NA	NA	NA	NA	NA	NA	NA
PON26897.1	NA	IPR008253	GO:0016020	PF01284	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30495.1	NA	IPR029058	GO:0004185;GO:0006508	PF00450	G3DSA:3.40.50.1820;G3DSA:1.10.287.410	SSF53474	NA	NA	NA	NA	PS00131	PR00724	NA	NA	NA	NA	NA
PON29829.1	NA	IPR004000	NA	PF00022	G3DSA:3.30.420.40;G3DSA:3.90.640.10;G3DSA:3.30.420.580	SSF53067	SM00268	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20880.1	NA	IPR018108	NA	PF00153	G3DSA:1.50.40.10	SSF103506	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA
PON21564.1	NA	IPR010458	GO:0016106;GO:0045482;GO:0016838	PF06330	G3DSA:1.10.600.10	SSF48576	NA	NA	KEGG: 00909+4.2.3.6|MetaCyc: PWY-7711	NA	NA	NA	NA	NA	PIRSF001388	NA	SFLDS00005;SFLDG01021
PON28265.1	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	G3DSA:3.30.200.20;G3DSA:1.10.510.10	SSF56112	SM00220	mobidb-lite	NA	PS50011	PS00108	NA	NA	NA	NA	NA	NA
PON25147.1	cd01446;cd18533	IPR016130	GO:0004725;GO:0016311;GO:0006470;GO:0016791	PF00581;PF00102	G3DSA:3.40.250.10	SSF52821;SSF52799	SM00450;SM00194;SM00404	mobidb-lite	NA	PS50055;PS50206;PS50056	PS00383	PR00700	Coil	NA	NA	NA	NA
PON30177.1	NA	IPR001494	GO:0006886;GO:0008536;GO:0005515;GO:0003677;GO:0003887;GO:0006260	PF18018;PF03810;PF08506;PF03378;PF04042	G3DSA:2.40.50.430;G3DSA:1.25.10.10;G3DSA:3.60.21.50	SSF48371	SM00913	mobidb-lite	Reactome: R-HSA-110314|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	PS50166	NA	NA	NA	NA	NA	NA	NA
PON25250.1	NA	IPR019787	NA	NA	G3DSA:3.30.40.10	SSF57903	SM00249	mobidb-lite	NA	PS50016	PS01359	NA	Coil	NA	NA	NA	NA
PON27460.1	NA	IPR022885	GO:0016651;GO:0055114;GO:0048038;GO:0051287	PF00346	G3DSA:1.10.645.20	SSF56762	NA	mobidb-lite	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	PS00535	NA	NA	TIGR01962	NA	MF_01358	NA
PON28793.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PF00067	G3DSA:1.10.630.10	SSF48264	NA	NA	NA	NA	PS00086	PR00465;PR00385	NA	NA	NA	NA	NA
PON21633.1	NA	IPR001509	GO:0003824;GO:0050662	PF01370	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30592.1	NA	IPR001849	NA	PF15406	G3DSA:2.30.29.30	SSF50729	SM00233	mobidb-lite	NA	PS50003	NA	NA	Coil	NA	NA	NA	NA
PON23626.1	NA	IPR036412	NA	PF12710	NA	SSF56784	NA	NA	NA	NA	NA	NA	NA	TIGR01488	NA	NA	NA
PON30546.1	NA	IPR036291	NA	PF00106	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA
PON28287.1	NA	IPR022991	GO:0003723;GO:0003735;GO:0022625	PF01248	G3DSA:3.30.1330.30	SSF55315	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS00993;PS00709	NA	NA	NA	NA	MF_00481	NA
PON28835.1	NA	IPR029058	NA	PF12697	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23731.1	cd18314	IPR000210	GO:0005515	PF00651	G3DSA:3.30.710.10	SSF54695	NA	NA	NA	PS50097	NA	NA	NA	NA	NA	NA	NA
PON20962.1	cd02585	IPR005002	GO:0004615;GO:0009298	PF03332	G3DSA:3.30.1240.20;G3DSA:3.40.50.1000	SSF56784	NA	NA	KEGG: 00051+5.4.2.8|KEGG: 00520+5.4.2.8|MetaCyc: PWY-5659|MetaCyc: PWY-7456|MetaCyc: PWY-7586|MetaCyc: PWY-882|Reactome: R-HSA-446205	NA	NA	NA	NA	TIGR01484	NA	NA	SFLDS00003;SFLDF00445
PON21644.1	cd01390	IPR036910	NA	PF09011	G3DSA:1.10.30.10	SSF47095	SM00398	mobidb-lite	NA	PS50118	NA	NA	NA	NA	NA	NA	NA
PON23394.1	NA	IPR015422	GO:0003824;GO:0005737;GO:0006569;GO:0009435;GO:0030170;GO:0030429	PF00266	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SSF53383	NA	NA	KEGG: 00380+3.7.1.3|MetaCyc: PWY-5651|MetaCyc: PWY-6309|Reactome: R-HSA-71240	NA	NA	NA	NA	TIGR01814	PIRSF038800	MF_01970	NA
PON27230.1	cd00866	IPR036610	NA	PF01161	G3DSA:3.90.280.10	SSF49777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27652.1	NA	IPR011118		PF07519	NA	SSF53474	NA	NA	MetaCyc: PWY-6784	NA	NA	NA	NA	NA	NA	NA	NA
PON23845.1	cd00043	IPR023486	GO:0006355;GO:0070897;GO:0017025	PF08271;PF00382	G3DSA:1.10.472.170;G3DSA:1.10.472.10	SSF47954;SSF57783	SM00385	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	PS51134	PS00782	PR00685	NA	NA	NA	NA	NA
PON25875.1	cd00072	IPR003169	GO:0005515	PF02213	G3DSA:3.30.1490.40	SSF55277	SM00444	mobidb-lite	NA	PS50829	NA	NA	Coil	NA	NA	NA	NA
PON26866.1	NA	IPR016024	NA	PF12722	NA	SSF48371	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24920.1	cd18274;cd04515;cd00198	IPR004166	GO:0004674;GO:0005524;GO:0006468	PF02816;PF13519	G3DSA:3.30.200.20;G3DSA:3.40.50.410;G3DSA:3.20.200.10	SSF56112;SSF53300	SM00811	NA	NA	PS51158;PS50234	NA	NA	NA	NA	NA	NA	NA
PON25952.1	NA	IPR027417	NA	NA	NA	SSF52540	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26808.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30725.1	cd03240	IPR038729	GO:0000723;GO:0005634;GO:0006281;GO:0016887;GO:0030870	PF13476	G3DSA:3.40.50.300	SSF57997;SSF52540	NA	mobidb-lite	Reactome: R-HSA-2559586|Reactome: R-HSA-5685938|Reactome: R-HSA-5685939|Reactome: R-HSA-5685942|Reactome: R-HSA-5693548|Reactome: R-HSA-5693554|Reactome: R-HSA-5693565|Reactome: R-HSA-5693568|Reactome: R-HSA-5693571|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473|Reactome: R-HSA-912446	NA	NA	NA	Coil	TIGR00606	NA	NA	NA
PON27572.1	NA	IPR012970	GO:0003824;GO:0005975;GO:0030246;GO:0005576;GO:0016829	PF08124;PF02278	G3DSA:1.50.10.100;G3DSA:2.70.98.10	SSF74650;SSF48230	NA	NA	Reactome: R-HSA-2022923	NA	NA	NA	NA	NA	NA	NA	NA
PON22362.1	cd03788	IPR003337	GO:0003824;GO:0005992	PF00982;PF02358	G3DSA:3.30.70.1020;G3DSA:3.40.50.2000;G3DSA:3.40.50.1000	SSF53756;SSF56784	NA	mobidb-lite	KEGG: 00500+2.4.1.15	NA	NA	NA	NA	TIGR00685;TIGR01484	NA	NA	NA
PON24720.1	cd05911	IPR000873	GO:0003824	PF00501;PF13193	G3DSA:3.40.50.980;G3DSA:3.30.300.30;G3DSA:2.30.38.10	SSF56801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26255.1	NA	IPR021047	NA	PF11735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21493.1	cd04188	IPR029044		PF00535	NA	SSF53448	NA	NA	KEGG: 00510+2.4.1.117|Reactome: R-HSA-480985	NA	NA	NA	NA	NA	NA	NA	NA
PON30491.1	NA	IPR018744	NA	PF10056	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22616.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA
PON26891.1	NA	IPR016864	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PIRSF028035	NA	NA
PON30423.1	NA	IPR005225	GO:0005525;GO:0003924	PF00071	G3DSA:3.40.50.300	SSF52540	SM00173;SM00175;SM00174	mobidb-lite	NA	PS51419	NA	PR00449	NA	TIGR00231	NA	NA	NA
PON20904.1	cd06822	IPR001608	GO:0030170	PF01168	G3DSA:3.20.20.10	SSF51419	NA	NA	KEGG: 00473+5.1.1.1|MetaCyc: PWY-7383|MetaCyc: PWY-8040	NA	NA	NA	Coil	TIGR00044	PIRSF004848	MF_02087	NA
PON28086.1	cd17755	IPR001208	GO:0003677;GO:0005524;GO:0006270;GO:0003678;GO:0042555;GO:0006260	PF00493;PF14551;PF17855;PF17207	G3DSA:2.20.28.10;G3DSA:3.30.1640.10;G3DSA:3.40.50.300;G3DSA:2.40.50.140	SSF52540;SSF50249	SM00350	mobidb-lite	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	PS50051	PS00847	PR01657;PR01660	NA	NA	NA	NA	NA
PON25783.1	NA	IPR011990	GO:0005515;GO:0043531	PF00931;PF13424	G3DSA:1.25.40.10;G3DSA:3.40.50.300	SSF52540;SSF48452	NA	mobidb-lite	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750|Reactome: R-HSA-9627069	NA	NA	NA	Coil	NA	NA	NA	NA
PON26555.1	cd05374	IPR002347	GO:0016491	PF00106	G3DSA:3.40.50.720	SSF51735	SM00822	NA	NA	NA	PS00061	PR00081;PR00080	NA	NA	NA	NA	NA
PON28280.1	NA	IPR011990	GO:0005515	NA	G3DSA:1.25.40.10	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29410.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23610.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30147.1	cd01857	IPR006073	GO:0005525	PF01926	NA	SSF52540	NA	mobidb-lite	NA	PS51721	NA	NA	NA	NA	NA	NA	NA
PON22535.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26921.1	cd00012	IPR000407	GO:0016787	PF01150	G3DSA:3.30.420.40;G3DSA:3.30.420.150	NA	NA	mobidb-lite	Reactome: R-HSA-8850843	NA	PS01238	NA	NA	NA	NA	NA	NA
PON22574.1	cd17471;cd17502	IPR011701	GO:0055085	PF07690	G3DSA:1.20.1720.10	SSF103473	NA	NA	NA	PS50850	NA	PR01036	NA	NA	NA	NA	NA
PON29169.1	NA	IPR009799	NA	PF07110	G3DSA:3.30.70.100	SSF54909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23992.1	cd00024	IPR016197	NA	NA	G3DSA:3.40.50.12360	SSF54160	NA	mobidb-lite	NA	PS50013	NA	NA	Coil	NA	NA	NA	NA
PON23071.1	NA	IPR021858	NA	PF11951	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28896.1	NA	IPR000073	NA	PF12697	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23817.1	NA	IPR011765	GO:0003824;GO:0046872;GO:0004222;GO:0006508	PF00675;PF05193	G3DSA:3.30.830.10	SSF63411	NA	mobidb-lite	NA	NA	PS00143	NA	NA	NA	NA	NA	NA
PON20074.1	NA	IPR029058	GO:0004185;GO:0006508	PF00450	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30580.1	NA	IPR008030		PF05368	G3DSA:3.40.50.720	SSF51735	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA
PON24054.1	cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	G3DSA:4.10.240.10	SSF57701	SM00066	mobidb-lite	NA	PS50048	PS00463	NA	NA	NA	NA	NA	NA
PON22356.1	NA	IPR004871	GO:0003676;GO:0005634;GO:0005515	PF10433;PF03178	G3DSA:2.130.10.10;G3DSA:3.30.980.30	SSF50978;SSF50998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24267.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON24935.1	NA	IPR010828		PF07247	G3DSA:3.30.559.10	SSF52777	NA	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA
PON20446.1	NA	IPR002076	GO:0016021	PF01151	NA	NA	NA	mobidb-lite	KEGG: 00062+2.3.1.199|MetaCyc: PWY-5080|MetaCyc: PWY-5972|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-7035|MetaCyc: PWY-7036|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|MetaCyc: PWY-8041|Reactome: R-HSA-75876	NA	NA	NA	NA	NA	NA	NA	NA
PON23673.1	NA	IPR021950	GO:0000124;GO:0003712	PF12090	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON23578.1	cd00590	IPR000504	GO:0003676	PF00076	G3DSA:3.30.70.330	SSF54928	SM00360	mobidb-lite	NA	PS50102	NA	NA	NA	NA	NA	NA	NA
PON23635.1	NA	IPR018851		PF10444	NA	NA	NA	mobidb-lite	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-4615885|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA
PON26833.1	cd14943	IPR016696	GO:0030008;GO:0048193	PF04051	G3DSA:3.30.1380.20	SSF111126	NA	mobidb-lite	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	PIRSF017479	NA	NA
PON27497.1	NA	IPR007274	GO:0005375;GO:0016021;GO:0035434	PF04145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28631.1	cd05578	IPR000961	GO:0004674;GO:0005524;GO:0006468;GO:0004672	PF00069	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	SM00220	mobidb-lite	NA	PS51285;PS50011	PS00108;PS00107	NA	Coil	NA	NA	NA	NA
PON25000.1	NA	IPR004813	GO:0055085	PF03169	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR00728	NA	NA	NA
PON26134.1	NA	IPR015168	NA	PF09084	G3DSA:3.40.190.10	SSF53850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21543.1	cd09008	IPR020683	GO:0003824;GO:0009116;GO:0005515	PF12796;PF01048;PF00023	G3DSA:1.25.40.20;G3DSA:3.40.50.300	SSF48403;SSF52540;SSF53167	SM00248	mobidb-lite	NA	PS50088;PS50297	NA	PR01415	NA	NA	NA	NA	NA
PON21300.1	NA	IPR032675	NA	NA	G3DSA:3.80.10.10	SSF52047	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26640.1	NA	IPR036291	NA	PF00106	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA
PON27504.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21490.1	NA	IPR011993	NA	PF04802	G3DSA:2.30.29.30	SSF48371	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22447.1	NA	IPR034085	NA	PF12348	G3DSA:1.25.10.10	SSF48371	SM01349	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23051.1	NA	IPR027417	NA	NA	G3DSA:3.40.50.300	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27847.1	NA	IPR004923	GO:0005381;GO:0016020;GO:0033573;GO:0034755	PF03239	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29578.1	cd01061	IPR033130	GO:0003723;GO:0033897	PF00445	G3DSA:3.90.730.10	SSF55895	NA	NA	Reactome: R-HSA-6798695	NA	PS00531;PS00530	NA	NA	NA	NA	NA	NA
PON27858.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20900.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24133.1	NA	IPR028095	NA	PF14475	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25632.1	NA	IPR001342	GO:0006520;GO:0055114;GO:0016491;GO:0050661;GO:0004412	PF00742;PF03447	G3DSA:3.40.50.720;G3DSA:3.30.360.10	SSF51735;SSF55347	NA	NA	KEGG: 00260+1.1.1.3|KEGG: 00270+1.1.1.3|KEGG: 00300+1.1.1.3	NA	PS01042	NA	NA	NA	PIRSF036497	NA	NA
PON19966.1	cd04496	IPR000424	GO:0003697	PF00436	G3DSA:2.40.50.140	SSF50249	NA	NA	Reactome: R-HSA-2151201	PS50935	NA	NA	NA	NA	PIRSF002070	NA	NA
PON21198.1	NA	IPR002110	GO:0005515	PF12796	G3DSA:1.25.40.20	SSF48403	SM00248	mobidb-lite	NA	PS50088;PS50297	NA	PR01415	NA	NA	NA	NA	NA
PON25898.1	cd18321	IPR011333	GO:0006511	PF03931	G3DSA:3.30.710.10	SSF54695	SM00512	NA	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA
PON28114.1	cd00897	IPR002618	GO:0070569;GO:0003983;GO:0006011	PF01704	G3DSA:3.90.550.10;G3DSA:2.160.10.10	SSF53448	NA	NA	KEGG: 00040+2.7.7.9|KEGG: 00052+2.7.7.9|KEGG: 00500+2.7.7.9|KEGG: 00520+2.7.7.9|KEGG: 00561+2.7.7.9|MetaCyc: PWY-3801|MetaCyc: PWY-6527|MetaCyc: PWY-7238|MetaCyc: PWY-7343|MetaCyc: PWY-7817|Reactome: R-HSA-173599|Reactome: R-HSA-3322077	NA	NA	NA	NA	NA	PIRSF000806	NA	NA
PON22190.1	cd04515	IPR011042	NA	NA	G3DSA:2.120.10.30	SSF63829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23700.1	cd13426	IPR038656	GO:0004190;GO:0006508	PF01828	G3DSA:2.60.120.700	SSF49899	NA	NA	NA	NA	NA	PR00977	NA	NA	NA	NA	NA
PON30383.1	cd00171	IPR000904	GO:0005086;GO:0032012	PF01369;PF15410	G3DSA:1.10.1000.11;G3DSA:2.30.29.30	SSF50729;SSF48425	SM00222	mobidb-lite	NA	PS50190	NA	NA	Coil	NA	NA	NA	NA
PON21461.1	NA	IPR001525	GO:0008168	PF00145	G3DSA:3.90.120.10;G3DSA:3.40.50.150	SSF53335	NA	mobidb-lite	KEGG: 00270+2.1.1.37	PS51679	PS00094	NA	NA	NA	NA	NA	NA
PON20875.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21700.1	NA	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	PF04116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24821.1	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	G3DSA:1.10.630.10	SSF48264	NA	NA	NA	NA	PS00086	PR00385;PR00463	NA	NA	NA	NA	NA
PON23553.1	NA	IPR012475	NA	PF07938	G3DSA:2.120.10.70	SSF89372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29203.1	NA	IPR035967	GO:0003723;GO:0006396	PF01805;PF12230	G3DSA:1.10.10.790	SSF109905	SM00648	NA	Reactome: R-HSA-72163	PS50128	NA	NA	Coil	NA	NA	NA	NA
PON26242.1	NA	IPR036188	GO:0016614;GO:0050660;GO:0055114	PF00732;PF05199	G3DSA:3.30.560.10;G3DSA:3.50.50.60	SSF51905;SSF54373	NA	NA	Reactome: R-HSA-6798163	NA	PS00623;PS00624	NA	NA	NA	PIRSF000137	NA	NA
PON25900.1	NA	IPR001214	GO:0005515	PF00856	G3DSA:3.90.1410.10	SSF82199	NA	NA	NA	PS50280	NA	NA	NA	NA	NA	NA	NA
