Gene	interpro	GO	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	SUPERFAMILY	SMART	Coils	CDD	PRINTS	ProSitePatterns	PATHWAY	PIRSF	TIGRFAM	Hamap	SFLD
PTB56316.1	IPR030374		PS51006	PF01564	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	cd02440	NA	NA	KEGG: 00270+2.5.1.16|KEGG: 00330+2.5.1.16|KEGG: 00480+2.5.1.16|Reactome: R-HSA-351202	NA	NA	NA	NA
PTB55680.1	IPR007720	GO:0006506;GO:0016021;GO:0017176	NA	PF05024	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	NA
PTB54292.1	IPR006045	GO:0045735	NA	PF00190	G3DSA:2.60.120.10	NA	SSF51182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47391.1	IPR036291	NA	NA	NA	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60193.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	PF00172	G3DSA:4.10.240.10	NA	SSF57701	SM00066	NA	cd00067	NA	PS00463	NA	NA	NA	NA	NA
PTB57667.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56195.1	IPR016162	GO:0016491;GO:0055114;GO:0016620	NA	PF00171	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	SSF53720	NA	NA	cd07098	NA	PS00687;PS00070	NA	NA	NA	NA	NA
PTB50862.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	PR01217	NA	NA	NA	NA	NA	NA
PTB54573.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60035.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB48426.1	IPR001680	GO:0005515	PS50082;PS50294	NA	G3DSA:2.130.10.10	mobidb-lite	SSF50978	SM00320	NA	NA	NA	PS00678	NA	NA	NA	NA	NA
PTB55323.1	IPR020846	GO:0055085	PS50850	PF07690	G3DSA:1.20.1250.20	NA	SSF103473	NA	NA	cd17327	NA	NA	NA	NA	NA	NA	NA
PTB57542.1	IPR009305	NA	NA	PF06127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51754.1	IPR001381	GO:0003855;GO:0004764;GO:0055114;GO:0003824	NA	PF01487;PF08501;PF18317;PF01202;PF01488	G3DSA:3.20.20.70;G3DSA:3.40.50.300;G3DSA:3.40.50.10860;G3DSA:3.40.50.720	NA	SSF52540;SSF51735;SSF53223;SSF51569	NA	NA	cd00502;cd01065	NA	NA	KEGG: 00400+4.2.1.10|MetaCyc: PWY-6163|MetaCyc: PWY-6416|MetaCyc: PWY-6707	NA	NA	NA	NA
PTB52901.1	IPR013218	GO:0000444;GO:0007059;GO:0051301	NA	PF08202	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-6798695|Reactome: R-HSA-68877	NA	NA	NA	NA
PTB48094.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0007165	PS50048;PS50003;PS50238	PF00172;PF00169;PF00620	G3DSA:2.30.29.30;G3DSA:4.10.240.10;G3DSA:1.10.555.10	mobidb-lite	SSF50729;SSF57701;SSF48350	SM00233;SM00066;SM00324	Coil	cd00067;cd04400;cd13277;cd12148	NA	PS00463	Reactome: R-HSA-194840	NA	NA	NA	NA
PTB52433.1	IPR035985	GO:0008641	NA	PF00899	G3DSA:3.40.50.720	NA	SSF69572	NA	NA	cd00755	NA	NA	NA	NA	NA	NA	NA
PTB52918.1	IPR036887	GO:0003677	PS51299	NA	G3DSA:3.10.260.10	mobidb-lite	SSF54616	SM01252	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59899.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58091.1	IPR008030		NA	PF05368	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
PTB50788.1	IPR035992	NA	NA	NA	G3DSA:2.80.10.50	NA	SSF50370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61061.1	IPR038725	GO:0048037	NA	PF16242	G3DSA:2.30.110.10	mobidb-lite	SSF50475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57518.1	IPR027417	GO:0003824;GO:0009116	NA	NA	G3DSA:3.40.50.300	NA	SSF52540;SSF53167	NA	Coil	cd09008	NA	NA	NA	NA	NA	NA	NA
PTB47611.1	NA	NA	NA	PF14223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52272.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57207.1	IPR032675	NA	NA	NA	G3DSA:3.80.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47869.1	IPR011051	NA	NA	PF07883	G3DSA:2.60.120.10	NA	SSF51182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60127.1	IPR012334	NA	NA	PF12708	G3DSA:2.160.20.10	NA	SSF51126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52905.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53832.1	IPR000008	NA	PS50004	PF00168	G3DSA:2.60.40.150	mobidb-lite	SSF49562	SM00239	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54984.1	IPR004843	GO:0016787	NA	PF00149	NA	mobidb-lite	SSF56300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50859.1	IPR027268	GO:0004222;GO:0005615;GO:0008270	NA	PF07504;PF02128	G3DSA:1.10.390.10;G3DSA:3.10.450.490;G3DSA:3.10.170.10	NA	SSF55486	NA	NA	cd09596	PR00999	NA	NA	NA	NA	NA	NA
PTB49986.1	IPR001248	GO:0016020;GO:0022857;GO:0055085;GO:0016021	NA	PF02133	G3DSA:1.10.4160.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PIRSF002744	NA	NA	NA
PTB48940.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	PF00172;PF11951	G3DSA:4.10.240.10	NA	SSF57701	SM00066	NA	cd00067	NA	PS00463	NA	NA	NA	NA	NA
PTB53943.1	IPR022233		NA	PF12584	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA	NA
PTB52072.1	IPR020846	GO:0055085	PS50850	PF07690	G3DSA:1.20.1250.20	NA	SSF103473	NA	NA	cd17352	NA	NA	NA	NA	NA	NA	NA
PTB61263.1	IPR001609	GO:0003774;GO:0005524;GO:0016459	PS51456;PS50255	PF00063;PF08766;PF00173;PF03142	NA	mobidb-lite	SSF52540;SSF109715;SSF55856;SSF53448	SM00242;SM01117	NA	cd14879	NA	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	NA
PTB49757.1	IPR002402	GO:0004497;GO:0005506;GO:0020037;GO:0055114;GO:0016705;GO:0016712	NA	PF00067	G3DSA:1.10.630.10	NA	SSF48264	NA	NA	NA	PR00464;PR01239	PS00086	Reactome: R-HSA-211981	NA	NA	NA	NA
PTB58484.1	IPR016156	GO:0016491;GO:0050660;GO:0055114;GO:0009055;GO:0045454	NA	PF07992;PF02852	G3DSA:3.50.50.60;G3DSA:3.30.390.30	NA	SSF55424;SSF51905	NA	NA	NA	PR00368;PR00411	NA	NA	PIRSF000350	NA	NA	NA
PTB57588.1	IPR008972	GO:0009055	NA	PF02298	G3DSA:2.60.40.420	NA	SSF49503	NA	NA	cd00920	NA	NA	NA	NA	NA	NA	NA
PTB57712.1	IPR014710	NA	NA	PF07883	G3DSA:2.60.120.10	NA	SSF51182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55954.1	IPR019791	GO:0004601;GO:0006979;GO:0020037;GO:0055114;GO:0005506;GO:0016705;GO:0016491	PS50292	PF03098	G3DSA:1.10.640.10;G3DSA:1.10.630.10	NA	SSF48113;SSF48264	NA	NA	cd09817	PR00457	NA	KEGG: 00591+1.13.11.60	NA	NA	NA	NA
PTB59718.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB50741.1	IPR028098		NA	PF13579;PF00534	G3DSA:3.40.50.2000	NA	SSF53756	NA	NA	cd03814	NA	NA	Reactome: R-HSA-446193|Reactome: R-HSA-4549349	NA	NA	NA	NA
PTB54387.1	IPR007110	GO:0016614;GO:0055114	PS50835	PF05199	G3DSA:3.50.50.60	mobidb-lite	SSF51905	NA	NA	NA	NA	NA	Reactome: R-HSA-6798163	NA	NA	NA	NA
PTB53529.1	IPR012258	GO:0003997;GO:0005777;GO:0006631;GO:0071949;GO:0016627;GO:0055114;GO:0006635;GO:0050660	NA	PF14749;PF01756	G3DSA:1.20.140.10;G3DSA:1.10.540.10;G3DSA:2.40.110.10	NA	SSF47203;SSF56645	NA	NA	NA	NA	NA	KEGG: 00071+1.3.3.6|KEGG: 00410+1.3.3.6|KEGG: 00592+1.3.3.6|KEGG: 00640+1.3.3.6|MetaCyc: PWY-5136|MetaCyc: PWY-6837|MetaCyc: PWY-6920|MetaCyc: PWY-7007|MetaCyc: PWY-7288|MetaCyc: PWY-7291|MetaCyc: PWY-7337|MetaCyc: PWY-7338|MetaCyc: PWY-7340|MetaCyc: PWY-735|MetaCyc: PWY-7574|MetaCyc: PWY-7606|MetaCyc: PWY-7726|MetaCyc: PWY-7854|MetaCyc: PWY-7858|Reactome: R-HSA-9033241	PIRSF000168	NA	NA	NA
PTB60351.1	IPR009449		NA	PF06428	NA	mobidb-lite	SSF144284	NA	Coil	cd06503	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA
PTB48230.1	IPR041975	GO:0006357;GO:0032784;GO:0006355;GO:0005515	NA	PF11942;PF12815;PF03439	G3DSA:3.30.70.940;G3DSA:2.30.30.30	mobidb-lite	SSF50104	SM01104;SM00739	NA	cd06082;cd09888;cd06081;cd06084;cd06085;cd06083	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-75955|Reactome: R-HSA-77075	PIRSF036945	NA	NA	NA
PTB51773.1	IPR002241	GO:0004553;GO:0005975;GO:0004557;GO:0003824	NA	PF16499;PF17801	G3DSA:2.60.40.1180;G3DSA:3.20.20.70	NA	SSF51011;SSF51445	NA	NA	cd14792	PR00740;PR00748	PS00512	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	NA	NA	NA	NA
PTB60463.1	IPR008754	GO:0008237	NA	PF05572	G3DSA:3.40.390.10	NA	SSF55486	NA	NA	cd04275	NA	NA	Reactome: R-HSA-381426	NA	NA	NA	NA
PTB60360.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB50347.1	IPR021475	NA	NA	PF11326	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49676.1	IPR011701	GO:0055085	PS50850	PF07690	G3DSA:1.20.1250.20	mobidb-lite	SSF103473	NA	NA	cd17324	NA	NA	NA	NA	NA	NA	NA
PTB47883.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB49493.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PS50048	PF04082	G3DSA:4.10.240.10	mobidb-lite	SSF57701	SM00066	Coil	cd12148;cd00067	NA	NA	NA	NA	NA	NA	NA
PTB50845.1	IPR002925	GO:0016787	NA	PF01738	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51805.1	IPR013256	NA	NA	PF08243	NA	mobidb-lite	NA	SM00784	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB50843.1	IPR016024	GO:0006886;GO:0008536	PS50077;PS50166	PF03810;PF13513	NA	NA	SSF48371	SM00913;SM01349	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61290.1	IPR010658	NA	NA	PF06813	G3DSA:1.20.1250.20	mobidb-lite	SSF103473	NA	NA	cd17354	NA	NA	NA	NA	NA	NA	NA
PTB53359.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56063.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56201.1	IPR004327	GO:0019211	NA	PF03095	G3DSA:1.20.120.1150	NA	SSF140984	NA	NA	cd04087	NA	NA	NA	PIRSF016325	NA	NA	NA
PTB57581.1	IPR028094	NA	NA	PF14474	NA	mobidb-lite	NA	SM01312	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54129.1	IPR037160	GO:0003677;GO:0034061;GO:0003887;GO:0016779;GO:0006281	PS50172	PF10391;PF14716;PF14791;PF14792	G3DSA:3.30.210.10;G3DSA:1.10.150.20;G3DSA:3.30.460.10;G3DSA:1.10.150.110;G3DSA:3.40.50.10190	mobidb-lite	SSF81585;SSF52113;SSF47802;SSF81301	SM00483	NA	cd00141	PR00869;PR00870	PS00522	NA	NA	NA	NA	NA
PTB49389.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	NA	G3DSA:1.10.510.10	NA	SSF56112	SM00220	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB51006.1	IPR004045	GO:0005515	PS50404;PS50405	PF02798;PF00043	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	SSF47616;SSF52833	NA	NA	cd03057	NA	NA	NA	NA	NA	NA	SFLDS00019
PTB47462.1	IPR002225	GO:0003854;GO:0006694;GO:0016616;GO:0055114	NA	PF01073	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48802.1	IPR040442	GO:0003824	NA	PF13714	G3DSA:3.20.20.60	NA	SSF51621	NA	NA	cd00377	NA	PS00161	NA	NA	NA	NA	NA
PTB51796.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	PF00069	G3DSA:1.10.510.10	mobidb-lite	SSF56112	SM00220	Coil	cd14037	NA	PS00108	NA	NA	NA	NA	NA
PTB55461.1	IPR014718	GO:0030246;GO:0005975;GO:0016853;GO:0003824	NA	PF01263	G3DSA:2.70.98.10	NA	SSF74650	NA	NA	cd09020	NA	NA	KEGG: 00010+5.1.3.15	PIRSF016020	NA	NA	NA
PTB51153.1	IPR038305	NA	NA	NA	G3DSA:1.20.120.1020	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB52716.1	IPR004821	GO:0003824;GO:0009058;GO:0009435;GO:0016779	NA	PF01467	G3DSA:3.40.50.620	NA	SSF52374	NA	NA	NA	NA	NA	KEGG: 00760+2.7.7.18|MetaCyc: PWY-5381|MetaCyc: PWY-5653|MetaCyc: PWY-7761|Reactome: R-HSA-196807	NA	TIGR00482	NA	NA
PTB49250.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54020.1	IPR019365	GO:0016021	NA	PF10233	NA	NA	NA	SM01077	NA	NA	NA	NA	Reactome: R-HSA-112308	NA	NA	NA	NA
PTB58550.1	IPR023465	GO:0008531;GO:0009231	NA	PF01687	G3DSA:2.40.30.30	NA	SSF82114	SM00904	NA	NA	NA	NA	Reactome: R-HSA-196843	NA	NA	NA	NA
PTB52664.1	IPR023606	GO:0008410	NA	PF02515	G3DSA:3.30.1540.10;G3DSA:3.40.50.10540	NA	SSF89796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54058.1	IPR001214	GO:0005515	PS50280	PF00856	G3DSA:2.170.270.10	NA	SSF82199	SM00317	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50875.1	IPR001810	GO:0005515	PS50082;PS50181;PS50294	PF12937;PF00400	G3DSA:2.130.10.10;G3DSA:1.20.1280.50	mobidb-lite	SSF50978;SSF81383	SM00256;SM00320	NA	cd00200	PR00320	PS00678	NA	NA	NA	NA	NA
PTB49004.1	IPR017972	GO:0016705;GO:0055114;GO:0005506;GO:0020037	NA	PF00067	G3DSA:1.10.630.10	NA	SSF48264	NA	NA	NA	PR00385;PR00463	PS00086	NA	NA	NA	NA	NA
PTB59807.1	IPR022092		NA	PF12329;PF12325	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	Reactome: R-HSA-6811440	NA	NA	NA	NA
PTB47687.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB51982.1	IPR017938	GO:0016491;GO:0055114	PS51384	PF08022;PF08030;PF01794	G3DSA:3.40.50.80;G3DSA:2.40.30.10	NA	SSF63380;SSF52343	NA	NA	cd06186	NA	NA	NA	NA	NA	NA	SFLDS00052;SFLDG01168
PTB55482.1	IPR027974	NA	PS50865	PF14737;PF01753	G3DSA:3.30.60.180	NA	SSF144232	NA	NA	NA	NA	PS01360	NA	NA	NA	NA	NA
PTB51143.1	IPR020472	GO:0005515	PS50082;PS50294	PF00400	G3DSA:2.130.10.10	NA	SSF50969;SSF50978	SM00320	NA	cd00200	PR00320	PS00678	NA	NA	NA	NA	NA
PTB58492.1	IPR036249	GO:0005515	PS50405;PS50404	PF13417	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	SSF47616;SSF52833	NA	NA	cd00570	NA	NA	NA	NA	NA	NA	SFLDG00358;SFLDS00019
PTB49927.1	IPR031727	GO:0004553;GO:0005975;GO:0003824;GO:0030246	NA	PF16863;PF01055;PF13802	G3DSA:3.20.20.80;G3DSA:2.60.40.1180;G3DSA:2.60.40.1760	NA	SSF74650;SSF51011;SSF51445	NA	NA	cd14752;cd06602	NA	NA	NA	NA	NA	NA	NA
PTB51948.1	IPR004813	GO:0055085	NA	PF03169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00728	NA	NA
PTB56769.1	IPR010296	NA	NA	PF05988	G3DSA:3.40.30.10	NA	SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55994.1	IPR036291	GO:0055085;GO:0003824;GO:0050662	PS50850	PF07690;PF01370	G3DSA:1.20.1250.20;G3DSA:3.40.50.720	NA	SSF51735;SSF103473	NA	NA	cd17327	NA	NA	NA	NA	NA	NA	NA
PTB52675.1	IPR014362	GO:0016639;GO:0055114;GO:0006520;GO:0016491	NA	PF02812;PF00208	G3DSA:3.40.50.10860;G3DSA:1.10.285.10;G3DSA:3.40.50.720	NA	SSF53223;SSF51735	SM00839	NA	cd05313	PR00082	PS00074	Reactome: R-HSA-2151201|Reactome: R-HSA-8964539	PIRSF000185	NA	NA	NA
PTB57729.1	IPR015943	GO:0005515;GO:0016788	NA	PF07819	G3DSA:2.130.10.10;G3DSA:3.40.50.300;G3DSA:3.40.50.1820	mobidb-lite	SSF50978;SSF52540;SSF53474	SM00320	NA	NA	NA	NA	Reactome: R-HSA-162791	NA	NA	NA	NA
PTB60449.1	IPR010636	GO:0005576	NA	PF06766	G3DSA:3.20.120.10	NA	SSF101751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50783.1	IPR038305	NA	NA	PF14479	G3DSA:1.20.120.1020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53966.1	IPR029063	NA	NA	PF13649	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
PTB49565.1	IPR000760	GO:0046855	NA	PF00459	G3DSA:3.30.540.10;G3DSA:3.40.190.80	NA	SSF56655	NA	NA	cd01517	NA	NA	NA	NA	NA	NA	NA
PTB47570.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	NA	SM00906	Coil	cd12148	NA	NA	NA	NA	NA	NA	NA
PTB58810.1	IPR000757	GO:0004553;GO:0005975	PS51762	PF00722	G3DSA:2.60.120.200	NA	SSF49899	NA	NA	cd00413	NA	NA	NA	NA	NA	NA	NA
PTB60884.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB55867.1	IPR017384		NA	PF15879	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA
PTB59610.1	IPR006597	GO:0005515	NA	PF08238	G3DSA:1.25.40.10	mobidb-lite	SSF81901	SM00671	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47378.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47468.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48195.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49993.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47367.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47831.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47372.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47276.1	IPR001425	GO:0005216;GO:0006811;GO:0016020	NA	PF01036	G3DSA:1.20.1070.10	mobidb-lite	SSF81321	SM01021	NA	cd15239	PR00251	NA	NA	NA	NA	NA	NA
PTB53213.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	G3DSA:1.10.630.10	NA	SSF48264	NA	NA	NA	PR00463;PR00385	PS00086	NA	NA	NA	NA	NA
PTB57324.1	IPR029057	GO:0000287;GO:0004749;GO:0009165;GO:0009116	NA	PF14572;PF13793	G3DSA:3.40.50.2020	mobidb-lite	SSF53271	SM01400	NA	cd06223	NA	NA	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1	NA	TIGR01251	NA	NA
PTB57834.1	IPR002088	GO:0008318;GO:0018342	PS51147	PF01239	G3DSA:1.25.40.120	mobidb-lite	SSF48439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48935.1	IPR000109	GO:0016020;GO:0022857;GO:0055085	NA	PF00854	G3DSA:1.20.1250.20	NA	SSF103473	NA	NA	cd17350	NA	NA	Reactome: R-HSA-427975	NA	NA	NA	NA
PTB54722.1	IPR031352	NA	NA	PF17107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59906.1	IPR011008	NA	PS51502	PF07876	G3DSA:3.30.70.100	NA	SSF54909	SM00886	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55375.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	PF00172;PF04082	G3DSA:4.10.240.10	mobidb-lite	SSF57701	SM00066;SM00906	Coil	cd12148;cd00067	NA	PS00463	NA	NA	NA	NA	NA
PTB58965.1	IPR004360	GO:0003868;GO:0009072;GO:0016701;GO:0055114	PS51819	PF00903	G3DSA:3.10.180.10	mobidb-lite	SSF54593	NA	NA	cd07250;cd08342	NA	NA	NA	PIRSF009283	TIGR01263	NA	NA
PTB57233.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	NA	SM00906	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
PTB49320.1	IPR017905	GO:0016972;GO:0055114	PS51324	PF04777	G3DSA:1.20.120.310	mobidb-lite	SSF69000	NA	NA	NA	NA	NA	MetaCyc: PWY-7533	NA	NA	NA	NA
PTB57262.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52483.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	PF00067	G3DSA:1.10.630.10	NA	SSF48264	NA	NA	NA	PR00385;PR00465	NA	NA	NA	NA	NA	NA
PTB59477.1	IPR014001	GO:0003678;GO:0006289;GO:0006367;GO:0003677;GO:0005524;GO:0016787	PS51192;PS51194	PF13625;PF16203;PF04851	G3DSA:3.40.50.300	mobidb-lite	SSF52540	SM00487;SM00490	NA	cd18029;cd18789	PR00851	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	NA	TIGR00603	NA	NA
PTB51842.1	IPR009799	NA	NA	PF07110	G3DSA:3.30.70.100	NA	SSF54909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61176.1	IPR000504	GO:0003676	PS50102;PS50800	PF02037	G3DSA:1.10.720.30	mobidb-lite	SSF68906;SSF54928	SM00513	NA	cd12432	NA	NA	Reactome: R-HSA-111465	NA	NA	NA	NA
PTB50577.1	IPR017423	GO:0030488;GO:0031515	NA	PF04189	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6782315	NA	NA	NA	NA
PTB54184.1	IPR027417	GO:0005975;GO:0016301	NA	PF01202	G3DSA:3.40.50.300	mobidb-lite	SSF52540	NA	NA	cd02021	NA	NA	KEGG: 00400+2.7.1.71|MetaCyc: PWY-6163	NA	TIGR01313	NA	NA
PTB59764.1	IPR036390	NA	PS50961	PF05383	G3DSA:1.10.10.10	mobidb-lite	SSF46785	SM00715	NA	cd07323	NA	NA	NA	NA	NA	NA	NA
PTB55959.1	IPR037069	GO:0016627;GO:0050660;GO:0055114	NA	PF00441;PF02770;PF02771	G3DSA:2.40.110.10;G3DSA:1.10.540.10;G3DSA:1.20.140.10	NA	SSF47203;SSF56645	NA	NA	cd01151	NA	NA	NA	NA	NA	NA	NA
