Gene	interpro	GO	SMART	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	CDD	Coils	SUPERFAMILY	ProSitePatterns	PRINTS	PATHWAY	TIGRFAM	PIRSF	Hamap	SFLD
EHK23434.1	IPR029058	NA	NA	NA	PF12697	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK22397.1	IPR007461	NA	NA	NA	PF04366	NA	mobidb-lite	cd11524	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK16449.1	IPR024607	GO:0003824;GO:0008484	NA	NA	PF00884	G3DSA:3.30.1120.10;G3DSA:3.40.720.10	NA	cd16025	NA	SSF53649	PS00149	NA	NA	NA	NA	NA	NA
EHK22525.1	IPR004808	GO:0004518;GO:0006281;GO:0003677;GO:0004519	NA	PS51435	PF03372	G3DSA:3.60.10.10	mobidb-lite	cd09088	NA	SSF56219	PS00728;PS00726	NA	Reactome: R-HSA-110357|Reactome: R-HSA-110362|Reactome: R-HSA-110373|Reactome: R-HSA-5651801|Reactome: R-HSA-73930|Reactome: R-HSA-73933	NA	NA	NA	NA
EHK18089.1	IPR029044	GO:0009058;GO:0016779	NA	NA	PF00483	G3DSA:3.90.550.10	NA	cd02509	Coil	SSF159283;SSF53448	NA	NA	NA	NA	NA	NA	NA
EHK23330.1	IPR013087	GO:0003676	SM00355	PS50157	PF00096	G3DSA:3.30.160.60	mobidb-lite	NA	NA	SSF57667	PS00028	NA	NA	NA	NA	NA	NA
EHK26057.1	IPR031100	NA	NA	NA	PF03641	G3DSA:3.40.50.450	NA	NA	NA	SSF102405	NA	NA	NA	TIGR00730	NA	NA	NA
EHK21235.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK15637.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16435.1	IPR007305	GO:0016192	NA	NA	PF04178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18785.1	IPR009668	GO:0003677;GO:0006351;GO:0042025	NA	NA	PF06870	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73863	NA	NA	NA	NA
EHK18989.1	IPR036249	NA	NA	NA	PF02114	G3DSA:3.40.30.10	mobidb-lite	cd02988	NA	SSF52833	NA	NA	NA	NA	NA	NA	NA
EHK17272.1	NA	NA	NA	NA	NA	G3DSA:2.120.10.70	NA	NA	NA	SSF89372	NA	NA	NA	NA	NA	NA	NA
EHK16066.1	IPR002067	GO:0005347;GO:0055085	NA	PS50920	PF00153	G3DSA:1.50.40.10	NA	NA	NA	SSF103506	NA	PR00926	NA	NA	NA	NA	NA
EHK25246.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK27157.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27374.1	IPR011564	GO:0000723;GO:0000784;GO:0003677;GO:0043047	SM00976	NA	PF02765;PF16686	G3DSA:2.40.50.140	mobidb-lite	NA	Coil	SSF50249	NA	NA	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110330|Reactome: R-HSA-110331|Reactome: R-HSA-1221632|Reactome: R-HSA-171306|Reactome: R-HSA-2559586	NA	NA	NA	NA
EHK16356.1	IPR003347	GO:0003677	SM00558;SM00384	PS51184	PF02373;PF10497	G3DSA:2.60.120.650	mobidb-lite	NA	Coil	SSF51197	NA	PR00929	NA	NA	NA	NA	NA
EHK21246.1	IPR037176	NA	NA	NA	NA	NA	NA	NA	NA	SSF49870	NA	NA	NA	NA	NA	NA	NA
EHK24342.1	IPR002938	GO:0071949	NA	NA	PF01494	G3DSA:3.30.9.30;G3DSA:3.50.50.60	NA	NA	NA	SSF51905	NA	PR00420	NA	NA	NA	NA	NA
EHK21850.1	IPR004276	GO:0005975;GO:0016758;GO:0030259	NA	NA	PF03033;PF00201	G3DSA:3.40.50.2000	mobidb-lite	cd03784	NA	SSF53756	NA	NA	KEGG: 00550+2.4.1.227|MetaCyc: PWY-5265|MetaCyc: PWY-6385|MetaCyc: PWY-6470|MetaCyc: PWY-6471	NA	NA	NA	NA
EHK15968.1	IPR002125	GO:0003824	NA	PS51747	PF00383	NA	NA	NA	NA	SSF53927	NA	NA	NA	NA	NA	NA	NA
EHK17208.1	IPR019240	NA	NA	NA	PF09962	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	TIGR03833	NA	NA	NA
EHK25105.1	IPR001509	GO:0003824;GO:0050662	NA	NA	PF01370	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK25741.1	IPR001305	GO:0031072;GO:0051082;GO:0006457	SM00271	PS51188;PS50076	PF00684;PF01556;PF00226	G3DSA:1.10.287.110;G3DSA:2.60.260.20;G3DSA:2.10.230.10	NA	cd10719;cd10747;cd06257	NA	SSF46565;SSF49493;SSF57938	PS00636	PR00625	NA	NA	NA	NA	NA
EHK23786.1	IPR041694	GO:0055114;GO:0016491	SM00829	NA	PF16884;PF00107	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	cd05288	NA	SSF50129;SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK22983.1	IPR001764	GO:0004553;GO:0005975	SM01217	NA	PF00933;PF01915;PF14310	G3DSA:2.60.40.10;G3DSA:3.40.50.1700;G3DSA:3.20.20.300	NA	NA	NA	SSF52279;SSF51445	NA	NA	NA	NA	NA	NA	NA
EHK17533.1	IPR013248	NA	SM00786	NA	PF08229	NA	NA	NA	Coil	NA	NA	NA	NA	NA	PIRSF029187	NA	NA
EHK23260.1	IPR003386	GO:0006629;GO:0008374	NA	NA	PF02450	G3DSA:3.40.50.1820	mobidb-lite	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK16451.1	IPR036514	NA	NA	NA	PF13472	G3DSA:3.40.50.1110	NA	NA	NA	SSF52266	NA	NA	NA	NA	NA	NA	NA
EHK20297.1	IPR000644	GO:0005247;GO:0006821;GO:0016020;GO:0055085	NA	PS51371	PF00571;PF00654	G3DSA:3.90.1280.20;G3DSA:1.10.3080.10;G3DSA:3.10.580.20	NA	cd04591;cd03684	NA	SSF81340;SSF54631	NA	PR00762	Reactome: R-HSA-2672351	NA	NA	NA	NA
EHK17745.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25391.1	IPR008814	GO:0006487;GO:0008250;GO:0016021	NA	NA	PF05817	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-446203	NA	NA	NA	NA
EHK22437.1	IPR002523	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	PF01544	G3DSA:2.40.128.330;G3DSA:1.20.58.340	NA	cd12823	NA	NA	NA	NA	Reactome: R-HSA-5223345	NA	NA	NA	NA
EHK20843.1	IPR013094	GO:0016787	NA	NA	PF07859	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK19072.1	IPR023801	GO:0004407;GO:0016575	NA	NA	PF00850	G3DSA:3.40.800.20	mobidb-lite	cd10004	Coil	SSF52768	NA	PR01270;PR01271	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-350054	NA	NA	NA	NA
EHK17226.1	IPR027417	GO:0000723;GO:0003678;GO:0006281	NA	NA	PF05970	G3DSA:3.40.50.300	NA	cd18037	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA
EHK16605.1	IPR005821	GO:0005216;GO:0006811;GO:0016020;GO:0055085	NA	NA	PF00520	G3DSA:1.20.120.350	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK15186.1	IPR033661	GO:0004609;GO:0005739;GO:0008654	NA	NA	PF02666	NA	mobidb-lite	NA	NA	NA	NA	NA	KEGG: 00564+4.1.1.65|MetaCyc: PWY-5669|Reactome: R-HSA-1483213	TIGR00163	NA	MF_03208	NA
EHK20394.1	IPR024983	NA	NA	NA	PF12770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26824.1	IPR028209	GO:0001919;GO:0007040;GO:0016197;GO:0031902;GO:0032008;GO:0042632;GO:0043410;GO:0045121;GO:0071230;GO:0071986	SM01262	NA	PF15454	NA	NA	NA	Coil	NA	NA	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-6798695|Reactome: R-HSA-8943724|Reactome: R-HSA-9639288	NA	NA	NA	NA
EHK21872.1	IPR020801	GO:0055114;GO:0031177;GO:0016740;GO:0003824;GO:0016491;GO:0008270	SM00827;SM00823;SM00822;SM00829;SM00825;SM00826	PS50075	PF02801;PF00698;PF00107;PF08659;PF16197;PF00550;PF00109;PF14765;PF08240	G3DSA:3.40.50.720;G3DSA:3.40.366.10;G3DSA:3.40.47.10;G3DSA:3.10.129.110;G3DSA:3.30.70.3290;G3DSA:3.90.180.10;G3DSA:1.10.1200.10	NA	cd00833;cd05195	Coil	SSF55048;SSF51735;SSF50129;SSF47336;SSF53901;SSF52151	PS01162	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	NA	NA	NA	NA
EHK21508.1	IPR020557	GO:0003824;GO:0004333;GO:0006106;GO:0045239;GO:0006099;GO:0016829	NA	NA	PF00206;PF10415	G3DSA:1.10.40.30;G3DSA:1.20.200.10;G3DSA:1.10.275.10	NA	cd01362	NA	SSF48557	PS00163	PR00149	KEGG: 00020+4.2.1.2|KEGG: 00620+4.2.1.2|KEGG: 00720+4.2.1.2|MetaCyc: PWY-5392|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7254|MetaCyc: PWY-7384|Reactome: R-HSA-71403	TIGR00979	NA	MF_00743	NA
EHK18787.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27248.1	IPR013961	NA	NA	NA	PF08652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21882.1	IPR002830	GO:0016831	NA	NA	PF01977	G3DSA:3.40.1670.10	NA	NA	NA	SSF143968;SSF50475	NA	NA	KEGG: 00130+4.1.1.98|MetaCyc: PWY-5855|MetaCyc: PWY-5856|MetaCyc: PWY-5857|MetaCyc: PWY-6708|MetaCyc: PWY-6978	TIGR00148	NA	MF_01983	NA
EHK24325.1	IPR042491	GO:0015031;GO:0030906;GO:0042147	NA	NA	PF03635	G3DSA:1.25.40.660	mobidb-lite	NA	Coil	NA	NA	NA	Reactome: R-HSA-3238698	NA	PIRSF009375	NA	NA
EHK16055.1	IPR021842	NA	NA	NA	PF11917	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17112.1	IPR029063	NA	NA	NA	PF13489	G3DSA:3.40.50.150	mobidb-lite	cd02440	Coil	SSF53335	NA	NA	NA	NA	NA	NA	NA
EHK22686.1	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	SM00220;SM00133	PS51285;PS50011	PF00069	G3DSA:3.30.200.20;G3DSA:1.10.510.10	mobidb-lite	cd05600	Coil	SSF56112	PS00107;PS00108	NA	NA	NA	NA	NA	NA
EHK22189.1	IPR012677	GO:0003676	SM00360	PS50102	PF00076	G3DSA:3.30.70.330	mobidb-lite	cd12243	NA	SSF54928	NA	NA	NA	NA	NA	NA	NA
EHK21227.1	IPR021858	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21116.1	IPR000073	NA	NA	NA	PF00561	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK23183.1	IPR011553	GO:0015031;GO:0030176	NA	NA	PF03839	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	TIGR00869	NA	NA	NA
EHK24754.1	IPR017986	GO:0005515;GO:0016798	SM00320	PS50294;PS50082	PF04227;PF00294	G3DSA:3.40.1190.20;G3DSA:2.130.10.10;G3DSA:3.40.1790.10	mobidb-lite	cd01941	NA	SSF110581;SSF53613;SSF50978	NA	NA	KEGG: 00240+4.2.1.70|MetaCyc: PWY-6019	NA	NA	NA	NA
EHK18036.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	PF00172	G3DSA:4.10.240.10	mobidb-lite	cd00067	NA	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK20187.1	IPR001709	GO:0016491;GO:0055114;GO:0020037	SM01117	PS50255;PS51384	PF00173;PF00970;PF00175	G3DSA:2.40.30.10;G3DSA:3.10.120.10;G3DSA:3.40.50.80	NA	cd06183	NA	SSF63380;SSF55856;SSF52343	PS00191	PR00371;PR00363;PR00406	Reactome: R-HSA-1237044	NA	NA	NA	NA
EHK20077.1	IPR036412	NA	NA	NA	PF13419	G3DSA:1.10.150.750;G3DSA:3.40.50.1000	NA	NA	NA	SSF56784	NA	NA	NA	NA	NA	NA	NA
EHK17666.1	IPR000845	GO:0003824;GO:0009116	NA	NA	PF01048	NA	NA	cd09008	NA	SSF53167	NA	NA	NA	NA	NA	NA	NA
EHK25129.1	IPR001494	GO:0006886;GO:0008536	SM00913	PS50166	PF03810	G3DSA:1.25.10.10	NA	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA
EHK24752.1	IPR008259	GO:0016491;GO:0055114;GO:0003824;GO:0010181	NA	PS51349	PF01070	G3DSA:3.20.20.70	NA	cd03332	NA	SSF51395	PS00557	NA	Reactome: R-HSA-9033241	NA	PIRSF000138	NA	NA
EHK24167.1	IPR010061	GO:0004491;GO:0055114;GO:0016491;GO:0016620	NA	NA	PF00171	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	cd07085	NA	SSF53720	PS00070	NA	KEGG: 00280+1.2.1.27|KEGG: 00640+1.2.1.27|MetaCyc: PWY-5642|Reactome: R-HSA-70895	TIGR01722	NA	NA	NA
EHK25189.1	IPR002013	GO:0042578	NA	PS50275	PF02383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17486.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15943.1	IPR002347	GO:0016491	NA	NA	PF13561	G3DSA:3.40.50.720	NA	cd05233	NA	SSF51735	PS00061	PR00080;PR00081	NA	NA	NA	NA	NA
EHK27438.1	IPR001841	GO:0005524	SM00184;SM00487	PS50089;PS51194;PS51192	PF13639;PF00176	G3DSA:3.30.40.10;G3DSA:3.40.50.300;G3DSA:3.40.50.10810	mobidb-lite	cd18070;cd18793	Coil	SSF52540;SSF57850	PS00518	NA	NA	NA	NA	NA	NA
EHK19325.1	IPR016315	GO:0006783;GO:0008495;GO:0031966;GO:0016021;GO:0048034;GO:0016765	NA	NA	PF01040	G3DSA:1.10.357.140	mobidb-lite	cd13957	NA	NA	PS00943	NA	Reactome: R-HSA-189451	NA	PIRSF001773	MF_00154	NA
EHK25701.1	IPR018810	NA	NA	NA	PF10303	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK16981.1	IPR005018	NA	SM00664	NA	PF16010	G3DSA:2.60.40.1210	NA	cd08760;cd09630	NA	SSF49344	NA	NA	NA	NA	NA	NA	NA
EHK26037.1	IPR016688	GO:0005509;GO:0016020;GO:0055085	NA	PS50222	PF00924	G3DSA:1.10.238.10	mobidb-lite	NA	Coil	SSF47473;SSF50182	NA	NA	NA	NA	PIRSF017209	NA	NA
EHK26075.1	IPR036249	NA	NA	NA	PF06999	G3DSA:3.40.30.10	NA	cd03062	NA	SSF52833	NA	NA	NA	NA	NA	NA	NA
EHK23333.1	IPR007320	GO:0005737	NA	NA	PF04194	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25009.1	IPR026893	GO:0004725;GO:0016311;GO:0016791	NA	PS50056	PF13350	G3DSA:3.90.190.10	NA	cd14529	NA	SSF52799	PS00383	NA	NA	NA	NA	NA	NA
EHK18259.1	IPR036322	GO:0005515	NA	NA	PF12894;PF12896	NA	NA	NA	NA	SSF50978	NA	NA	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	NA
EHK24682.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25327.1	IPR013087	GO:0003676	SM00355	PS50157	NA	G3DSA:3.30.160.60	mobidb-lite	NA	NA	SSF57667	PS00028	NA	NA	NA	NA	NA	NA
EHK25473.1	IPR023198	GO:0019120;GO:0016787	NA	NA	PF13419	G3DSA:1.10.150.240;G3DSA:3.40.50.1000	NA	NA	NA	SSF56784	NA	PR00413	KEGG: 00361+3.8.1.2|KEGG: 00625+3.8.1.2|MetaCyc: PWY-7425	TIGR01428;TIGR01493	NA	NA	SFLDG01129;SFLDS00003
EHK16029.1	IPR010730	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24211.1	IPR029063	NA	NA	NA	PF13847	G3DSA:3.40.50.150	NA	cd02440	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA
EHK15137.1	IPR027500	GO:0003735;GO:0005840;GO:0006412	SM01397	NA	PF01015	NA	NA	NA	NA	NA	PS01191	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	MF_03122	NA
EHK15714.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20977.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	SM00906;SM00066	PS50048	PF04082;PF00172	G3DSA:4.10.240.10	mobidb-lite	cd00067;cd12148	NA	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK17623.1	IPR000795	GO:0003924;GO:0005525	SM00838	PS51722	PF14492;PF00679;PF03144;PF00009	G3DSA:3.30.230.10;G3DSA:3.30.70.870;G3DSA:3.30.70.240	NA	cd16268;cd01885;cd04096;cd01681	Coil	SSF54211;SSF54980;SSF52540;SSF50447	NA	PR00315	NA	TIGR00231	NA	NA	NA
EHK16774.1	IPR029058	NA	NA	NA	NA	G3DSA:3.40.50.1820	mobidb-lite	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK16459.1	IPR000425	GO:0015267;GO:0016020;GO:0055085	NA	NA	PF00230	G3DSA:1.20.1080.10	mobidb-lite	cd00333	NA	SSF81338	NA	PR00783	Reactome: R-HSA-432047	NA	NA	NA	NA
EHK15519.1	IPR035248	GO:0006479;GO:0008168;GO:0035246	NA	PS51678	PF17286;PF05185;PF17285	G3DSA:3.40.50.150;G3DSA:2.70.160.11	NA	NA	NA	SSF53335;SSF51658	NA	NA	Reactome: R-HSA-191859|Reactome: R-HSA-3214858|Reactome: R-HSA-6804760	NA	PIRSF015894	NA	NA
EHK16463.1	IPR012338	NA	NA	NA	PF00144	G3DSA:3.40.710.10	NA	NA	NA	SSF56601	NA	NA	NA	NA	NA	NA	NA
EHK17922.1	IPR009057	GO:0003677	SM00674	PS51253	PF03221;PF18107	G3DSA:1.10.10.60	mobidb-lite	NA	Coil	SSF46689	NA	NA	NA	NA	NA	NA	NA
EHK18120.1	IPR009060	GO:0005515	SM00166;SM00594	PS50033	PF00789;PF13899;PF14555	G3DSA:1.10.8.10;G3DSA:3.10.20.90;G3DSA:3.40.30.10	mobidb-lite	cd14348;cd01767;cd02958	NA	SSF46934;SSF54236;SSF52833	NA	NA	NA	NA	NA	NA	NA
EHK25654.1	IPR029058	GO:0016787	NA	NA	PF01738	G3DSA:3.40.50.1820;G3DSA:1.10.10.800	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK20700.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00066;SM00906	PS50048	PF00172;PF04082	G3DSA:4.10.240.10	mobidb-lite	cd00067;cd12148	NA	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK19562.1	IPR041079	NA	NA	NA	PF18413;PF18276	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK25295.1	IPR003162	GO:0006352;GO:0046982	NA	NA	PF02291	G3DSA:1.10.20.10	NA	cd07979	NA	SSF47113	NA	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA
EHK18585.1	IPR002645	GO:0008272;GO:0015116;GO:0016021;GO:0008271;GO:0016020;GO:0055085	NA	PS50801	PF00916;PF01740	G3DSA:3.30.750.24	mobidb-lite	cd07042	NA	SSF52091	PS01130	NA	Reactome: R-HSA-427601	TIGR00815	NA	NA	NA
EHK16507.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27443.1	IPR028124	NA	NA	NA	PF15477	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK17534.1	IPR002889	NA	NA	PS51212	PF01822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22226.1	IPR017375	GO:0005779;GO:0006625;GO:0008022;GO:0008270	NA	NA	PF04757	G3DSA:3.30.40.10	mobidb-lite	NA	NA	SSF57850	NA	NA	Reactome: R-HSA-8866654|Reactome: R-HSA-9033241|Reactome: R-HSA-9603798	NA	PIRSF038074	NA	NA
EHK21050.1	IPR011009	GO:0004672;GO:0005524;GO:0006468	NA	PS50011	PF14479	G3DSA:1.10.510.10;G3DSA:1.20.120.1020	NA	NA	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA
EHK20764.1	IPR020846	GO:0016020;GO:0022857;GO:0055085;GO:0016021	NA	PS50850	PF00083	G3DSA:1.20.1250.20	NA	cd17356	NA	SSF103473	PS00216	PR00171	Reactome: R-HSA-189200	TIGR00879	NA	NA	NA
EHK16642.1	IPR018201	GO:0003824;GO:0006633;GO:0016747	SM00825	NA	PF00109;PF02801	G3DSA:3.40.47.10	NA	cd00834	NA	SSF53901	PS00606	NA	NA	TIGR03150	PIRSF000447	NA	NA
EHK16625.1	IPR013083	NA	SM00249;SM01408	PS50016	NA	G3DSA:3.30.40.10	mobidb-lite	cd17017;cd15505	Coil	SSF57903	NA	NA	NA	NA	NA	NA	NA
EHK21336.1	IPR036259	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1250.20	mobidb-lite	cd17352	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK25222.1	IPR001810	GO:0005515	SM00256	PS50181	PF12937	G3DSA:1.20.1280.50	mobidb-lite	NA	NA	SSF81383	NA	NA	NA	NA	NA	NA	NA
EHK16101.1	IPR036265	NA	NA	NA	NA	G3DSA:3.30.428.10	NA	NA	Coil	SSF54197	NA	NA	NA	NA	NA	NA	NA
EHK26177.1	IPR016722	GO:0003677;GO:0003887;GO:0006260	NA	NA	PF04042;PF08418	G3DSA:3.60.21.60	NA	NA	Coil	NA	NA	NA	Reactome: R-HSA-113501|Reactome: R-HSA-174411|Reactome: R-HSA-174430|Reactome: R-HSA-68952|Reactome: R-HSA-68962|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	NA	PIRSF018300	NA	NA
EHK24417.1	IPR013725	GO:0003689;GO:0005524;GO:0005663;GO:0006260;GO:0003677;GO:0006281	SM00292;SM00382	PS50172	PF08519;PF00533;PF00004	G3DSA:3.40.50.300;G3DSA:1.20.272.10;G3DSA:3.40.50.10190;G3DSA:1.10.8.60	mobidb-lite	cd18140;cd17752;cd00009	Coil	SSF52113;SSF52540;SSF48019	NA	NA	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	NA	PIRSF036578	NA	NA
EHK22018.1	IPR011701	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1250.20	NA	cd17325	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK23448.1	IPR033121	GO:0004190;GO:0006508	NA	PS51767	PF00026	G3DSA:2.40.70.10	NA	NA	NA	SSF50630	PS00141	PR00792	NA	NA	NA	NA	NA
EHK17303.1	IPR036291	NA	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK18935.1	IPR028241	NA	NA	NA	PF10259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27273.1	IPR014780	GO:0001522;GO:0003723;GO:0009451;GO:0009982;GO:0006396	NA	NA	PF01509	G3DSA:3.30.2350.10	mobidb-lite	cd02867	NA	SSF55120	NA	NA	NA	NA	NA	MF_01080	NA
EHK16833.1	IPR000845	GO:0003824;GO:0009116;GO:0005515	SM00248	PS50088;PS50297	PF01048;PF12796	G3DSA:1.25.40.960;G3DSA:3.40.50.300;G3DSA:1.25.40.20	mobidb-lite	cd09008	NA	SSF52540;SSF48403;SSF53167	NA	PR01415	NA	NA	NA	NA	NA
EHK25952.1	IPR003819	GO:0016491;GO:0055114	NA	NA	PF02668	G3DSA:3.60.130.10	NA	NA	NA	SSF51197	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA
EHK18891.1	IPR012471	NA	NA	NA	PF07956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26686.1	IPR033709	GO:0000049;GO:0004822;GO:0000166;GO:0005524;GO:0006428;GO:0004812;GO:0006418;GO:0002161	NA	NA	PF08264;PF00133	G3DSA:1.10.730.10;G3DSA:3.90.740.10;G3DSA:3.40.50.620	NA	cd00818;cd07961	Coil	SSF47323;SSF52374;SSF50677	PS00178	PR00984	KEGG: 00970+6.1.1.5|Reactome: R-HSA-2408522|Reactome: R-HSA-379716	TIGR00392	NA	MF_02003	NA
