Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	SUPERFAMILY	Gene3D	SMART	CDD	PRINTS	ProSiteProfiles	ProSitePatterns	TIGRFAM	Hamap	Coils	PIRSF	SFLD
KAF3065637.1	NA	IPR007111	GO:0005515;GO:0003824;GO:0009116	NA	PF05729;PF00400	SSF82171;SSF52540;SSF53167;SSF50998	G3DSA:2.130.10.10;G3DSA:3.40.50.300	SM00320	cd09008	NA	PS50082;PS50294	PS00678	NA	NA	NA	NA	NA
KAF3072084.1	mobidb-lite	IPR029021	GO:0004725;GO:0016311;GO:0008138;GO:0006470;GO:0016791	NA	PF00782	SSF52799	NA	SM00195	cd14521	NA	PS50054;PS50056	PS00383	NA	NA	NA	NA	NA
KAF3056952.1	mobidb-lite	IPR001683	GO:0035091	NA	PF00787	SSF64268	G3DSA:1.10.238.10;G3DSA:3.30.1520.10;G3DSA:1.20.1270.60	SM00312	cd07597;cd06866	NA	PS50195	NA	NA	NA	NA	NA	NA
KAF3072887.1	NA	IPR032466	GO:0003824;GO:0016810;GO:0016787	NA	PF12146;PF01557;PF01979	SSF51556;SSF53474;SSF56529;SSF51338	G3DSA:3.20.20.140;G3DSA:3.40.50.1820;G3DSA:3.90.850.10;G3DSA:2.30.40.10	NA	cd01299	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3074010.1	mobidb-lite	IPR016130	GO:0004725;GO:0016311	NA	PF06602	SSF52799	G3DSA:2.30.29.30	NA	cd17666	NA	PS51339	PS00383	NA	NA	NA	NA	NA
KAF3072877.1	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	SSF57701	G3DSA:4.10.240.10	SM00066	cd00067	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074964.1	NA	IPR002935	GO:0008171	NA	PF13578	SSF53335	G3DSA:3.40.50.150	NA	cd02440	NA	PS51682	NA	NA	NA	NA	NA	NA
KAF3068173.1	NA	IPR005995	GO:0004619;GO:0006007;GO:0005737;GO:0030145;GO:0003824;GO:0046872	KEGG: 00010+5.4.2.12|KEGG: 00260+5.4.2.12|KEGG: 00680+5.4.2.12|MetaCyc: PWY-1042|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218	PF06415;PF01676	SSF53649;SSF64158	G3DSA:3.40.1450.10;G3DSA:3.40.720.10	NA	cd16010	NA	NA	NA	TIGR01307	MF_01038	NA	PIRSF001492	NA
KAF3071330.1	mobidb-lite	IPR017853	GO:0004553;GO:0005975	NA	PF00150	SSF51445	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3072486.1	mobidb-lite	IPR029048		Reactome: R-HSA-3371453	PF00012	SSF100934;SSF53067;SSF100920	G3DSA:3.30.30.30;G3DSA:3.90.640.10;G3DSA:3.30.420.40;G3DSA:1.20.1270.10;G3DSA:2.60.34.10	NA	cd10228	PR00301	NA	PS01036	NA	NA	Coil	NA	NA
KAF3076025.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3076501.1	NA	IPR020843	GO:0016491;GO:0055114	NA	PF00107;PF08240	SSF51735;SSF50129	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SM00829	cd08273	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075282.1	NA	IPR008564	GO:0016021	NA	PF05832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072283.1	NA	IPR018859	GO:0005515;GO:0005737	NA	PF10455	SSF103657	G3DSA:1.20.1270.60	SM00721	cd07600	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3074184.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	SSF57701	G3DSA:4.10.240.10	SM00066	cd00067;cd12148	NA	PS50048	PS00463	NA	NA	Coil	NA	NA
KAF3075004.1	mobidb-lite	IPR016035	GO:0006629;GO:0004806	NA	PF01734;PF11815	SSF52151	G3DSA:3.40.1090.10	NA	cd07232	NA	PS51635	NA	NA	NA	Coil	NA	NA
KAF3056871.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	SSF57701	G3DSA:4.10.240.10	SM00066	cd00067	NA	PS50048	NA	NA	NA	NA	NA	NA
KAF3066060.1	mobidb-lite	IPR019786	NA	NA	PF00628	SSF57903	G3DSA:3.30.40.10	SM00249	cd15552	NA	PS50016	PS01359	NA	NA	NA	NA	NA
KAF3056117.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	NA	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071407.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	PF00172;PF04082	SSF57701	G3DSA:4.10.240.10	SM00906;SM00066	cd12148;cd00067	NA	PS50048	NA	NA	NA	NA	NA	NA
KAF3055350.1	NA	IPR013078	NA	NA	PF00300	SSF53254	G3DSA:3.40.50.1240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3069395.1	mobidb-lite	IPR001680	GO:0005515	NA	PF08513;PF00400	SSF50978	G3DSA:2.130.10.10;G3DSA:1.20.960.30	SM00667;SM00320	NA	NA	PS50082;PS50294;PS50896	PS00678	NA	NA	NA	NA	NA
KAF3072922.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074034.1	NA	IPR000791	GO:0016021	NA	PF01184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072802.1	NA	IPR036249	NA	NA	NA	SSF52833	G3DSA:3.40.30.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073525.1	NA	IPR029058	NA	NA	PF12697	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075596.1	mobidb-lite	IPR019433	NA	NA	PF10333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3065411.1	mobidb-lite	IPR027417	GO:0005525	NA	PF01926	SSF52540	NA	NA	cd00882	NA	NA	NA	NA	NA	NA	NA	NA
KAF3056767.1	mobidb-lite	IPR005066	GO:0016491;GO:0030151;GO:0055114;GO:0042128	Reactome: R-HSA-1614517	PF03404;PF00174;PF00173	SSF81296;SSF56524;SSF55856	G3DSA:3.10.120.10;G3DSA:3.90.420.10	SM01117	NA	PR00407	PS50255	NA	NA	NA	NA	NA	NA
KAF3062538.1	mobidb-lite	IPR036890	GO:0000160;GO:0000155;GO:0007165;GO:0016310;GO:0016772	Reactome: R-HSA-1296072	PF00512;PF13426;PF02518;PF00072	SSF55874;SSF55785;SSF52172;SSF47384	G3DSA:3.40.50.2300;G3DSA:3.30.565.10;G3DSA:1.10.287.130;G3DSA:3.30.450.20	SM00387;SM00091;SM00448;SM00388	cd16922;cd00156;cd00130;cd00082	PR00344	PS50112;PS50110;PS50113;PS50109	NA	TIGR00229	NA	Coil	NA	NA
KAF3070241.1	mobidb-lite	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3057850.1	mobidb-lite	IPR011992	NA	NA	NA	SSF47473	G3DSA:1.10.238.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072698.1	mobidb-lite	IPR020846	GO:0055085	NA	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	cd17327	NA	PS50850	NA	NA	NA	NA	NA	NA
KAF3067677.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3076393.1	mobidb-lite	IPR011701	GO:0055085	NA	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	cd17323	NA	PS50850	NA	NA	NA	NA	NA	NA
KAF3076497.1	NA	IPR004698	GO:0005385;GO:0016021;GO:0071577;GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	PF02535	NA	NA	NA	NA	NA	NA	NA	TIGR00820	NA	NA	NA	NA
KAF3068733.1	mobidb-lite	IPR007175		Reactome: R-HSA-6784531|Reactome: R-HSA-6791226	PF04032	NA	G3DSA:2.20.25.200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3058885.1	NA	IPR002347	NA	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
KAF3072613.1	mobidb-lite	IPR011011	NA	NA	NA	SSF57903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073165.1	NA	IPR027417	NA	NA	NA	SSF52540	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3076363.1	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.11350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3063039.1	mobidb-lite	IPR014710	GO:0030145	NA	PF07883	SSF51182	G3DSA:2.60.120.10	NA	NA	NA	NA	PS00725	NA	NA	NA	NA	NA
KAF3066912.1	NA	IPR032466	GO:0016787;GO:0016810	NA	PF01979	SSF51556;SSF51338	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3057653.1	NA	IPR013024	NA	NA	PF06094	SSF110857	G3DSA:3.10.490.10	NA	cd06661	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077080.1	NA	IPR002347	GO:0016491	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	cd05233	PR00081;PR00080	NA	PS00061	NA	NA	NA	NA	NA
KAF3073035.1	NA	IPR007741		Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PF05047	SSF52833	G3DSA:3.40.30.10	SM00916	NA	NA	NA	NA	NA	NA	NA	PIRSF005822	NA
KAF3074864.1	NA	IPR013149	GO:0055114;GO:0016491	NA	PF00107;PF08240	SSF51735;SSF50129	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SM00829	cd08276	NA	NA	NA	NA	NA	NA	NA	NA
KAF3062897.1	NA	IPR002933	GO:0016787	NA	PF01546;PF07687	SSF55031;SSF53187	G3DSA:3.30.70.360;G3DSA:3.40.630.10	NA	cd05664	NA	NA	NA	TIGR01891	NA	NA	PIRSF005962	NA
KAF3071436.1	NA	IPR002347	GO:0016491	NA	PF00106	SSF51735	G3DSA:3.40.50.720	SM00822	cd05233	PR00081;PR00080	NA	PS00061	NA	NA	NA	NA	NA
KAF3077097.1	mobidb-lite	NA	NA	NA	NA	SSF54897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3062966.1	NA	IPR035959		Reactome: R-HSA-8849175	PF01042	SSF55298	G3DSA:3.30.1330.40	NA	cd00448	NA	NA	NA	TIGR00004	NA	NA	NA	NA
KAF3065721.1	NA	IPR011032	GO:0016491;GO:0055114	NA	PF08240	SSF50129;SSF51735	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SM00829	cd08249	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071448.1	NA	IPR011032	GO:0055114;GO:0016491	NA	PF08240;PF00107	SSF50129;SSF51735	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SM00829	cd08249	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073557.1	NA	IPR015943	GO:0005515	NA	PF10282	SSF51004	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072244.1	NA	IPR020683	GO:0005515	NA	PF12796	SSF48403	G3DSA:1.25.40.20	SM00248	NA	NA	PS50297;PS50088	NA	NA	NA	NA	NA	NA
KAF3065475.1	mobidb-lite	IPR000504	GO:0003676	NA	PF00076	SSF54928	G3DSA:3.30.70.330	SM00360	cd12265	NA	PS50102	NA	NA	NA	NA	NA	NA
KAF3069194.1	mobidb-lite	IPR036961	GO:0003777;GO:0005524;GO:0007018;GO:0008017	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PF00225	SSF52540	G3DSA:3.40.850.10	SM00129	cd01370	PR00380	PS50067	PS00411	NA	NA	Coil	NA	NA
KAF3060445.1	mobidb-lite	IPR010699	NA	NA	PF06912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3066774.1	mobidb-lite	IPR012337	GO:0003676	NA	NA	SSF53098	G3DSA:3.30.420.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071956.1	mobidb-lite	IPR006767	NA	NA	PF04676;PF04677	NA	NA	NA	cd07380	NA	NA	NA	NA	NA	NA	NA	NA
KAF3067583.1	NA	IPR021858	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3068855.1	mobidb-lite	IPR005556	NA	NA	PF03856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3057567.1	NA	IPR014189	GO:0055114;GO:0016491	Reactome: R-HSA-6803205	PF08240;PF00107	SSF50129;SSF51735	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SM00829	cd05276	NA	NA	NA	TIGR02824	NA	NA	NA	NA
KAF3075919.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074903.1	NA	IPR010987	GO:0005515	NA	PF14497;PF13417	SSF52833;SSF47616	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	NA	cd03048	NA	PS50405;PS50404	NA	NA	NA	NA	NA	SFLDG00358;SFLDS00019
KAF3076503.1	NA	IPR007277	GO:0006888;GO:0016021;GO:0097020	NA	PF04148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3057559.1	NA	IPR037176	NA	NA	NA	SSF49870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077515.1	mobidb-lite	IPR005829	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	SSF103473	G3DSA:1.20.1250.20	NA	cd17356	NA	PS50850	PS00217	TIGR00879	NA	NA	NA	NA
KAF3074788.1	NA	IPR027414	GO:0003824;GO:0004560	KEGG: 00511+3.2.1.51|MetaCyc: PWY-6807	PF14498	SSF48208	G3DSA:1.50.10.10;G3DSA:2.70.98.50	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF007663	NA
KAF3065454.1	mobidb-lite	IPR001830	GO:0003824;GO:0005992	KEGG: 00500+2.4.1.15	PF00982	SSF53756	G3DSA:3.40.50.2000	NA	cd03788	NA	NA	NA	NA	NA	NA	NA	NA
KAF3067776.1	NA	IPR002346	GO:0016491;GO:0055114;GO:0046872;GO:0071949;GO:0009055;GO:0051536;GO:0005506;GO:0050660;GO:0004854;GO:0004855;GO:0051537	KEGG: 00230+1.17.1.4|MetaCyc: PWY-5497|MetaCyc: PWY-5695|MetaCyc: PWY-6538|MetaCyc: PWY-6596|MetaCyc: PWY-6606|MetaCyc: PWY-6607|MetaCyc: PWY-6608|MetaCyc: PWY-6999|Reactome: R-HSA-74259|Reactome: R-HSA-8851680	PF00941;PF01799;PF01315;PF00111;PF02738;PF03450	SSF56003;SSF47741;SSF56176;SSF54292;SSF54665;SSF55447	G3DSA:3.30.365.10	SM01008;SM01092	NA	NA	PS51387;PS51085	PS00197	TIGR02963	NA	NA	PIRSF000127	NA
KAF3059168.1	mobidb-lite	NA	NA	NA	PF13324	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3074812.1	mobidb-lite	IPR013087	GO:0003676	NA	PF00096	SSF57667	G3DSA:3.30.160.60	SM00355	NA	NA	PS50157	PS00028	NA	NA	NA	NA	NA
KAF3060142.1	mobidb-lite	IPR025974		Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	PF11699;PF15624	SSF51182	G3DSA:2.60.120.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3068238.1	NA	IPR020904	GO:0016491	NA	PF13561	SSF51735	G3DSA:3.40.50.720	NA	cd05233	PR00081	NA	PS00061	NA	NA	NA	NA	NA
KAF3073933.1	NA	IPR013785	GO:0003824;GO:0019752;GO:0046912;GO:0004410;GO:0019878	Reactome: R-HSA-211945	PF06441;PF00682	SSF53474;SSF51569	G3DSA:3.20.20.70;G3DSA:3.40.50.1820;G3DSA:1.10.238.260	NA	cd07948	PR00412	PS50991	PS00815	TIGR02146	NA	NA	NA	NA
KAF3062637.1	NA	IPR002656	GO:0016747	NA	PF01757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071608.1	NA	IPR035994	GO:0003824;GO:0009116;GO:0003676	NA	NA	SSF53167;SSF50370	G3DSA:3.40.50.1580;G3DSA:2.80.10.50	NA	NA	NA	NA	PS00028	NA	NA	NA	NA	NA
KAF3067929.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077179.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077357.1	NA	IPR011012	GO:0006886;GO:0016192;GO:0030131	NA	PF01217;PF00928	SSF64356;SSF49447	G3DSA:2.60.40.1170;G3DSA:3.30.450.60	NA	cd14835;cd09250	PR00314	PS51072	PS00991;PS00990	NA	NA	NA	PIRSF005992	NA
KAF3068136.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074634.1	mobidb-lite	IPR017956	GO:0003677	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	PF13094	NA	NA	SM00384	NA	PR00929	NA	NA	NA	NA	Coil	NA	NA
KAF3057571.1	NA	IPR000086	GO:0016787	NA	PF00293	SSF55811	G3DSA:3.90.79.10	NA	cd02883	NA	PS51462	PS00893	NA	NA	NA	NA	NA
KAF3073315.1	NA	IPR027443	NA	NA	NA	SSF51197	G3DSA:2.60.120.330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075736.1	mobidb-lite	IPR003120	GO:0003700;GO:0005634;GO:0006355;GO:0003676	NA	PF00096;PF02200	SSF57667	G3DSA:3.30.160.60	SM00424;SM00355	NA	NA	PS50157	PS00028	NA	NA	NA	NA	NA
KAF3071802.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075277.1	mobidb-lite	IPR003959	GO:0005524	NA	PF00004	SSF52540	G3DSA:3.40.50.300	SM00382	cd00009	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3067602.1	mobidb-lite	IPR018617	NA	NA	PF09779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073210.1	mobidb-lite	IPR001680	GO:0005515	NA	PF13385;PF14844;PF02138	SSF50729;SSF81837;SSF49899;SSF50978	G3DSA:2.130.10.10;G3DSA:2.60.120.200;G3DSA:1.10.1540.10	SM00320;SM01026	cd01201;cd06071	NA	PS51783;PS50197;PS50082;PS50294	NA	NA	NA	NA	NA	NA
KAF3068650.1	mobidb-lite	IPR021858	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF11951;PF00172	SSF57701	G3DSA:4.10.240.10	SM00066	cd00067	NA	PS50048	PS00463	NA	NA	NA	NA	NA
KAF3076505.1	mobidb-lite	IPR002313	GO:0004824;GO:0005524;GO:0006430;GO:0000166;GO:0004812;GO:0006418;GO:0003676;GO:0005737	KEGG: 00970+6.1.1.6|Reactome: R-HSA-2408522|Reactome: R-HSA-379716|Reactome: R-HSA-379726	PF00152;PF01336	SSF55681;SSF50249	G3DSA:3.30.930.10;G3DSA:2.40.50.140	NA	cd00775;cd04322	PR00982	PS50862	NA	TIGR00499	MF_00252	Coil	PIRSF039101	NA
KAF3075675.1	mobidb-lite	IPR037103	GO:0003924;GO:0005874;GO:0007017;GO:0005525;GO:0005200	Reactome: R-HSA-1445148|Reactome: R-HSA-190840|Reactome: R-HSA-190861|Reactome: R-HSA-2132295|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3371497|Reactome: R-HSA-380320|Reactome: R-HSA-437239|Reactome: R-HSA-5617833|Reactome: R-HSA-5626467|Reactome: R-HSA-5663220|Reactome: R-HSA-6807878|Reactome: R-HSA-6811434|Reactome: R-HSA-6811436|Reactome: R-HSA-68877|Reactome: R-HSA-8852276|Reactome: R-HSA-8955332|Reactome: R-HSA-9609736|Reactome: R-HSA-9619483|Reactome: R-HSA-983189	PF00091;PF03953	SSF55307;SSF52490	G3DSA:3.30.1330.20;G3DSA:1.10.287.600;G3DSA:3.40.50.1440	SM00864;SM00865	cd02187	PR01161;PR01163	NA	PS00227	NA	NA	Coil	NA	NA
KAF3057495.1	mobidb-lite	IPR018325		Reactome: R-HSA-3108214|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395	PF03835	SSF54001	G3DSA:3.10.620.30;G3DSA:2.20.25.10	SM00460	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3067630.1	mobidb-lite	IPR007125	GO:0000786;GO:0003677;GO:0046982	Reactome: R-HSA-3214858	PF00125;PF16211	SSF47113	G3DSA:1.10.20.10	SM00414	cd00074	PR00620	NA	NA	NA	NA	NA	NA	NA
KAF3057913.1	mobidb-lite	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	PF13520	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA
KAF3070190.1	NA	IPR024607	GO:0003824;GO:0008484	NA	PF00884	SSF53649	G3DSA:3.40.720.10;G3DSA:3.30.1120.10	NA	cd16025	NA	NA	PS00149	NA	NA	NA	NA	NA
KAF3075429.1	mobidb-lite	IPR000626	GO:0005515	NA	NA	SSF54236	G3DSA:3.10.20.90	SM00213	cd01791	NA	PS50053	NA	NA	NA	NA	NA	NA
KAF3066942.1	NA	IPR012901		KEGG: 00340+2.1.1.22|Reactome: R-HSA-70921	PF07942	SSF53335	G3DSA:3.40.50.150	SM01296	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075259.1	NA	IPR018108	GO:0017119;GO:0005743;GO:0015187;GO:1904983	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	PF00153;PF04124	SSF103506	G3DSA:1.50.40.10	NA	NA	NA	PS50920	NA	NA	MF_03064	NA	NA	NA
KAF3075199.1	NA	IPR004686	GO:0006811;GO:0015075;GO:0016020;GO:0055085	NA	PF03820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074817.1	mobidb-lite	IPR000504	GO:0003676;GO:0003735;GO:0005840;GO:0006412;GO:0003723;GO:0005634;GO:0006397	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00076;PF08069;PF00312	SSF54928;SSF47060	G3DSA:1.10.287.10;G3DSA:3.30.70.330;G3DSA:1.10.8.1030	SM01387;SM01386;SM00361;SM00360	cd00353;cd12232	NA	PS50102	PS00362	TIGR01642	MF_01343_A	NA	NA	NA
KAF3066248.1	mobidb-lite	IPR020915	NA	NA	PF11578	NA	G3DSA:2.40.160.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071660.1	NA	IPR003833	GO:0005524;GO:0046872	Reactome: R-HSA-196780|Reactome: R-HSA-3371599	PF02682;PF00364;PF02786;PF02785;PF02626;PF00289	SSF52440;SSF160467;SSF50891;SSF51230;SSF56059;SSF51246	G3DSA:3.30.1360.40;G3DSA:2.40.100.10;G3DSA:3.30.470.130;G3DSA:2.40.50.100	SM00797;SM00796;SM00878	cd06850	NA	PS50975;PS50968;PS50979	PS00867	NA	NA	NA	NA	NA
KAF3068771.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3076977.1	mobidb-lite	IPR016864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF028035	NA
KAF3072667.1	NA	IPR014352	GO:0000062	NA	PF00887	SSF47027	G3DSA:1.20.80.10	NA	NA	NA	PS51228	NA	NA	NA	NA	NA	NA
KAF3076941.1	NA	IPR000701	GO:0016627;GO:0016020;GO:0000104;GO:0006099;GO:0045281	Reactome: R-HSA-611105|Reactome: R-HSA-71403	PF01127	SSF81343	G3DSA:1.20.1300.10	NA	cd03499	NA	NA	NA	NA	NA	NA	PIRSF000178	NA
KAF3060220.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075169.1	mobidb-lite	IPR002710	GO:0005515	NA	PF12796;PF01843	SSF48403	G3DSA:1.25.40.20	SM00248;SM01132	cd15473	NA	PS51126;PS50297;PS50088	NA	NA	NA	NA	NA	NA
KAF3063318.1	mobidb-lite	IPR012965	NA	NA	PF08101	NA	NA	NA	cd04401	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3068074.1	mobidb-lite	IPR041681	GO:0005086;GO:0032012	NA	PF15410;PF01369	SSF50729;SSF48425	G3DSA:2.30.29.30;G3DSA:1.10.1000.11	SM00222	cd00171	NA	PS50190	NA	NA	NA	NA	NA	NA
KAF3056107.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3072417.1	mobidb-lite	IPR002905	GO:0003723;GO:0004809;GO:0008033;GO:0016301;GO:0003951	MetaCyc: PWY-6829	PF00781;PF02005	SSF53335;SSF111331	G3DSA:2.60.200.40;G3DSA:3.30.56.70;G3DSA:3.40.50.10330	NA	NA	NA	PS51626;PS50146	NA	NA	NA	NA	NA	NA
KAF3076039.1	NA	IPR000334	GO:0005975;GO:0008810	KEGG: 00500+3.2.1.4|MetaCyc: PWY-6788	PF02015;PF06985	SSF50685;SSF55961	G3DSA:2.40.40.10	NA	NA	NA	NA	PS01140	NA	NA	NA	NA	NA
KAF3074278.1	mobidb-lite	IPR013126		Reactome: R-HSA-3371453	PF00012	SSF53067	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	cd10229	PR00301	NA	NA	NA	NA	NA	NA	NA
KAF3075554.1	NA	IPR002133	GO:0004478;GO:0005524;GO:0006556	KEGG: 00270+2.5.1.6|MetaCyc: PWY-5041|MetaCyc: PWY-5912|Reactome: R-HSA-156581	PF02772;PF00438;PF02773	SSF55973	G3DSA:3.30.300.10	NA	cd18079	NA	NA	PS00376;PS00377	TIGR01034	MF_00086	NA	PIRSF000497	NA
KAF3068162.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077431.1	mobidb-lite	IPR000571	GO:0046872	NA	PF00642;PF16543	SSF90229	NA	SM00356	NA	NA	PS50103	NA	NA	NA	Coil	NA	NA
