Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	SUPERFAMILY	TIGRFAM	ProSitePatterns	Gene3D	ProSiteProfiles	Coils	CDD	SMART	PRINTS	Hamap	PIRSF	SFLD
EHK44238.1	mobidb-lite	IPR017986	GO:0005515	NA	PF12894	SSF50978	NA	NA	NA	PS50294;PS50082	NA	NA	SM00320	NA	NA	NA	NA
EHK40737.1	NA	IPR002347	GO:0016491	NA	PF00106	SSF51735	NA	PS00061	NA	NA	NA	cd05233	NA	PR00080;PR00081	NA	NA	NA
EHK42373.1	NA	IPR029058	NA	NA	PF00135	SSF53474	NA	PS00122	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
EHK47962.1	mobidb-lite	IPR006636	GO:0003684;GO:0006289;GO:0043161;GO:0005515;GO:0042025	Reactome: R-HSA-5689877|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395	PF00627;PF09280;PF00240	SSF54236;SSF46934;SSF101238	TIGR00601	NA	G3DSA:1.10.8.10;G3DSA:1.10.10.540;G3DSA:3.10.20.90	PS50030;PS50053	NA	cd14281;cd01805	SM00727;SM00165;SM00213	PR01839	NA	NA	NA
EHK40487.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46221.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK49397.1	NA	IPR011701	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	NA	cd17323	NA	NA	NA	NA	NA
EHK41846.1	mobidb-lite	IPR003903	NA	NA	NA	NA	NA	NA	NA	PS50330	Coil	NA	NA	NA	NA	NA	NA
EHK46648.1	NA	IPR036249	GO:0045454	NA	PF00085	SSF52833	NA	NA	G3DSA:3.40.30.10	PS51352	NA	cd02947	NA	PR00421	NA	NA	NA
EHK48554.1	NA	IPR002885	GO:0005515	NA	PF13041	NA	NA	NA	G3DSA:1.25.40.10	PS51375	NA	NA	NA	NA	NA	NA	NA
EHK42020.1	mobidb-lite	IPR002347	GO:0016491	NA	PF13561	SSF51735	NA	PS00061	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00080;PR00081	NA	NA	NA
EHK47238.1	NA	IPR042099	NA	NA	NA	SSF56801	NA	NA	G3DSA:3.40.50.12780	NA	NA	cd05913	NA	NA	NA	NA	NA
EHK50980.1	NA	IPR023346	NA	NA	PF13702	SSF53955	NA	NA	G3DSA:1.10.530.10	NA	NA	cd16891	NA	NA	NA	NA	NA
EHK44394.1	mobidb-lite	IPR000742	NA	NA	NA	NA	NA	PS00022;PS01186	G3DSA:2.10.25.10	PS50026	NA	cd00054	NA	NA	NA	NA	NA
EHK49603.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	PF04082;PF00172	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	Coil	cd00067;cd12148	SM00906;SM00066	NA	NA	NA	NA
EHK44297.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	SSF57701	NA	NA	NA	PS50048	NA	cd00067	NA	NA	NA	NA	NA
EHK50850.1	NA	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	PF00743	SSF51905	NA	NA	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA
EHK42381.1	NA	IPR002034	GO:0019752;GO:0046912;GO:0003824;GO:0004410;GO:0019878	KEGG: 00290+2.3.3.13|KEGG: 00620+2.3.3.13|MetaCyc: PWY-6871	PF00682	SSF51569	TIGR02146	PS00815;PS00816	G3DSA:3.20.20.70;G3DSA:1.10.238.260	PS50991	Coil	cd07948	NA	NA	NA	NA	NA
EHK43186.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK47392.1	NA	IPR011008	NA	NA	PF07876	SSF54909	NA	NA	G3DSA:3.30.70.100	PS51502	NA	NA	SM00886	NA	NA	NA	NA
EHK45203.1	mobidb-lite	IPR007529	NA	NA	PF04438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49635.1	mobidb-lite	IPR029052	GO:0016787	NA	PF00149	SSF56300	NA	NA	G3DSA:3.60.21.10	NA	NA	cd07379	NA	NA	NA	NA	NA
EHK40813.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43652.1	mobidb-lite	IPR015424	GO:0003824;GO:0019346;GO:0030170	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	PF01053	SSF53383	NA	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK47410.1	mobidb-lite	IPR007369	GO:0004190;GO:0016021	NA	PF04258	NA	NA	NA	NA	NA	Coil	NA	SM00730	NA	NA	NA	NA
EHK49688.1	mobidb-lite	IPR029071	NA	NA	NA	SSF54236	NA	NA	G3DSA:3.10.20.90	NA	Coil	cd01790	NA	NA	NA	NA	NA
EHK47503.1	mobidb-lite	IPR028299	GO:0005524;GO:0019538	NA	PF07724;PF10431;PF00004;PF17871;PF02861	SSF81923;SSF52540	NA	PS00871;PS00870	G3DSA:3.40.50.300;G3DSA:1.10.1780.10;G3DSA:1.10.8.60	NA	Coil	cd00009	SM01086;SM00382	PR00300	NA	NA	NA
EHK45227.1	NA	IPR023395	NA	NA	PF00153	SSF103506	NA	NA	G3DSA:1.50.40.10	PS50920	NA	NA	NA	NA	NA	NA	NA
EHK42576.1	NA	IPR011008	NA	NA	NA	SSF54909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50036.1	mobidb-lite	IPR004088	GO:0003723;GO:0003676	NA	PF00013	SSF54791	NA	NA	G3DSA:3.30.1370.10	PS50084	NA	cd02396;cd00105	SM00322	NA	NA	NA	NA
EHK45864.1	NA	IPR013785	GO:0003824;GO:0004514;GO:0009435;GO:0016763	Reactome: R-HSA-196807	PF02749;PF01729	SSF51690;SSF54675	TIGR00078	NA	G3DSA:3.20.20.70;G3DSA:3.90.1170.20	NA	NA	cd01572	NA	NA	NA	PIRSF006250	NA
EHK45644.1	NA	IPR036291	NA	NA	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA
EHK41113.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42453.1	NA	IPR037176	NA	NA	NA	SSF49870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49379.1	NA	IPR036188	GO:0016491;GO:0055114	NA	PF07992	SSF51905	NA	NA	G3DSA:3.50.50.100	NA	NA	NA	NA	PR00368;PR00411	NA	NA	NA
EHK43290.1	NA	IPR029006	GO:0003779;GO:0034316;GO:0071933	NA	PF00241	SSF55753	NA	NA	G3DSA:3.40.20.10	PS51263	NA	cd11283	SM00102	NA	NA	PIRSF001788	NA
EHK40599.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47576.1	mobidb-lite	IPR006603	NA	NA	PF04193	NA	NA	NA	G3DSA:1.20.1280.290	NA	NA	NA	SM00679	NA	NA	NA	NA
EHK39988.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47551.1	mobidb-lite	IPR000504	GO:0003676	NA	PF00076;PF10378	SSF54928	NA	NA	G3DSA:3.30.70.330	PS50102	NA	cd12523;cd12521;cd12522;cd12520	SM00360	NA	NA	NA	NA
EHK42036.1	mobidb-lite	IPR016589	GO:0000213;GO:0000214;GO:0006388;GO:0003676;GO:0004518	MetaCyc: PWY-6689|MetaCyc: PWY-7803|Reactome: R-HSA-6784531	PF01974	SSF53032	NA	NA	G3DSA:3.40.1350.10	NA	Coil	NA	NA	NA	NA	PIRSF011789	NA
EHK46634.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50928.1	NA	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44929.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	NA	cd12148;cd00067	SM00066	NA	NA	NA	NA
EHK44892.1	mobidb-lite	IPR030400	GO:0006508;GO:0008236;GO:0004252;GO:0070403	Reactome: R-HSA-381038	PF09286;PF02146	SSF54897;SSF52743;SSF52467	NA	NA	G3DSA:3.40.50.1220;G3DSA:3.30.1600.10;G3DSA:3.40.50.200	PS51695;PS50305	NA	cd11377;cd04056	SM00944	NA	NA	NA	NA
EHK42475.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	NA	cd12148;cd00067	SM00066	NA	NA	NA	NA
EHK41266.1	NA	IPR023214	GO:0016791	NA	PF13242;PF13344	SSF56784	TIGR01460;TIGR01452	NA	G3DSA:3.40.50.1000	NA	NA	NA	NA	NA	NA	PIRSF000915	NA
EHK46478.1	NA	IPR000979	GO:0030904;GO:0042147	Reactome: R-HSA-3238698	PF12850	SSF56300	TIGR00040	NA	G3DSA:3.60.21.10	NA	NA	cd07394	NA	NA	NA	NA	NA
EHK45620.1	mobidb-lite	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021	Reactome: R-HSA-189200	PF00083	SSF103473	TIGR00879	PS00216;PS00217	G3DSA:1.20.1250.20	PS50850	NA	cd17360	NA	PR00171	NA	NA	NA
EHK45555.1	mobidb-lite	IPR011011	NA	NA	PF00628	SSF57903	NA	PS01359	G3DSA:3.30.40.10	PS50330	NA	NA	SM00249	NA	NA	NA	NA
EHK42037.1	mobidb-lite	IPR029044	GO:0016757	KEGG: 00600+2.4.1.80|MetaCyc: PWY-5129|MetaCyc: PWY-7836|MetaCyc: PWY-7838|MetaCyc: PWY-7839|MetaCyc: PWY-7841|Reactome: R-HSA-1660662	PF13506	SSF53448	NA	NA	G3DSA:3.90.550.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK42365.1	NA	IPR000073	NA	NA	PF00561	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
EHK50664.1	NA	IPR001209	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00253	NA	NA	PS00527	G3DSA:4.10.830.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK41844.1	mobidb-lite	IPR008271	GO:0004672;GO:0006468;GO:0005515;GO:0000077;GO:0004694;GO:0010998;GO:0005524	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PF12745;PF00069;PF13393;PF05773	SSF56112;SSF55681;SSF54495	NA	PS00108;PS00107	G3DSA:3.40.50.800;G3DSA:1.10.510.10;G3DSA:3.30.200.20;G3DSA:3.30.930.10;G3DSA:3.10.110.10	PS50908;PS50011	Coil	cd14046;cd14012	SM00591;SM00220	NA	NA	PIRSF000660	NA
EHK44110.1	mobidb-lite	IPR001650	GO:0005524	NA	PF00271;PF00176	SSF52540	NA	NA	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	PS51194;PS51192	Coil	cd18008;cd18793	SM00487;SM00490	NA	NA	NA	NA
EHK44964.1	mobidb-lite	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	PF04116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46090.1	NA	IPR008927	GO:0055114;GO:0016491;GO:0050662;GO:0003824;GO:0008926;GO:0019594	KEGG: 00051+1.1.1.17|MetaCyc: PWY-6531	PF08125;PF01232	SSF48179;SSF51735	NA	NA	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	NA	NA	NA	NA	PR00084	MF_00196	NA	NA
EHK42960.1	mobidb-lite	IPR021715		Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856	PF11708	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK45586.1	NA	IPR021109	GO:0004190;GO:0006508	NA	PF00026	SSF50630	NA	PS00141	G3DSA:2.40.70.10	PS51767;PS51257	NA	cd05471	NA	PR00792	NA	NA	NA
EHK46878.1	NA	IPR023210	NA	NA	PF00248	SSF51430	NA	NA	G3DSA:3.20.20.100	NA	NA	cd06660	NA	NA	NA	NA	NA
EHK39512.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK51053.1	NA	IPR018108	GO:0005347;GO:0055085	NA	PF00153	SSF103506	NA	NA	G3DSA:1.50.40.10	PS50920	NA	NA	NA	PR00926	NA	NA	NA
EHK43131.1	NA	IPR011877	GO:0004747;GO:0006014;GO:0016301	KEGG: 00030+2.7.1.15|Reactome: R-HSA-71336	PF00294	SSF53613	NA	NA	G3DSA:3.40.1190.20	NA	NA	cd01174	NA	PR00990	MF_01987	NA	NA
EHK46612.1	NA	IPR035940	GO:0005576	NA	PF00188	SSF55797	NA	PS01009	G3DSA:3.40.33.10	NA	NA	cd05384	SM00198	PR00837	NA	NA	NA
EHK40815.1	NA	IPR000131	GO:0015986;GO:0045261;GO:0046933	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	PF00231	SSF52943	TIGR01146	PS00153	G3DSA:1.10.287.80;G3DSA:3.40.1380.10	NA	NA	cd12151	NA	PR00126	NA	PIRSF039089	NA
EHK48015.1	mobidb-lite	IPR000629	GO:0003676;GO:0005524	NA	PF00271;PF00270	SSF52540	NA	PS00039	G3DSA:3.40.50.300	PS51192;PS51194;PS51195	NA	cd17955;cd18787	SM00487;SM00490	NA	NA	NA	NA
EHK46310.1	mobidb-lite	IPR027417	GO:0005525	NA	PF05879	SSF52540	NA	NA	G3DSA:3.40.50.300	PS51715	NA	cd01851	NA	NA	MF_03109	NA	NA
EHK49875.1	mobidb-lite	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	SSF56112	NA	PS00108	G3DSA:1.10.510.10	PS50011	NA	cd00180	SM00220	NA	NA	NA	NA
EHK47017.1	NA	IPR003010	GO:0006807;GO:0016810	NA	PF00795	SSF56317	NA	PS00921	G3DSA:3.60.110.10	PS50263	NA	cd07564	NA	NA	NA	NA	NA
EHK47118.1	NA	IPR001547	GO:0004553;GO:0005975	NA	PF00150	SSF51445	NA	NA	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	NA
EHK49719.1	NA	IPR000727	GO:0005484;GO:0006886;GO:0016020;GO:0016192	NA	PF05739	SSF47661	NA	PS00914	G3DSA:1.20.58.70	PS50192	Coil	cd15845	SM00397	NA	NA	NA	NA
EHK42812.1	NA	IPR008427	NA	NA	PF05730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49817.1	NA	IPR000209	GO:0004252;GO:0006508;GO:0008236	Reactome: R-HSA-381038	PF00082;PF09286	SSF54897;SSF52743	NA	NA	G3DSA:3.40.50.200	PS51695	NA	cd11377;cd04056	SM00944	NA	NA	NA	NA
EHK41962.1	mobidb-lite	IPR036259	NA	NA	NA	SSF103473	NA	NA	NA	NA	NA	cd06179	NA	NA	NA	NA	NA
EHK42098.1	mobidb-lite	IPR001474	GO:0003934;GO:0046654	KEGG: 00790+3.5.4.16|MetaCyc: PWY-5663|MetaCyc: PWY-5664|MetaCyc: PWY-6147|MetaCyc: PWY-6703|MetaCyc: PWY-6983|MetaCyc: PWY-7442|MetaCyc: PWY-7852|Reactome: R-HSA-1474151	PF01227	SSF55620	TIGR00063	PS00860;PS00859	G3DSA:1.10.286.10;G3DSA:3.30.1130.10	NA	NA	cd00642	NA	NA	MF_00223	NA	NA
EHK44736.1	mobidb-lite	IPR007718	NA	NA	PF05022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42076.1	mobidb-lite	IPR036770	GO:0005515	NA	PF12796	SSF48403	NA	NA	G3DSA:1.25.40.20	PS50297;PS50088	NA	NA	SM00248	NA	NA	NA	NA
EHK50659.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	NA	cd12148;cd00067	SM00066	NA	NA	NA	NA
EHK45788.1	mobidb-lite	IPR036249	GO:0045454;GO:0006412;GO:0008168	NA	PF00085;PF09243	SSF52833;SSF53335	NA	PS00194	G3DSA:3.40.50.150;G3DSA:3.40.30.10	PS51352	Coil	cd02947	NA	PR00421	NA	NA	NA
EHK50467.1	NA	IPR016040	NA	NA	PF13460	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA
EHK39385.1	NA	IPR036291	GO:0003824;GO:0050662	NA	PF01370	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA
EHK47769.1	NA	IPR000868	GO:0003824	KEGG: 00970+6.3.5.7	PF00857;PF01425	SSF75304;SSF52499	NA	PS00571	G3DSA:1.20.58.1700;G3DSA:3.40.50.850;G3DSA:3.90.1300.10	NA	NA	cd00431	NA	NA	NA	NA	NA
EHK41412.1	NA	IPR011989	NA	NA	PF08389	SSF48371	NA	NA	G3DSA:1.25.10.10	NA	Coil	NA	NA	NA	NA	NA	NA
EHK48175.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45122.1	NA	IPR017946	GO:0006629;GO:0008081	NA	NA	SSF51695	NA	NA	G3DSA:3.20.20.190	NA	NA	NA	NA	NA	NA	NA	NA
EHK39975.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42077.1	mobidb-lite	IPR013049	GO:0003677;GO:0003824;GO:0005524;GO:0005694;GO:0006259;GO:0016889;GO:0000737	Reactome: R-HSA-912446	PF04406	SSF56726	NA	NA	NA	NA	NA	NA	NA	PR01550	NA	NA	NA
EHK44009.1	NA	IPR029062	GO:0006464;GO:0004077	Reactome: R-HSA-196780|Reactome: R-HSA-3371599	PF09825;PF03099	SSF52317;SSF55681	TIGR00121	NA	G3DSA:3.30.930.10;G3DSA:3.40.50.880	PS51733	NA	cd03144;cd16442	NA	NA	NA	NA	NA
EHK41690.1	mobidb-lite	IPR036322	GO:0005515;GO:0006364;GO:0032040	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PF08625;PF00400	SSF50978	NA	PS00678	G3DSA:2.130.10.10	PS50082;PS50294	NA	cd00200	SM00320	PR00320	NA	NA	NA
EHK45356.1	mobidb-lite	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	PF04082;PF00172	SSF57701	NA	NA	G3DSA:4.10.240.10	PS50048	Coil	cd00067;cd12148	SM00906;SM00066	NA	NA	NA	NA
EHK51077.1	NA	IPR040079	GO:0004364;GO:0005737;GO:0005515	KEGG: 00053+1.8.5.1|KEGG: 00480+2.5.1.18+1.8.5.1|KEGG: 00980+2.5.1.18|KEGG: 00982+2.5.1.18|KEGG: 00983+2.5.1.18|MetaCyc: PWY-2261|MetaCyc: PWY-4061|MetaCyc: PWY-4202|MetaCyc: PWY-6370|MetaCyc: PWY-6842|MetaCyc: PWY-7112|MetaCyc: PWY-7533|Reactome: R-HSA-156590|Reactome: R-HSA-196836	PF13409;PF00043	SSF47616;SSF52833	NA	NA	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	PS50404;PS50405	NA	cd00570	NA	PR01625	NA	NA	SFLDS00019;SFLDG00358
EHK44558.1	NA	IPR000182	GO:0008080	NA	PF13302	SSF55729	NA	NA	G3DSA:3.40.630.30	PS51186	NA	cd04301	NA	NA	NA	NA	NA
EHK39973.1	NA	IPR002737		Reactome: R-HSA-6785631	PF01875	NA	TIGR04336	NA	G3DSA:3.40.830.10	NA	NA	cd07361	NA	NA	MF_00055	NA	NA
EHK45455.1	NA	IPR011009		Reactome: R-HSA-163841	PF03881	SSF56112	NA	NA	G3DSA:3.90.1200.10	NA	NA	NA	NA	NA	NA	PIRSF006221	NA
EHK45723.1	mobidb-lite	IPR019050		MetaCyc: PWY-6938	PF03853;PF09532	SSF64153	NA	NA	G3DSA:3.40.50.10260	PS51512;PS51385	Coil	NA	SM01199	NA	NA	NA	NA
EHK41734.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44528.1	NA	IPR000683	GO:0016491	NA	PF01408	SSF51735;SSF55347	NA	NA	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK44552.1	mobidb-lite	IPR012334	GO:0004650;GO:0005975	NA	PF00295	SSF51126	NA	PS00502	G3DSA:2.160.20.10	NA	NA	NA	SM00710	NA	NA	NA	NA
EHK49571.1	mobidb-lite	IPR020838	GO:0003677;GO:0005524	NA	PF13892;PF00271;PF00176	SSF52540	NA	NA	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	PS51413;PS51194;PS51192	Coil	cd18793;cd18002	SM00487;SM00490	NA	NA	NA	NA
EHK40974.1	mobidb-lite	IPR015915	GO:0005515	NA	PF12768	SSF50965	NA	NA	G3DSA:2.120.10.80	NA	NA	NA	NA	NA	NA	NA	NA
EHK42425.1	NA	IPR013783		KEGG: 00511+3.2.1.25|Reactome: R-HSA-6798695|Reactome: R-HSA-8853383	PF17753;PF17786	SSF49785;SSF51445;SSF49303	NA	NA	G3DSA:3.20.20.80;G3DSA:2.60.40.10;G3DSA:2.60.120.260	PS51257	NA	NA	NA	NA	NA	NA	NA
EHK43213.1	NA	IPR004360	NA	NA	PF00903	SSF54593	NA	NA	G3DSA:3.10.180.10	PS51819	NA	cd06587	NA	NA	NA	NA	NA
EHK48415.1	NA	IPR008030		Reactome: R-HSA-70635	PF05368	SSF51735	NA	NA	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK48707.1	mobidb-lite	IPR003691	GO:0016021	NA	PF02537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45217.1	NA	IPR036663	GO:0003824	NA	PF01557	SSF56529	NA	NA	G3DSA:3.90.850.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK47507.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	NA	NA	NA	NA	cd12148	SM00906	NA	NA	NA	NA
EHK49045.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45504.1	mobidb-lite	IPR037525	NA	NA	PF11754	NA	NA	NA	G3DSA:2.60.40.3960	PS51821	NA	NA	NA	NA	NA	NA	NA
EHK43755.1	NA	IPR036259	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	NA	cd17352	NA	NA	NA	NA	NA
EHK43532.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK50114.1	NA	IPR008901	GO:0006672;GO:0016021;GO:0016811	Reactome: R-HSA-1660661	PF05875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44192.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172;PF11951	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	NA	cd00067	SM00066	NA	NA	NA	NA
EHK45282.1	NA	IPR029060	GO:0003723;GO:0004540	NA	PF17849;PF17215;PF00773;PF17216;PF13638	SSF88723;SSF50249	NA	PS01175	G3DSA:2.40.50.140;G3DSA:2.40.50.690;G3DSA:3.40.50.1010;G3DSA:2.40.50.700	NA	NA	cd09862	SM00955;SM00670	NA	NA	NA	NA
EHK41343.1	mobidb-lite	IPR023591	GO:0003735;GO:0006412;GO:0015935;GO:0005840	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00318;PF16122	SSF52313	TIGR01012	PS00963	G3DSA:3.40.50.10490	NA	NA	cd01425	NA	PR00395	MF_03015	NA	NA
EHK46850.1	NA	IPR040632	NA	NA	PF17784	SSF52540	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA
EHK41462.1	mobidb-lite	IPR001683	GO:0035091	NA	PF00787	SSF58038;SSF64268	NA	NA	G3DSA:1.20.5.110;G3DSA:3.30.1520.10	PS50195;PS50192	Coil	cd15858;cd06897	SM00397;SM00312	NA	NA	NA	NA
EHK42589.1	NA	IPR023213	GO:0016747	Reactome: R-HSA-389661	PF02458	NA	NA	NA	G3DSA:3.30.559.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK44916.1	NA	IPR036259	GO:0016020;GO:0022857;GO:0055085;GO:0006857	Reactome: R-HSA-427975	PF00854	SSF103473	NA	PS01023	G3DSA:1.20.1250.20	NA	NA	cd17350	NA	NA	NA	NA	NA
EHK47300.1	NA	IPR027417	GO:0005524	NA	PF00004;PF17866	SSF52540	NA	NA	G3DSA:1.10.8.60;G3DSA:3.40.50.300	NA	NA	cd00009	SM00382	PR00819	NA	NA	NA
EHK42264.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK39758.1	NA	IPR002347	GO:0016491	NA	PF13561	SSF51735	NA	PS00061	G3DSA:3.40.50.720	NA	NA	cd05233	NA	PR00081;PR00080	NA	NA	NA
EHK50144.1	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	Coil	cd00067;cd12148	SM00066	NA	NA	NA	NA
EHK39982.1	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	SSF56112	NA	PS00107;PS00108	G3DSA:1.10.510.10	PS50011	NA	NA	SM00220	NA	NA	NA	NA
EHK50298.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44595.1	NA	IPR011089	NA	NA	PF07510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
