Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	Coils	SUPERFAMILY	Gene3D	ProSiteProfiles	CDD	SMART	TIGRFAM	PRINTS	ProSitePatterns	PIRSF	SFLD	Hamap
OPB40736.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40757.1	NA	IPR000383	GO:0016787	NA	PF02129	NA	SSF53474	G3DSA:1.10.3020.20;G3DSA:3.40.50.1820	NA	NA	NA	TIGR00976	NA	NA	NA	NA	NA
OPB40919.1	NA	IPR008928	GO:0003824;GO:0004560	KEGG: 00511+3.2.1.51|MetaCyc: PWY-6807	PF14498	NA	SSF48208	G3DSA:2.60.40.1180;G3DSA:2.70.98.50;G3DSA:1.50.10.10	NA	NA	NA	NA	NA	NA	PIRSF007663	NA	NA
OPB46406.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40794.1	NA	IPR000182	GO:0008080	NA	PF00583;PF18014	NA	SSF55729	G3DSA:3.40.630.30	PS51186	cd04301	NA	NA	NA	NA	NA	NA	NA
OPB41821.1	NA	IPR025207	GO:0031511	NA	PF13093	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42415.1	mobidb-lite	IPR024974	NA	NA	PF13019	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44212.1	NA	IPR000073	GO:0006487;GO:0008250;GO:0016021	Reactome: R-HSA-1799339|Reactome: R-HSA-446203	PF00561;PF05817	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	PR00111	NA	NA	NA	NA
OPB43725.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	NA	SSF57701	G3DSA:4.10.240.10	PS50048	cd00067	SM00066	NA	PR00755	NA	NA	NA	NA
OPB36696.1	mobidb-lite	IPR011989	GO:0003723	NA	NA	Coil	SSF48371	G3DSA:1.25.10.10	NA	NA	SM00025	NA	NA	NA	NA	NA	NA
OPB43398.1	NA	IPR001670	GO:0016491;GO:0046872;GO:0055114;GO:0018506	Reactome: R-HSA-880009	PF00465	NA	SSF56796	G3DSA:3.40.50.1970;G3DSA:1.20.1090.10	NA	cd08177	NA	NA	NA	NA	NA	NA	NA
OPB41941.1	NA	IPR012341	GO:0003824;GO:0004571;GO:0005509;GO:0016020	NA	PF01532	NA	SSF48225	G3DSA:1.50.10.10	NA	NA	NA	NA	PR00747	NA	NA	NA	NA
OPB38176.1	mobidb-lite	IPR019740	GO:0016638;GO:0055114;GO:0004733;GO:0008615;GO:0010181;GO:0048037	KEGG: 00750+1.4.3.5|MetaCyc: PWY-7204|MetaCyc: PWY-7282|Reactome: R-HSA-964975	PF10590;PF01243	NA	SSF50475	G3DSA:2.30.110.10	NA	NA	NA	TIGR00558	NA	PS01064	NA	NA	NA
OPB40892.1	NA	IPR020558	GO:0003824;GO:0004160;GO:0009082	KEGG: 00290+4.2.1.9|KEGG: 00770+4.2.1.9|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-7111	PF00920	NA	SSF143975;SSF52016	G3DSA:3.50.30.80	NA	NA	NA	TIGR00110	NA	PS00887;PS00886	NA	NA	MF_00012
OPB43848.1	NA	IPR003382	GO:0003824	Reactome: R-HSA-196783	PF02441	NA	SSF52507	G3DSA:3.40.50.1950	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43401.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	NA	SSF48264	G3DSA:1.10.630.10	NA	NA	NA	NA	PR00385;PR00463	PS00086	NA	NA	NA
OPB42891.1	NA	IPR014347	NA	NA	PF14832	NA	NA	G3DSA:3.30.429.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40075.1	mobidb-lite	IPR021858	NA	NA	PF11951	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
OPB45796.1	NA	IPR036291		Reactome: R-HSA-70635	PF05368	NA	SSF51735	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	cd05259	NA	NA	NA	NA	NA	NA	NA
OPB39544.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PS51808	NA	NA	NA	NA	NA	NA	NA	NA
OPB38944.1	NA	IPR006593	NA	NA	PF03188	NA	NA	G3DSA:1.20.120.1770	PS50939	cd08761	SM00665	NA	NA	NA	NA	NA	NA
OPB38120.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36902.1	mobidb-lite	IPR019380		Reactome: R-HSA-6798695	PF10252	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38576.1	mobidb-lite	IPR001727	NA	NA	PF01169	Coil	NA	NA	NA	NA	NA	NA	NA	PS01214	NA	NA	NA
OPB42739.1	NA	IPR013595	NA	NA	PF08386	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46467.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40089.1	NA	IPR011431	NA	NA	PF07543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45839.1	NA	IPR001345	GO:0003824	NA	PF00300	NA	SSF53254	G3DSA:3.40.50.1240	NA	cd07067	SM00855	NA	NA	PS00175	PIRSF000709	NA	NA
OPB39058.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45270.1	NA	IPR023803	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF00886	NA	SSF54565	G3DSA:3.30.1320.10	NA	NA	NA	TIGR00002	NA	PS00732	NA	NA	MF_00385
OPB37777.1	mobidb-lite	IPR022105	NA	NA	PF12359;PF12340	NA	SSF52540	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40475.1	mobidb-lite	IPR001971	GO:0003735;GO:0005840;GO:0006412	NA	PF00411	NA	SSF53137	G3DSA:3.30.420.80	NA	NA	NA	NA	NA	NA	NA	NA	MF_01310
OPB41775.1	mobidb-lite	IPR036770	GO:0005515	NA	PF12796;PF00023	NA	SSF48403	G3DSA:1.25.40.20	PS50088;PS50297	NA	SM00248	NA	NA	NA	NA	NA	NA
OPB38883.1	NA	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45855.1	NA	IPR029058	GO:0003824;GO:0033961	Reactome: R-HSA-211945	PF00561	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	PR00412	NA	PIRSF001112	NA	NA
OPB39535.1	NA	IPR020631	GO:0004488;GO:0005524;GO:0055114;GO:0004329;GO:0003824	KEGG: 00670+1.5.1.5+3.5.4.9|KEGG: 00720+1.5.1.5+3.5.4.9|MetaCyc: PWY-1722|MetaCyc: PWY-2201|MetaCyc: PWY-3841|MetaCyc: PWY-5030|MetaCyc: PWY-5497|MetaCyc: PWY-6613|MetaCyc: PWY-7909|Reactome: R-HSA-196757	PF00763;PF01268;PF02882	NA	SSF52540;SSF51735;SSF53223	G3DSA:1.10.8.770;G3DSA:3.40.50.720;G3DSA:3.10.410.10;G3DSA:3.40.50.10860	NA	cd01080;cd00477	NA	NA	PR00085	PS00722;PS00721;PS00766;PS00767	NA	NA	MF_01543;MF_01576
OPB45999.1	NA	IPR009081	GO:0005975;GO:0016301;GO:0031177	KEGG: 00030+2.7.1.12|MetaCyc: PWY-5530	PF07993;PF01202;PF00550	NA	SSF47336;SSF51735;SSF56801;SSF52540	G3DSA:3.40.50.720;G3DSA:3.40.50.300;G3DSA:1.10.1200.10;G3DSA:3.40.50.12780	PS50075	cd02021;cd05907	SM00823	TIGR01313	NA	NA	NA	NA	NA
OPB36354.1	mobidb-lite	IPR003166	GO:0006367;GO:0005673	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	PF18121;PF02186	NA	NA	NA	PS51351	cd07977	NA	NA	NA	NA	PIRSF016398	NA	NA
OPB45046.1	mobidb-lite	IPR029044	GO:0016757	NA	PF01501	NA	SSF53448	G3DSA:3.90.550.10	NA	cd02537	NA	NA	NA	NA	NA	NA	NA
OPB36087.1	NA	IPR036866	NA	NA	PF00753	NA	SSF56281	G3DSA:3.60.15.10	NA	cd07730	SM00849	NA	NA	NA	NA	NA	NA
OPB43188.1	NA	IPR022057	NA	NA	PF12271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46373.1	NA	IPR001279	NA	NA	PF00753	NA	SSF56281	G3DSA:3.60.15.10	NA	cd07730	SM00849	NA	NA	NA	NA	NA	NA
OPB37881.1	NA	IPR000717	NA	NA	PF01399	NA	NA	G3DSA:1.25.40.570;G3DSA:1.10.10.10	PS50250	NA	NA	NA	NA	NA	NA	NA	NA
OPB38084.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42436.1	NA	IPR029006	GO:0003779;GO:0015629;GO:0030042	NA	PF00241	NA	SSF55753	G3DSA:3.40.20.10	PS51263	cd11286	SM00102	NA	PR00006	NA	NA	NA	NA
OPB36886.1	mobidb-lite	IPR000182	GO:0008080	NA	PF00583	NA	SSF55729	NA	PS51186	cd04301	NA	NA	NA	NA	NA	NA	NA
OPB39143.1	NA	IPR029069		Reactome: R-HSA-77289	PF03061	NA	SSF54637	G3DSA:3.10.129.10	NA	cd03443	NA	NA	NA	NA	NA	NA	NA
OPB37310.1	mobidb-lite	IPR008429	GO:0016021	NA	PF05602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36142.1	mobidb-lite	IPR013087	GO:0003676;GO:0003677;GO:0006355	NA	PF05920	NA	SSF46689	G3DSA:1.10.10.60;G3DSA:3.30.160.60	PS50071;PS50157	cd00086	SM00355;SM00389	NA	NA	PS00028	NA	NA	NA
OPB38294.1	mobidb-lite	IPR001623	NA	NA	PF00226	Coil	SSF46565	G3DSA:1.10.287.110	PS50076	cd06257	SM00271	NA	PR00625	NA	NA	NA	NA
OPB36643.1	NA	IPR011057	NA	NA	NA	NA	SSF51316	G3DSA:2.170.150.70	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41172.1	NA	IPR036291	NA	NA	PF00106	NA	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
OPB42702.1	NA	IPR020846	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17502	NA	NA	NA	NA	NA	NA	NA
OPB46197.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
OPB36493.1	mobidb-lite	IPR010935	GO:0005515;GO:0005524;GO:0005694;GO:0051276	Reactome: R-HSA-2299718|Reactome: R-HSA-2514853	PF06470;PF02463	Coil	SSF52540;SSF75553	G3DSA:3.40.50.300;G3DSA:1.20.1060.20;G3DSA:3.30.70.1620	NA	cd03274	SM00968	NA	NA	NA	NA	NA	NA
OPB36446.1	NA	IPR041698	NA	NA	PF13649	NA	SSF53335	G3DSA:3.40.50.150	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
OPB37675.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	cd17320	NA	NA	NA	NA	NA	NA	NA
OPB37203.1	NA	IPR021858	NA	NA	PF11951	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46913.1	NA	IPR029068	GO:0004462;GO:0046872	KEGG: 00620+4.4.1.5|MetaCyc: PWY-5386|Reactome: R-HSA-70268	PF00903	NA	SSF54593	G3DSA:3.10.180.10	PS51819	cd07233	NA	TIGR00068	NA	PS00935;PS00934	NA	NA	NA
OPB44523.1	NA	IPR005828	GO:0016021;GO:0022857;GO:0055085	NA	PF00083	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17356	NA	NA	NA	NA	NA	NA	NA
OPB43564.1	NA	IPR009056	GO:0009055;GO:0020037	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069	PF00034	NA	SSF46626	G3DSA:1.10.760.10	PS51007	NA	NA	NA	PR00604	NA	NA	NA	NA
OPB37715.1	NA	IPR001088	GO:0004553;GO:0005975;GO:0003824;GO:0016616;GO:0055114	NA	PF02056;PF11975	NA	SSF56327;SSF51735	G3DSA:3.90.1820.20	NA	NA	NA	NA	PR00732	NA	NA	NA	NA
OPB44895.1	NA	IPR006680	GO:0016787;GO:0006147;GO:0008270;GO:0008892;GO:0016810	KEGG: 00230+3.5.4.3|MetaCyc: PWY-5497|MetaCyc: PWY-6606|MetaCyc: PWY-6608|MetaCyc: PWY-7442|Reactome: R-HSA-74259	PF01979	NA	SSF51556	G3DSA:2.30.40.10;G3DSA:3.20.20.140	NA	NA	NA	TIGR02967	NA	NA	NA	NA	NA
OPB40270.1	NA	IPR002220	GO:0016829;GO:0003824	NA	PF00701	NA	SSF51569	G3DSA:3.20.20.70	NA	cd00408	SM01130	NA	PR00146	NA	PIRSF001365	NA	NA
OPB42959.1	mobidb-lite	IPR011044	GO:0005515	NA	NA	Coil	SSF50969;SSF81383	G3DSA:2.130.10.10	PS50181	NA	NA	NA	NA	NA	NA	NA	NA
OPB45685.1	mobidb-lite	IPR029058	GO:0016787	NA	PF07859	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42193.1	NA	IPR010326	GO:0000145;GO:0006887	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	PF06046	Coil	NA	G3DSA:1.10.357.70;G3DSA:1.10.357.50	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38751.1	NA	IPR012001	GO:0030976;GO:0000287;GO:0016831;GO:0003824	NA	PF02776;PF00205;PF02775	NA	SSF52467;SSF52518	G3DSA:3.40.50.970;G3DSA:3.40.50.1220	NA	cd07038;cd02005	NA	NA	NA	NA	PIRSF036565	NA	NA
OPB41134.1	mobidb-lite	IPR036770	GO:0005515	NA	PF12796;PF05729	Coil	SSF48403;SSF52540	G3DSA:1.25.40.20;G3DSA:3.40.50.300	PS50297;PS50088	NA	SM00248	NA	NA	NA	NA	NA	NA
OPB37144.1	mobidb-lite	IPR013123	GO:0008168;GO:0003723;GO:0006396;GO:0008173	Reactome: R-HSA-6793080	PF08032;PF00588	NA	SSF55315;SSF75217	G3DSA:3.30.1330.30;G3DSA:3.40.1280.10	NA	cd18105	SM00967	NA	NA	NA	NA	NA	NA
OPB37898.1	mobidb-lite	IPR022880	GO:0003887;GO:0003684;GO:0006281	Reactome: R-HSA-5655862|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210	PF11799;PF00817	Coil	SSF56672;SSF100879	G3DSA:1.10.150.810;G3DSA:2.30.40.20;G3DSA:3.30.70.270;G3DSA:3.30.1490.100	PS50173	cd03586	NA	NA	NA	NA	NA	NA	NA
OPB40692.1	NA	IPR006035	GO:0046872	NA	PF00491	NA	SSF52768	G3DSA:3.40.800.10	PS51257;PS51409	cd11592	NA	NA	PR00116	NA	PIRSF036979	NA	NA
OPB36065.1	NA	IPR036852	GO:0004252;GO:0006508	NA	PF00082	NA	SSF52743	G3DSA:3.40.50.200	NA	cd00306	NA	NA	PR00723	PS00136;PS00138	NA	NA	NA
OPB44591.1	NA	IPR029058	NA	NA	PF12146	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39741.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42938.1	NA	IPR007274	GO:0005375;GO:0016021;GO:0035434	NA	PF04145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45498.1	NA	IPR016166	GO:0071949;GO:0016491;GO:0050660;GO:0055114	NA	PF01565	NA	SSF56176	G3DSA:3.30.465.40;G3DSA:3.40.462.20	PS51387	NA	NA	NA	NA	NA	NA	NA	NA
OPB42839.1	NA	IPR023753	GO:0016491;GO:0055114	NA	PF07992	NA	SSF51905	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36910.1	NA	IPR001810	GO:0005515;GO:0003677	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	PF12937;PF08755;PF13369	NA	SSF141255;SSF81383	G3DSA:1.20.1280.50	PS50181	NA	SM00992	NA	NA	NA	NA	NA	NA
OPB38731.1	NA	IPR020843	GO:0016491;GO:0055114;GO:0008270	Reactome: R-HSA-71384	PF08240;PF00107	NA	SSF51735;SSF50129	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	cd05285	SM00829	NA	NA	PS00059	NA	NA	NA
OPB41535.1	NA	IPR036318	GO:0050660;GO:0071949;GO:0016491;GO:0055114	NA	PF01565	NA	SSF56176	G3DSA:3.40.462.20;G3DSA:3.30.465.10;G3DSA:3.30.43.10	PS51387	NA	NA	NA	NA	NA	NA	NA	NA
OPB40400.1	mobidb-lite	IPR022093	NA	NA	PF12331	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37894.1	mobidb-lite	IPR001452	GO:0005515;GO:0003774;GO:0005524;GO:0016459	NA	PF00018;PF06017;PF00063	NA	SSF52540;SSF50044	G3DSA:1.10.10.820;G3DSA:1.20.120.720;G3DSA:3.40.850.10;G3DSA:3.30.70.3240;G3DSA:1.20.58.530;G3DSA:2.30.30.40	PS50002;PS51757;PS51456	cd01378;cd11858	SM00326;SM00242	NA	PR00193	NA	NA	NA	NA
OPB37570.1	mobidb-lite	NA	NA	NA	NA	NA	NA	G3DSA:2.70.50.70	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43317.1	mobidb-lite	IPR019560	NA	NA	PF10558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36765.1	NA	IPR000073	NA	NA	PF12697	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46546.1	NA	IPR001547	GO:0004553;GO:0005975	NA	PF00150	NA	SSF51445	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39644.1	mobidb-lite	IPR036236	GO:0006479;GO:0008168	NA	PF13649	Coil	SSF57667;SSF53335	G3DSA:3.40.50.150;G3DSA:2.70.160.11	PS51678	cd02440	NA	NA	NA	NA	NA	NA	NA
OPB41137.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45577.1	NA	IPR002937	GO:0016491;GO:0055114	NA	PF01593	NA	SSF51905;SSF54373	G3DSA:1.10.10.1620;G3DSA:3.50.50.60;G3DSA:3.90.660.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43805.1	NA	IPR009799	NA	NA	PF07110	NA	SSF54909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37658.1	NA	IPR005829	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	NA	SSF103473	NA	PS50850	cd17356	NA	TIGR00879	PR00171	PS00217;PS00216	NA	NA	NA
OPB38835.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38940.1	NA	IPR006913	GO:0016846	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	PF04828	NA	SSF51316	G3DSA:3.90.1590.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45441.1	mobidb-lite	IPR013083	GO:0005524	NA	PF00271;PF00176	Coil	SSF52540;SSF57850	G3DSA:3.30.40.10;G3DSA:3.40.50.300;G3DSA:3.40.50.10810	PS50089;PS51192;PS51194	cd16526;cd18793;cd18008	SM00487;SM00490	NA	NA	PS00518	NA	NA	NA
OPB39336.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43313.1	mobidb-lite	IPR005062	NA	NA	PF03399	Coil	NA	G3DSA:1.25.40.990	PS50250	NA	NA	NA	NA	NA	NA	NA	NA
OPB43519.1	NA	IPR023026	GO:0000162;GO:0004834;GO:0006568;GO:0003824	KEGG: 00260+4.2.1.20|KEGG: 00400+4.2.1.20	PF00291;PF00290	NA	SSF51366;SSF53686	G3DSA:3.40.50.1100;G3DSA:3.20.20.70	NA	cd04724;cd06446	NA	TIGR00263;TIGR00262	NA	PS00167;PS00168	NA	NA	MF_00133;MF_00131
OPB45313.1	NA	IPR027277	GO:0004514;GO:0009435;GO:0016763;GO:0003824	Reactome: R-HSA-196807	PF01729;PF02749	NA	SSF54675;SSF51690	G3DSA:3.20.20.70;G3DSA:3.90.1170.20	NA	cd01572	NA	TIGR00078	NA	NA	PIRSF006250	NA	NA
OPB45326.1	NA	IPR020556	GO:0006412;GO:0030956;GO:0050567	KEGG: 00970+6.3.5.7|Reactome: R-HSA-2142753	PF01425	NA	SSF75304	G3DSA:3.90.1300.10	NA	NA	NA	NA	NA	PS00571	NA	NA	MF_00120
OPB36060.1	NA	IPR002328	GO:0008270;GO:0016491;GO:0055114	Reactome: R-HSA-71384	PF00107;PF08240	NA	SSF51735;SSF50129	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	cd08278	SM00829	NA	NA	PS00059	NA	NA	NA
OPB46991.1	NA	IPR013880	NA	NA	PF08571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37349.1	NA	IPR000683	GO:0016491	NA	PF01408	NA	SSF51735	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45984.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46473.1	mobidb-lite	IPR021836	NA	NA	PF11911	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46430.1	mobidb-lite	IPR013640	NA	NA	PF08432	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44728.1	NA	IPR029068	NA	NA	PF00903	NA	SSF54593	G3DSA:3.10.180.10	PS51819	cd07267	NA	NA	NA	NA	NA	NA	NA
OPB41193.1	NA	IPR013216	GO:0008168	NA	PF08241	NA	SSF53335	G3DSA:3.40.50.150	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
OPB46567.1	mobidb-lite	IPR019734	GO:0005515	NA	PF13432	NA	SSF81901;SSF48452	G3DSA:1.25.40.10	PS50005;PS50293	NA	SM00028	NA	NA	NA	NA	NA	NA
OPB43971.1	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172;PF11951	NA	SSF57701	G3DSA:4.10.240.10	PS50048	cd00067	SM00066	NA	NA	NA	NA	NA	NA
OPB38328.1	mobidb-lite	IPR000504	GO:0003676;GO:0003743;GO:0005737;GO:0005852	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	PF00076;PF12353	NA	SSF54928	G3DSA:3.30.70.330	PS50102	cd12408;cd12933	SM00360	NA	NA	NA	PIRSF037949	NA	MF_03006
OPB40725.1	NA	IPR001753	GO:0003824	NA	PF00378	NA	SSF52096	G3DSA:1.10.12.10;G3DSA:3.90.226.10	NA	cd06558	NA	NA	NA	NA	NA	NA	NA
OPB45245.1	NA	IPR013121	GO:0016491;GO:0055114	NA	PF08030;PF01794;PF08022	NA	SSF52343;SSF63380	G3DSA:3.40.50.80	PS51384	cd06186	NA	NA	NA	NA	NA	SFLDG01168;SFLDS00052	NA
OPB41376.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	NA	NA	cd12148	SM00906	NA	NA	NA	NA	NA	NA
OPB39811.1	NA	IPR011765	GO:0003824;GO:0046872	NA	PF00675;PF05193	NA	SSF63411	G3DSA:3.30.830.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46783.1	NA	IPR033704	GO:0000287;GO:0004170;GO:0006226;GO:0046081	KEGG: 00240+3.6.1.23|KEGG: 00983+3.6.1.23	PF00692	NA	SSF51283	G3DSA:2.70.40.10	NA	cd07557	NA	TIGR00576	NA	NA	NA	NA	NA
OPB40958.1	NA	IPR027796	NA	NA	PF14441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39059.1	NA	IPR036265	GO:0003877	KEGG: 00230+2.7.7.53|KEGG: 00920+2.7.7.5|MetaCyc: PWY-5279	PF09830	NA	SSF54197	G3DSA:3.30.428.70	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38447.1	mobidb-lite	IPR002528	GO:0015297;GO:0016020;GO:0042910;GO:0055085	Reactome: R-HSA-425366	PF01554	NA	NA	NA	NA	cd13132	NA	TIGR00797	NA	NA	NA	NA	NA
OPB43817.1	NA	IPR005829	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PF00083	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17356	NA	TIGR00879	PR00171	PS00216;PS00217	NA	NA	NA
OPB40906.1	NA	IPR001753	GO:0003824	NA	PF00378	NA	SSF52096	G3DSA:3.90.226.10	NA	cd06558	NA	NA	NA	NA	NA	NA	NA
OPB43902.1	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46336.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38860.1	NA	IPR002347	GO:0016491	NA	PF00106	NA	SSF51735	G3DSA:3.40.50.720	NA	cd05233	NA	NA	PR00081	PS00061	NA	NA	NA
OPB46772.1	NA	IPR001173		Reactome: R-HSA-913709	PF13632	NA	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42674.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	NA	SSF57701	G3DSA:4.10.240.10	PS50048	cd00067	SM00066	NA	NA	PS00463	NA	NA	NA
OPB45352.1	mobidb-lite	IPR036020	GO:0005515	NA	PF00397	Coil	SSF51045	G3DSA:2.20.70.10	PS50020	cd00201	NA	NA	NA	NA	NA	NA	NA
OPB37370.1	NA	IPR017932	NA	NA	PF13230	NA	SSF56235	G3DSA:3.60.20.10	PS51278	cd01908	NA	NA	NA	NA	NA	NA	NA
OPB43261.1	mobidb-lite	IPR011701	GO:0055085	NA	PF07690	NA	SSF103473	G3DSA:1.20.1250.20	PS50850	cd17323	NA	NA	NA	NA	NA	NA	NA
OPB36348.1	mobidb-lite	IPR013904	NA	NA	PF08595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
