Gene	MobiDBLite	CDD	interpro	GO	Pfam	SMART	PATHWAY	Gene3D	ProSiteProfiles	SUPERFAMILY	ProSitePatterns	Coils	PIRSF	PRINTS	TIGRFAM	SFLD	Hamap
OTA01201.1	NA	NA	IPR016686	GO:0005634;GO:0042255;GO:0003723	PF17833;PF03657	SM00359	Reactome: R-HSA-6791226	G3DSA:2.30.130.10;G3DSA:3.10.450.220	PS50890	SSF88697;SSF88802	NA	NA	PIRSF017190	NA	NA	NA	NA
OTA02418.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04628.1	NA	cd16012	IPR001952	GO:0016791;GO:0003824	PF00245	SM00098	KEGG: 00730+3.1.3.1|KEGG: 00790+3.1.3.1|MetaCyc: PWY-5083|MetaCyc: PWY-5491	G3DSA:1.10.60.40;G3DSA:3.40.720.10	NA	SSF53649	PS00123	NA	NA	PR00113	NA	NA	NA
OTA08225.1	NA	cd03311	IPR038071	GO:0003871;GO:0008270;GO:0009086	PF01717	NA	Reactome: R-HSA-189451	G3DSA:3.20.20.210	NA	SSF51726	NA	NA	NA	NA	NA	NA	NA
OTA04262.1	NA	NA	IPR016181	NA	NA	NA	NA	G3DSA:3.40.630.30	NA	SSF55729	NA	NA	NA	NA	NA	NA	NA
OTA01275.1	mobidb-lite	cd12148;cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	SM00066;SM00906	NA	G3DSA:4.10.240.10	PS50048	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
OTA06847.1	mobidb-lite	cd18140;cd00009;cd17752	IPR036420	GO:0003677;GO:0006260;GO:0005524;GO:0003689;GO:0005663;GO:0006281	PF00533;PF00004;PF08519	SM00382;SM00292	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:3.40.50.10190;G3DSA:1.20.272.10	PS50172	SSF52113;SSF48019;SSF52540	NA	Coil	PIRSF036578	NA	NA	NA	NA
OTA04100.1	mobidb-lite	NA	IPR028124	NA	PF15477	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA04208.1	NA	NA	NA	NA	PF07264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04776.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06580.1	mobidb-lite	cd12408;cd12933	IPR000504	GO:0003676;GO:0003743;GO:0005737;GO:0005852	PF00076;PF12353	SM00360	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	G3DSA:3.30.70.330	PS50102	SSF54928	NA	NA	PIRSF037949	NA	NA	NA	MF_03006
OTA08677.1	mobidb-lite	NA	IPR019626	NA	PF10685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSZ99928.1	mobidb-lite	cd17356	IPR020846	GO:0016020;GO:0022857;GO:0055085;GO:0016021	PF00083	NA	Reactome: R-HSA-189200	G3DSA:1.20.1250.20	PS50850	SSF103473	PS00216	NA	NA	PR00171	NA	NA	NA
OTA01617.1	NA	NA	IPR001199	NA	PF00173	SM01117	NA	G3DSA:3.10.120.10	NA	SSF55856	NA	NA	NA	NA	NA	NA	NA
OTA03441.1	NA	NA	IPR038770	GO:0006812;GO:0015299;GO:0016021;GO:0055085	PF00999	NA	NA	G3DSA:1.20.1530.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05165.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA07012.1	NA	cd02140	IPR033877	GO:0016657;GO:0034599;GO:0016491	PF00881	NA	Reactome: R-HSA-209968	G3DSA:3.40.109.10	NA	SSF55469	NA	NA	NA	NA	NA	NA	NA
OTA00908.1	NA	NA	IPR021138	GO:0003735;GO:0005840;GO:0006412	PF01775	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	G3DSA:3.10.20.10	NA	SSF160374	NA	NA	PIRSF002190	NA	NA	NA	MF_00273
OTA06421.1	mobidb-lite	NA	IPR029044		PF13632	NA	Reactome: R-HSA-913709	G3DSA:3.90.550.10	NA	SSF53448	NA	NA	NA	NA	NA	NA	NA
OTA01881.1	mobidb-lite	NA	IPR036322	GO:0005515	NA	SM00320	NA	NA	NA	SSF50978	NA	NA	NA	NA	NA	NA	NA
OTA07218.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04511.1	mobidb-lite	NA	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	PF02535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06048.1	mobidb-lite	NA	IPR015416	GO:0008080	PF09337;PF00583	NA	NA	G3DSA:1.10.340.70;G3DSA:3.40.630.30	PS51186	SSF55729	NA	NA	NA	NA	NA	NA	NA
OTA01899.1	NA	NA	IPR036770	GO:0005515	PF05729	SM00248	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	PS50297	SSF48403;SSF52540	NA	NA	NA	NA	NA	NA	NA
OTA02422.1	mobidb-lite	cd07722	IPR036866	NA	PF00753	SM00849	NA	G3DSA:3.60.15.10	NA	SSF56281	NA	NA	NA	NA	NA	NA	NA
OTA06552.1	NA	NA	IPR019436	NA	PF10340	NA	NA	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
OTA02425.1	mobidb-lite	NA	IPR013700	GO:0003677;GO:0005634;GO:0006355;GO:0045122	PF08493	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA07055.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04805.1	NA	NA	IPR002523	GO:0016020;GO:0030001;GO:0046873;GO:0055085	PF01544	NA	NA	G3DSA:1.20.58.340	NA	SSF143865;SSF144083	NA	NA	NA	NA	NA	NA	NA
OTA07143.1	NA	cd17356	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021	PF00083	NA	Reactome: R-HSA-189200	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	TIGR00879	NA	NA
OTA03026.1	NA	cd05233	IPR036291	NA	PF13561	NA	NA	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00081	NA	NA	NA
OTA01444.1	NA	cd03884	IPR036264	GO:0016787;GO:0016813	PF01546	NA	NA	G3DSA:3.40.630.10;G3DSA:3.30.70.360	NA	SSF55031;SSF53187	NA	NA	PIRSF001235	NA	TIGR01879	NA	NA
OTA00815.1	mobidb-lite	cd16618;cd12438	IPR013083	GO:0003676	PF14570;PF00076	SM00361	Reactome: R-HSA-429947|Reactome: R-HSA-6804115	G3DSA:3.30.40.10;G3DSA:3.30.70.330	PS50102	SSF57850;SSF54928	NA	Coil	NA	NA	NA	NA	NA
OTA05262.1	mobidb-lite	NA	IPR032742	GO:0005634;GO:0006338;GO:0031011	PF14612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00668.1	mobidb-lite	NA	IPR040666	NA	PF18388	NA	NA	G3DSA:1.10.10.2570	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05519.1	mobidb-lite	cd10455	IPR013083	GO:0006281;GO:0017108;GO:0033557	PF01541	NA	Reactome: R-HSA-5693568|Reactome: R-HSA-6783310	G3DSA:3.30.40.10;G3DSA:3.40.1440.10	PS50164	NA	NA	NA	NA	NA	NA	NA	MF_03100
OTA03864.1	NA	cd00392	IPR005822	GO:0003735;GO:0005840;GO:0006412	PF00572	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	G3DSA:3.90.1180.10	NA	SSF52161	PS00783	NA	PIRSF002181	NA	TIGR01066	NA	MF_01366
OTA04527.1	mobidb-lite	NA	IPR031915	NA	PF16761;PF10383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07807.1	NA	cd08648;cd04875	IPR036477	GO:0009058;GO:0016742;GO:0006189;GO:0008864	PF01842;PF00551	NA	KEGG: 00670+2.1.2.9|KEGG: 00970+2.1.2.9	G3DSA:3.30.70.260;G3DSA:3.40.50.170	PS51671	SSF53328;SSF55021	NA	NA	PIRSF036480	PR01575	TIGR00655	NA	MF_01927
OTA04081.1	NA	NA	IPR004854	GO:0006511	PF03152;PF16558	NA	Reactome: R-HSA-110320|Reactome: R-HSA-5689880	G3DSA:3.10.330.10;G3DSA:2.40.40.50;G3DSA:1.10.286.60	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06015.1	mobidb-lite	cd02073	IPR023298	GO:0000287;GO:0005524;GO:0015914;GO:0016021;GO:0140326;GO:0000166	PF13246;PF16209;PF16212;PF00122	NA	Reactome: R-HSA-936837	G3DSA:3.40.50.1000;G3DSA:3.40.1110.10	NA	SSF81665;SSF81653;SSF81660;SSF56784	PS00154	NA	NA	PR00119	TIGR01652;TIGR01494	NA	NA
OTA00952.1	mobidb-lite	NA	IPR007015	GO:0003677;GO:0005730;GO:0006355;GO:0008134	PF04931	NA	Reactome: R-HSA-5250924	NA	NA	SSF48371	NA	Coil	NA	NA	NA	NA	NA
OTA00065.1	NA	cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	SM00906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03777.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA04968.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08424.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA01038.1	NA	NA	IPR017437	GO:0003951;GO:0019674;GO:0006741	PF01513	NA	KEGG: 00760+2.7.1.23|MetaCyc: PWY-5083|MetaCyc: PWY-7268|MetaCyc: PWY-7269|Reactome: R-HSA-196807	G3DSA:2.60.200.30;G3DSA:3.40.50.12540	NA	SSF111331	NA	NA	NA	NA	NA	NA	MF_00361
OSZ99945.1	mobidb-lite	NA	IPR002347	NA	PF00106	NA	NA	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00081	NA	NA	NA
OTA01709.1	mobidb-lite	NA	IPR008672	GO:0007094	PF05557	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	SSF75704	NA	Coil	NA	NA	NA	NA	NA
OTA07073.1	NA	cd02982	IPR036249	NA	PF13848	NA	NA	G3DSA:3.40.30.10	NA	SSF52833	NA	NA	NA	NA	NA	NA	NA
OTA02264.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02780.1	NA	cd00875	IPR013792	GO:0003824;GO:0005730;GO:0042254	PF01137;PF05189	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	G3DSA:3.65.10.20;G3DSA:3.30.360.20	NA	SSF55205	NA	Coil	NA	NA	TIGR03400	NA	NA
OTA04144.1	NA	NA	IPR017972	GO:0016705;GO:0055114;GO:0005506;GO:0020037	PF00067	NA	NA	G3DSA:1.10.630.10	NA	SSF48264	PS00086	Coil	NA	PR00463;PR00385	NA	NA	NA
OTA03369.1	NA	NA	IPR023631		PF01425	NA	KEGG: 00970+6.3.5.7	G3DSA:3.90.1300.10	NA	SSF75304	NA	NA	NA	NA	NA	NA	NA
OTA03274.1	NA	NA	IPR010829	NA	PF07249	NA	NA	G3DSA:2.40.40.10	NA	SSF50685	NA	NA	NA	NA	NA	NA	NA
OTA04251.1	mobidb-lite	NA	IPR001365	GO:0019239	PF00962	NA	Reactome: R-HSA-74217	G3DSA:3.20.20.140	NA	SSF51556	NA	NA	NA	NA	NA	NA	NA
OTA04506.1	mobidb-lite	cd09242;cd09237	IPR038499	GO:0005515	PF13949;PF03097	SM01041	NA	G3DSA:1.25.40.280;G3DSA:1.20.140.50;G3DSA:1.20.120.560	PS51180	NA	NA	Coil	NA	NA	NA	NA	NA
OTA00445.1	NA	cd09141;cd09138	IPR001736	GO:0003824;GO:0004630;GO:0006654;GO:0048017	PF00614	SM00155	Reactome: R-HSA-1483148	G3DSA:3.30.870.10	PS50035	SSF56024	NA	NA	PIRSF009376	NA	NA	NA	NA
OTA00436.1	NA	cd09008	IPR035994	GO:0003824;GO:0009116	PF01048	NA	NA	NA	NA	SSF53167	NA	Coil	NA	NA	NA	NA	NA
OTA06365.1	mobidb-lite	NA	IPR003673	GO:0008410	PF02515	NA	NA	G3DSA:3.40.50.10540	NA	SSF89796	NA	NA	NA	NA	NA	NA	NA
OTA07904.1	mobidb-lite	NA	IPR022742	NA	PF12146	NA	NA	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
OTA07779.1	mobidb-lite	NA	IPR042529	GO:0044237	PF01008	NA	KEGG: 00270+5.3.1.23|MetaCyc: PWY-4361|MetaCyc: PWY-7174	G3DSA:3.40.50.10470	NA	SSF100950	NA	NA	NA	NA	NA	NA	NA
OTA00678.1	NA	NA	IPR004598	GO:0000439;GO:0001671;GO:0006289	PF03849;PF18307	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	G3DSA:3.30.70.2610	NA	NA	NA	NA	NA	NA	TIGR00625	NA	NA
OTA07332.1	NA	cd02440	IPR041698	NA	PF13649	NA	NA	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA
OTA02804.1	NA	NA	IPR036291	NA	PF00106	NA	NA	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00081	NA	NA	NA
OTA01057.1	NA	NA	IPR019257	GO:0008168	PF10017	NA	NA	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	PIRSF018005	NA	TIGR03439	NA	NA
OTA01381.1	NA	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	PF00324	NA	NA	G3DSA:1.20.1740.10	NA	NA	PS00218	NA	PIRSF006060	NA	NA	NA	NA
OTA06070.1	NA	NA	IPR006314	GO:0004601;GO:0020037;GO:0055114	PF04261	NA	NA	NA	PS51404	SSF54909	NA	NA	NA	NA	TIGR01413	NA	NA
OTA07061.1	NA	NA	IPR029510	GO:0016491;GO:0055114;GO:0016620	PF00171	NA	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	SSF53720	PS00687;PS00070	NA	NA	NA	NA	NA	NA
OTA07447.1	mobidb-lite	NA	IPR007149	GO:0006368;GO:0016570;GO:0016593	PF04004	NA	Reactome: R-HSA-112382|Reactome: R-HSA-201722|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA04567.1	mobidb-lite	NA	IPR019770	GO:0003723;GO:0003743;GO:0005737;GO:0006413	PF01652	NA	NA	G3DSA:3.30.760.10	NA	SSF55418	PS00813	NA	NA	NA	NA	NA	NA
OTA04906.1	NA	NA	IPR009091	NA	PF13540	NA	NA	G3DSA:2.130.10.30	PS50012	SSF50985	NA	NA	NA	NA	NA	NA	NA
OTA06630.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03230.1	mobidb-lite	cd17323	IPR011701	GO:0055085	PF07690	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA05765.1	mobidb-lite	NA	IPR019775	GO:0005515	PF00400	SM00320	NA	G3DSA:2.130.10.10	PS50294;PS50082	SSF50978	PS00678	NA	NA	NA	NA	NA	NA
OTA03490.1	mobidb-lite	NA	IPR003958	GO:0046982	PF00808	NA	NA	NA	NA	SSF47113	NA	NA	NA	NA	NA	NA	NA
OTA08562.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA08504.1	mobidb-lite	cd04322;cd00775	IPR012340	GO:0004824;GO:0005524;GO:0006430;GO:0003676;GO:0000166;GO:0005737;GO:0004812;GO:0006418	PF01336;PF00152	NA	KEGG: 00970+6.1.1.6|Reactome: R-HSA-2408522|Reactome: R-HSA-379716|Reactome: R-HSA-379726	G3DSA:2.40.50.140;G3DSA:3.30.930.10	PS50862	SSF50249;SSF55681	NA	Coil	PIRSF039101	PR00982	TIGR00499	NA	MF_00252
OTA08615.1	NA	cd00609	IPR015421	GO:0003824;GO:0000105;GO:0004400;GO:0016740;GO:0009058;GO:0030170	PF00155	NA	KEGG: 00340+2.6.1.9|KEGG: 00350+2.6.1.9|KEGG: 00360+2.6.1.9|KEGG: 00400+2.6.1.9|KEGG: 00401+2.6.1.9|KEGG: 00960+2.6.1.9	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	SSF53383	PS00599	Coil	NA	NA	TIGR01141	NA	MF_01023
OSZ99843.1	mobidb-lite	cd18808;cd17935	IPR041679	GO:0000398;GO:0005681	PF13087;PF13086;PF16399	NA	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-72163	G3DSA:3.40.50.300	NA	SSF52540	NA	NA	PIRSF038901	NA	NA	NA	NA
OTA03607.1	mobidb-lite	NA	IPR004813	GO:0055085	PF03169	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00728	NA	NA
OTA08256.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08730.1	NA	NA	IPR005000	GO:0003824	PF03328	NA	NA	G3DSA:3.20.20.60	NA	SSF51621	NA	NA	NA	NA	NA	NA	NA
OTA03175.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05022.1	NA	cd00180	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	SM00220	NA	G3DSA:1.10.510.10	PS50011	SSF56112	NA	NA	NA	NA	NA	NA	NA
OTA07023.1	mobidb-lite	NA	IPR007557	NA	PF04468	NA	NA	NA	PS51411	NA	NA	NA	NA	NA	NA	NA	NA
OTA07373.1	mobidb-lite	NA	IPR000184	GO:0019867	PF01103	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-8949613	G3DSA:2.40.160.50	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSZ99879.1	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA	NA
OSZ99950.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01426.1	mobidb-lite	cd14826;cd17876	IPR036225	GO:0005525;GO:0006614;GO:0003924;GO:0005047;GO:0005785;GO:0006886	PF04086;PF02881;PF00448	SM00963;SM00962;SM00382	Reactome: R-HSA-1799339	G3DSA:3.30.450.60;G3DSA:3.40.50.300;G3DSA:1.20.120.140	NA	SSF47364;SSF52540;SSF64356	PS00300	NA	NA	NA	NA	NA	NA
OTA01280.1	NA	NA	IPR041371	GO:0003824;GO:0030246	PF17678;PF07971	NA	NA	G3DSA:3.30.2080.10;G3DSA:1.20.1050.60;G3DSA:1.20.1610.10;G3DSA:2.70.98.10	NA	SSF48208	NA	NA	NA	NA	NA	NA	NA
OTA08787.1	NA	NA	IPR002018	NA	PF00135	NA	NA	G3DSA:3.40.50.1820	NA	SSF53474	PS00122	NA	NA	NA	NA	NA	NA
OTA07607.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04847.1	mobidb-lite	cd01086	IPR002467	GO:0004177;GO:0006508;GO:0008235	PF15801;PF00557	NA	MetaCyc: PWY-7799|MetaCyc: PWY-7800	G3DSA:3.90.230.10	NA	SSF55920	PS00680	NA	NA	PR00599	TIGR00500	NA	MF_01974
OTA05528.1	NA	NA	IPR029058	NA	PF00135	NA	NA	G3DSA:3.40.50.1820	NA	SSF53474	PS00122	NA	NA	NA	NA	NA	NA
OTA01182.1	NA	NA	IPR029058	NA	PF12697	NA	NA	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
OTA01977.1	mobidb-lite	NA	IPR021858	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03395.1	mobidb-lite	NA	IPR015421	GO:0003824;GO:0019346;GO:0030170	PF01053	NA	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	SSF53383	PS00868	NA	NA	NA	NA	NA	NA
OTA08780.1	NA	cd01400	IPR005900	GO:0005975;GO:0006098;GO:0017057	PF01182	NA	KEGG: 00030+3.1.1.31|MetaCyc: PWY-8004	G3DSA:3.40.50.1360	NA	SSF100950	NA	NA	NA	NA	TIGR01198	NA	NA
OTA01560.1	mobidb-lite	NA	IPR038765		PF13423	NA	Reactome: R-HSA-429947	G3DSA:3.90.70.10	PS50235	SSF54001	NA	NA	NA	NA	NA	NA	NA
OTA08229.1	NA	NA	IPR021858	NA	PF11951	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA08692.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05750.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03387.1	NA	cd07722	IPR036866	NA	PF17778;PF00753	SM00849	NA	G3DSA:3.60.15.10;G3DSA:1.10.10.10	NA	SSF56281	NA	NA	NA	NA	NA	NA	NA
OTA07704.1	mobidb-lite	cd02440	IPR029063	NA	PF13489	NA	NA	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA
OTA00216.1	mobidb-lite	cd17323	IPR011701	GO:0055085	PF07690	NA	NA	G3DSA:1.20.1250.20	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA00280.1	NA	NA	IPR008441	NA	PF05704	NA	NA	G3DSA:3.90.550.20	NA	SSF53448	NA	NA	NA	NA	NA	NA	NA
OTA08044.1	mobidb-lite	NA	IPR028012	NA	PF14616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08295.1	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.25.40.120	NA	SSF48439	NA	NA	NA	NA	NA	NA	NA
OTA03474.1	NA	cd17327	IPR020846	GO:0055085	PF07690	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA01297.1	NA	cd17330	IPR036259	NA	NA	NA	NA	NA	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA05977.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02351.1	mobidb-lite	cd18793;cd17998	IPR038718	GO:0005524	PF00271;PF00176	SM00487;SM00490	NA	G3DSA:3.40.50.10810;G3DSA:3.40.50.300	PS51194;PS51192	SSF52540	NA	Coil	NA	NA	NA	NA	NA
OTA08508.1	NA	cd08273	IPR011032	GO:0016491;GO:0055114	PF00107;PF08240	SM00829	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	SSF50129;SSF51735	NA	NA	NA	NA	NA	NA	NA
OTA02322.1	mobidb-lite	NA	IPR016722	GO:0003677;GO:0003887;GO:0006260	PF08418;PF04042	NA	Reactome: R-HSA-113501|Reactome: R-HSA-174411|Reactome: R-HSA-174430|Reactome: R-HSA-68952|Reactome: R-HSA-68962|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	G3DSA:3.60.21.60	NA	NA	NA	Coil	PIRSF018300	NA	NA	NA	NA
OTA04923.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02288.1	mobidb-lite	cd17316	IPR036259	GO:0055085	PF07690	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA08848.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02415.1	mobidb-lite	cd14497	IPR016130	GO:0004725;GO:0016311;GO:0008138	PF00782	NA	NA	NA	PS51181	SSF52799	PS00383	NA	NA	NA	NA	NA	NA
OTA08876.1	NA	NA	IPR004790	GO:0004450;GO:0006102;GO:0055114;GO:0016616;GO:0000287;GO:0051287	PF00180	SM01329	KEGG: 00020+1.1.1.42|KEGG: 00480+1.1.1.42|KEGG: 00720+1.1.1.42|MetaCyc: PWY-5913|MetaCyc: PWY-6549|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7124|MetaCyc: PWY-7254|MetaCyc: PWY-7268	G3DSA:3.40.718.10	NA	SSF53659	PS00470	NA	PIRSF000108	NA	TIGR00127	NA	NA
OTA06985.1	NA	NA	IPR012132	GO:0016614;GO:0050660;GO:0055114	PF00732;PF05199	NA	Reactome: R-HSA-6798163	G3DSA:3.50.50.60;G3DSA:3.30.560.10	NA	SSF51905;SSF54373	PS00624	NA	PIRSF000137	NA	NA	NA	NA
OTA03999.1	mobidb-lite	cd08771	IPR001401	GO:0003924;GO:0005525	PF00350;PF02212;PF01031	SM00053	NA	G3DSA:3.40.50.300	PS51388;PS51718	SSF52540	NA	Coil	NA	PR00195	NA	NA	NA
OTA03823.1	mobidb-lite	cd00067	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172;PF11951	SM00066	NA	G3DSA:4.10.240.10	PS50048	SSF57701	PS00463	Coil	NA	PR00755	NA	NA	NA
