Gene	interpro	GO	SUPERFAMILY	SMART	MobiDBLite	Gene3D	ProSiteProfiles	Pfam	PATHWAY	ProSitePatterns	PRINTS	CDD	PIRSF	Coils	TIGRFAM	Hamap	SFLD
KKP02275.1	IPR008775	NA	SSF51197	NA	NA	G3DSA:2.60.120.620	NA	PF05721	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03388.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02490.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98383.1	IPR000169	GO:0004197;GO:0006508	SSF54001	NA	NA	G3DSA:3.90.70.10	NA	PF03051	Reactome: R-HSA-983168	PS00139	NA	cd00585	PIRSF005700	NA	NA	NA	NA
KKP00790.1	IPR001623	NA	SSF46565	SM00271	mobidb-lite	G3DSA:1.10.287.110	PS50076	PF00226	NA	NA	PR00625	cd06257	NA	NA	NA	NA	NA
KKO97957.1	IPR003959	GO:0005524	SSF52540	SM00382	mobidb-lite	G3DSA:3.40.50.300	NA	PF00004	NA	NA	NA	cd18140;cd00009	NA	NA	NA	NA	NA
KKP06668.1	IPR028020	NA	NA	NA	mobidb-lite	NA	NA	PF13919	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98525.1	IPR002347	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	PR00081	NA	NA	NA	NA	NA	NA
KKP06283.1	IPR036770	GO:0016274	SSF53335	NA	mobidb-lite	G3DSA:1.25.40.20;G3DSA:3.40.50.150	PS51559	NA	Reactome: R-HSA-71288|Reactome: R-HSA-8986944	NA	NA	NA	PIRSF038148	NA	NA	NA	NA
KKP04575.1	IPR036928		SSF75304	NA	mobidb-lite	G3DSA:3.90.1300.10	NA	PF01425	KEGG: 00970+6.3.5.7	NA	NA	NA	NA	NA	NA	NA	NA
KKO96820.1	IPR029058	NA	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	PF00135	NA	PS00122	NA	NA	NA	NA	NA	NA	NA
KKP06492.1	IPR002110	GO:0005515;GO:0003824;GO:0009116	SSF53167;SSF48403;SSF52540	SM00248	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	PS50088;PS50297	PF13637;PF12796	NA	NA	NA	cd09008	NA	Coil	NA	NA	NA
KKO96756.1	IPR005078		SSF54001	NA	mobidb-lite	NA	NA	PF03416	Reactome: R-HSA-1632852	NA	NA	NA	NA	NA	NA	NA	NA
KKP00026.1	IPR011042	NA	SSF63829	NA	NA	G3DSA:2.120.10.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02720.1	IPR001874	GO:0003855	SSF52304	NA	NA	G3DSA:3.40.50.9100	NA	PF01220	KEGG: 00400+4.2.1.10|MetaCyc: PWY-6163|MetaCyc: PWY-6416|MetaCyc: PWY-6707	PS01029	NA	cd00466	PIRSF001399	Coil	TIGR01088	MF_00169	NA
KKP06375.1	IPR004235	GO:0006582;GO:0030411	SSF54427	NA	NA	G3DSA:3.10.450.50	NA	PF02982	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97780.1	IPR036249	GO:0005515	SSF52833;SSF47616	NA	NA	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	PS50405;PS50404	PF02798	NA	NA	NA	cd03046	NA	NA	NA	NA	SFLDG00358;SFLDS00019
KKP04624.1	IPR008030		SSF51735	NA	NA	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	PF05368	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA
KKO97886.1	IPR016024	NA	SSF48371	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PIRSF005250	Coil	NA	NA	NA
KKP04174.1	IPR037217	GO:0019441;GO:0020037;GO:0046872	SSF140959	NA	mobidb-lite	G3DSA:1.20.58.480	NA	PF01231	KEGG: 00380+1.13.11.11|Reactome: R-HSA-71240	NA	NA	NA	NA	Coil	NA	NA	NA
KKO96418.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03727.1	IPR024671	NA	SSF103473	NA	mobidb-lite	G3DSA:1.20.1250.20	NA	PF11700	NA	NA	NA	cd17483	NA	NA	NA	NA	NA
KKP03932.1	IPR005475	GO:0004591;GO:0006099;GO:0030976;GO:0055114;GO:0016624	SSF52518	SM00861	NA	G3DSA:3.40.50.12470;G3DSA:3.40.50.11610;G3DSA:1.10.287.1150;G3DSA:3.40.50.970	NA	PF02779;PF16078;PF00676;PF16870	KEGG: 00020+1.2.4.2|KEGG: 00310+1.2.4.2|KEGG: 00380+1.2.4.2|MetaCyc: PWY-5084	NA	NA	cd02016	PIRSF000157	NA	TIGR00239	NA	NA
KKP01951.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99156.1	IPR016024		SSF48371	NA	NA	NA	NA	PF12612	Reactome: R-HSA-389977	NA	NA	NA	NA	NA	NA	NA	NA
KKP03662.1	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	mobidb-lite	NA	NA	PF02535	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04961.1	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	NA	mobidb-lite	G3DSA:1.20.1740.10	NA	PF13520	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA
KKP00896.1	IPR001876	GO:0003676	SSF90209;SSF53098;SSF54928	SM00479;SM00360;SM00547	mobidb-lite	G3DSA:3.30.70.330;G3DSA:4.10.1060.10;G3DSA:3.30.420.10	PS50102;PS50199	PF00641;PF00929;PF00076	NA	PS01358	NA	cd12452;cd06133	NA	NA	NA	NA	NA
KKP01063.1	IPR010920	GO:0008380;GO:0030532	SSF50182	SM00651	NA	G3DSA:2.30.30.100	NA	PF01423	Reactome: R-HSA-191859|Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	cd01720	NA	NA	NA	NA	NA
KKP04155.1	IPR001969	GO:0004190;GO:0006508	NA	NA	NA	NA	NA	NA	NA	PS00141	NA	NA	NA	NA	NA	NA	NA
KKO97106.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03136.1	IPR040455	NA	NA	NA	mobidb-lite	G3DSA:1.10.418.40	NA	PF04111;PF17675	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO98060.1	IPR004939	GO:0005680;GO:0031145	SSF49785	SM01337	mobidb-lite	G3DSA:2.60.120.260	PS51284	PF03256	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	cd08366	NA	NA	NA	NA	NA
KKO98665.1	IPR042488	GO:0003677	SSF54001	SM01032;SM01030;SM01031	mobidb-lite	G3DSA:3.30.70.2460;G3DSA:3.90.260.10	NA	PF10403;PF03835;PF10404;PF10405	Reactome: R-HSA-3108214|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395	NA	NA	NA	NA	NA	NA	NA	NA
KKO99373.1	IPR000644	NA	SSF54631	NA	NA	G3DSA:3.10.580.10	PS51371	NA	NA	NA	NA	cd04608	NA	NA	NA	NA	NA
KKP06353.1	IPR013319	GO:0004553;GO:0000272;GO:0008810	SSF49899	NA	NA	G3DSA:2.60.120.180	NA	PF01670	MetaCyc: PWY-6717|MetaCyc: PWY-6784	NA	NA	NA	NA	NA	NA	NA	NA
KKP06817.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01162.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99147.1	IPR007194	GO:0043087;GO:0048193	SSF111126	NA	mobidb-lite	NA	NA	PF04051	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	cd14944	NA	NA	NA	NA	NA
KKP01898.1	IPR036770	GO:0005515;GO:0003824;GO:0009116	SSF53167;SSF48403;SSF52540	SM00248	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	PS50088;PS50297	PF12796	NA	NA	NA	cd09008	NA	NA	NA	NA	NA
KKP02766.1	IPR036526	GO:0016810;GO:0006807	SSF56317	NA	NA	G3DSA:3.60.110.10	PS50263	PF00795	NA	PS00920	NA	cd07564	NA	Coil	NA	NA	NA
KKP04907.1	IPR024535	NA	SSF51126	SM00321	mobidb-lite	G3DSA:2.160.20.10	PS51212	PF12708;PF01822	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01484.1	IPR000627	GO:0003824;GO:0006725;GO:0008199;GO:0055114;GO:0005506;GO:0016702	SSF49482	NA	NA	G3DSA:2.60.130.10	NA	PF00775	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02159.1	IPR001623	NA	SSF46565	NA	NA	G3DSA:1.10.287.110	NA	NA	NA	NA	NA	cd06257	NA	NA	NA	NA	NA
KKP04568.1	IPR040457	GO:0043015	NA	NA	mobidb-lite	G3DSA:1.20.120.1900	NA	PF04130;PF17681	Reactome: R-HSA-380270|Reactome: R-HSA-380320	NA	NA	NA	NA	NA	NA	NA	NA
KKP04884.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	NA	NA	G3DSA:1.10.630.10	NA	PF00067	NA	PS00086	PR00385;PR00463	NA	NA	NA	NA	NA	NA
KKO98134.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02521.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06728.1	IPR008775	NA	SSF51197	NA	NA	G3DSA:2.60.120.620	PS51184	PF05721	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04010.1	IPR001891	GO:0004470;GO:0004471;GO:0051287;GO:0055114	SSF53223;SSF51735	SM00919;SM01274	mobidb-lite	G3DSA:3.40.50.720;G3DSA:3.40.50.10380	NA	PF03949;PF00390	NA	NA	PR00072	cd05312	PIRSF000106	NA	NA	NA	NA
KKO96459.1	IPR024079	GO:0008237;GO:0006508;GO:0008270	SSF55486	SM00235	NA	G3DSA:3.40.390.10	NA	PF13583	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97548.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00263.1	IPR001466	NA	SSF56601	NA	NA	G3DSA:3.40.710.30	NA	PF00144	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01955.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP07237.1	IPR003439	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SSF52540;SSF90123	SM00382	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	PS50929;PS50893	PF00005;PF00664	NA	PS00211	NA	cd18596;cd03250;cd03244;cd18604	NA	NA	NA	NA	NA
KKO96573.1	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	NA	mobidb-lite	G3DSA:1.20.1740.10	NA	PF13520	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA
KKP06899.1	IPR001509	GO:0003824;GO:0050662	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF01370	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05289.1	IPR002889	NA	NA	SM00321	mobidb-lite	NA	PS51212	PF01822	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99219.1	IPR036317	GO:0006511;GO:0031625;GO:0031461	SSF75632;SSF46785;SSF74788	SM00884;SM00182	NA	G3DSA:1.20.1310.10;G3DSA:1.10.10.10;G3DSA:1.10.10.2620	PS50069	PF00888;PF10557	Reactome: R-HSA-8951664	PS01256	NA	NA	NA	Coil	NA	NA	NA
KKP05895.1	IPR011701	GO:0055085;GO:0022857	SSF103473	NA	mobidb-lite	G3DSA:1.20.1250.20	PS50850	PF07690	NA	NA	PR01035	cd17323	NA	NA	NA	NA	NA
KKP01494.1	IPR018259	GO:0003735;GO:0005840;GO:0006412	SSF50104	NA	NA	G3DSA:2.30.30.70	NA	PF01157	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS01171	NA	NA	NA	NA	NA	NA	NA
KKP06118.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP05345.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97658.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	PR01217	NA	NA	NA	NA	NA	NA
KKP03567.1	IPR000683	GO:0016491	SSF51735	NA	NA	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	PF01408	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04871.1	IPR000210	GO:0005515	SSF54695	SM00225	mobidb-lite	NA	PS50097	PF00651	NA	NA	NA	cd18186	NA	NA	NA	NA	NA
KKP07071.1	IPR003121	GO:0005515	SSF47592	SM00151	mobidb-lite	G3DSA:1.10.245.10	NA	PF02201	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	cd10568	NA	NA	NA	NA	NA
KKO96650.1	IPR000095	NA	NA	NA	mobidb-lite	NA	PS50108	PF00786	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02754.1	IPR027417	NA	SSF52540	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97998.1	IPR019035	GO:0003712;GO:0006357;GO:0016592	NA	SM01281	mobidb-lite	NA	NA	PF09497	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01717.1	IPR002347	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	PR00081	cd05233	NA	NA	NA	NA	NA
KKP05376.1	IPR005130	GO:0003941;GO:0006094;GO:0051539	SSF143548	NA	mobidb-lite	G3DSA:3.30.1330.90	NA	PF03313;PF03315	Reactome: R-HSA-977347	NA	NA	NA	NA	NA	NA	NA	NA
KKO98436.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97709.1	IPR001915	GO:0004222;GO:0006508	NA	NA	NA	NA	NA	PF01435	NA	NA	NA	cd07331	NA	NA	NA	NA	NA
KKP07089.1	IPR021163	GO:0016491;GO:0055114	SSF51905	NA	NA	G3DSA:3.50.50.60;G3DSA:3.40.50.720	NA	NA	Reactome: R-HSA-196108|Reactome: R-HSA-211976|Reactome: R-HSA-2395516|Reactome: R-HSA-5579026	NA	PR00419	NA	PIRSF000362	NA	NA	NA	NA
KKP04420.1	IPR019183	NA	NA	NA	NA	NA	NA	PF09797	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04544.1	IPR013241	GO:0006364;GO:0008033	NA	NA	mobidb-lite	NA	NA	PF08228	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06690.1	IPR001077	GO:0008171;GO:0008168	SSF53335;SSF46785	NA	NA	G3DSA:3.40.50.150	PS51683	PF00891	NA	NA	NA	NA	PIRSF005739	NA	NA	NA	NA
KKO97127.1	IPR005225	GO:0005525;GO:0003924;GO:0007264	SSF52540	SM00175;SM00174;SM00173	mobidb-lite	G3DSA:3.40.50.300	PS51420	PF00071	Reactome: R-HSA-194840	NA	PR00449	NA	NA	NA	TIGR00231	NA	NA
KKP03169.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05384.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	NA	NA	PS50048	NA	NA	NA	NA	cd00067;cd12148	NA	NA	NA	NA	NA
KKO96457.1	IPR029063	NA	SSF53335	NA	mobidb-lite	G3DSA:3.40.50.150	NA	PF13489	NA	NA	NA	cd02440	NA	Coil	NA	NA	NA
KKP02075.1	IPR001680	GO:0005515	SSF50978	SM00320	NA	G3DSA:2.130.10.10	PS50082;PS50294	PF00400	NA	PS00678	PR00320	NA	NA	NA	NA	NA	NA
KKO96467.1	NA	NA	SSF69318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97318.1	IPR004790	GO:0004450;GO:0006102;GO:0055114;GO:0016616;GO:0000287;GO:0051287	SSF53659	SM01329	NA	G3DSA:3.40.718.10	NA	PF00180	KEGG: 00020+1.1.1.42|KEGG: 00480+1.1.1.42|KEGG: 00720+1.1.1.42|MetaCyc: PWY-5913|MetaCyc: PWY-6549|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7124|MetaCyc: PWY-7254|MetaCyc: PWY-7268	PS00470	NA	NA	PIRSF000108	NA	TIGR00127	NA	NA
KKP00219.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	SM00066	mobidb-lite	G3DSA:4.10.240.10	PS50048	PF00172	NA	PS00463	NA	cd00067	NA	NA	NA	NA	NA
KKO97573.1	IPR002889	GO:0004601;GO:0006979;GO:0020037;GO:0055114	SSF48113	SM00321	mobidb-lite	G3DSA:1.10.520.10;G3DSA:1.10.420.10	PS51212;PS50873	PF01822;PF00141	NA	NA	PR00458	NA	NA	NA	NA	NA	NA
KKP05700.1	IPR024319	NA	NA	NA	NA	NA	NA	PF12921	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99142.1	IPR012677	GO:0003676	SSF54928	SM00360	mobidb-lite	G3DSA:3.30.70.330	PS50102	PF00076	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP02248.1	IPR013083	GO:0046872	SSF57850	SM00184	mobidb-lite	G3DSA:3.30.40.10	PS51382;PS50089	PF00097;PF03105	NA	PS00518	NA	NA	NA	Coil	NA	NA	NA
KKP07702.1	IPR015424	GO:0009058;GO:0030170;GO:0003824	SSF53383	NA	NA	G3DSA:3.40.640.10	NA	PF00155	NA	NA	NA	cd00609	NA	NA	NA	NA	NA
KKP04535.1	IPR022751	GO:0006486;GO:0016757	SSF53448	NA	NA	NA	NA	PF11051	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99659.1	IPR036259	GO:0016021;GO:0022857;GO:0055085	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	PF00083	NA	NA	NA	cd17356	NA	NA	NA	NA	NA
KKP00762.1	IPR006968	NA	NA	NA	NA	NA	NA	PF04884	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03220.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02389.1	IPR014718	GO:0030246;GO:0003824	SSF48208	NA	NA	G3DSA:2.70.98.10;G3DSA:1.20.1610.10;G3DSA:3.30.2080.10;G3DSA:1.20.1050.60	NA	PF07971;PF17678	NA	NA	NA	NA	NA	NA	TIGR01180	NA	NA
KKP06430.1	IPR013057	NA	NA	NA	mobidb-lite	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98838.1	IPR016191	GO:0003723;GO:0004540;GO:0004521	SSF53933	NA	NA	G3DSA:3.10.450.30	NA	PF00545	NA	NA	NA	NA	PIRSF037430	NA	NA	NA	NA
KKP01004.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP01359.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05816.1	IPR001216	GO:0006535;GO:0004122;GO:0005737;GO:0019343	SSF54631;SSF53686	SM00116	NA	G3DSA:3.10.580.10;G3DSA:3.40.50.1100	PS51371	PF00291;PF00571	Reactome: R-HSA-1614603	PS00901	NA	cd01561;cd04608	NA	NA	TIGR01137	NA	NA
KKP02140.1	IPR024549		NA	NA	NA	NA	NA	PF12853;PF10785	KEGG: 00190+1.6.99.3+7.1.1.2|MetaCyc: PWY-3781|MetaCyc: PWY-4302|MetaCyc: PWY-5083|MetaCyc: PWY-6692	NA	NA	NA	NA	NA	NA	NA	NA
KKP06257.1	IPR036322	GO:0005515	SSF50978;SSF158230	SM00500;SM00320	mobidb-lite	G3DSA:2.130.10.10;G3DSA:1.10.720.150	PS50294;PS50082	PF08799;PF00400	NA	PS00678	PR00320	cd00200	NA	NA	NA	NA	NA
KKO98642.1	IPR029063	NA	SSF53335	NA	NA	G3DSA:3.40.50.150	NA	PF13489	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99122.1	IPR013087	GO:0003676	SSF57667	SM00355	mobidb-lite	G3DSA:3.30.160.60	PS50157	PF00096	NA	PS00028	NA	cd12087	NA	NA	NA	NA	NA
KKO97653.1	IPR000834	GO:0004181;GO:0006508;GO:0008270	SSF53187	SM00631	NA	NA	PS51257	PF00246	NA	NA	NA	cd06228	NA	NA	NA	NA	NA
KKO98154.1	IPR041505	GO:0003723;GO:0004540	SSF50249;SSF88723	SM00670;SM00955	NA	G3DSA:2.40.50.140;G3DSA:2.40.50.700;G3DSA:2.40.50.690;G3DSA:3.40.50.1010	NA	PF17849;PF17215;PF00773;PF13638;PF17216	NA	PS01175	NA	cd09862	NA	NA	NA	NA	NA
KKP05054.1	IPR006204	GO:0005524;GO:0004631	SSF55060;SSF54211	NA	NA	G3DSA:3.30.70.890	NA	PF00288;PF08544	KEGG: 00900+2.7.4.2|MetaCyc: PWY-7391|MetaCyc: PWY-922	NA	NA	NA	PIRSF017288	NA	NA	NA	NA
KKO97125.1	IPR036881	GO:0004553;GO:0005975	SSF52279;SSF51445	SM01217	mobidb-lite	G3DSA:3.20.20.300;G3DSA:3.40.50.1700;G3DSA:2.60.40.10	NA	PF14310;PF00933;PF01915	NA	PS00775	PR00133	NA	NA	Coil	NA	NA	NA
KKO97305.1	IPR029058	NA	SSF53474	NA	mobidb-lite	G3DSA:3.40.50.1820	NA	PF03959	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97588.1	IPR013861	GO:0006890;GO:0016021	SSF144091	SM01160	mobidb-lite	NA	NA	PF08551	Reactome: R-HSA-6807878	NA	NA	NA	NA	NA	NA	NA	NA
KKO97668.1	IPR010730	NA	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01816.1	IPR006592	GO:0003677;GO:0003899;GO:0006351	SSF64484	SM00663	mobidb-lite	G3DSA:1.20.120.1280;G3DSA:3.30.1490.180;G3DSA:1.10.357.120;G3DSA:1.10.132.30;G3DSA:2.40.40.20;G3DSA:3.30.70.2850;G3DSA:1.10.274.100	NA	PF05000;PF04998;PF04983;PF04997;PF00623	NA	NA	NA	cd02735;cd01435	NA	NA	NA	NA	NA
KKP03677.1	IPR001680	GO:0005515	SSF50978	SM00320	mobidb-lite	G3DSA:2.130.10.10	PS50082;PS50294	PF00400;PF11816	Reactome: R-HSA-110314|Reactome: R-HSA-5689880|Reactome: R-HSA-6783310	PS00678	NA	cd00200;cd17041	NA	NA	NA	NA	NA
KKP06385.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04775.1	IPR000807	GO:0000105;GO:0004424	SSF54211	NA	NA	G3DSA:3.30.230.40	NA	PF00475	KEGG: 00340+4.2.1.19	PS00955;PS00954	NA	cd07914	NA	NA	NA	MF_00076	NA
KKP05625.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06561.1	IPR036222	GO:0000902;GO:0003779;GO:0007010	SSF69340;SSF101278	SM00673	mobidb-lite	G3DSA:1.25.40.330;G3DSA:2.160.20.70	PS51329	PF01213;PF08603	Reactome: R-HSA-428890	PS01088	NA	NA	NA	NA	NA	NA	NA
KKP00587.1	IPR002867	NA	SSF57850	SM00647	mobidb-lite	G3DSA:1.20.120.1750	PS51873	PF01485	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP04703.1	IPR029058	NA	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05055.1	IPR011990	GO:0005515	NA	NA	mobidb-lite	G3DSA:1.25.40.10	PS51375	PF13041;PF01535	NA	NA	NA	NA	NA	NA	TIGR00756	NA	NA
KKP07213.1	IPR001810	GO:0005515	SSF81383	NA	mobidb-lite	NA	PS50181	PF12937	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP06293.1	IPR036855	GO:0046872	SSF90229	SM00356	mobidb-lite	G3DSA:4.10.1000.10	PS50103	PF00642	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99531.1	IPR007828	GO:0005506;GO:0005737;GO:0019310;GO:0050113;GO:0055114	SSF109604	NA	NA	NA	NA	PF05153	KEGG: 00053+1.13.99.1|KEGG: 00562+1.13.99.1|MetaCyc: PWY-4841|Reactome: R-HSA-1855183	NA	NA	NA	NA	NA	NA	NA	NA
KKP04692.1	IPR016162	GO:0016491;GO:0055114;GO:0016620	SSF53720	NA	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	PF00171	NA	PS00687	NA	cd07103	NA	NA	NA	NA	NA
KKP06422.1	IPR012312		NA	NA	NA	G3DSA:1.20.120.520	NA	PF01814	Reactome: R-HSA-390471|Reactome: R-HSA-8951664|Reactome: R-HSA-917937|Reactome: R-HSA-983168	NA	NA	cd12108	NA	NA	NA	NA	NA
KKO99636.1	IPR020683	GO:0005515	SSF48403	SM00248	mobidb-lite	G3DSA:1.25.40.20	PS50297;PS50088	PF12796	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP01439.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP00232.1	IPR023362	GO:0005515	SSF49899;SSF81837;SSF50729;SSF50978	SM00320;SM01026	mobidb-lite	G3DSA:2.60.120.200;G3DSA:2.130.10.10;G3DSA:1.10.1540.10	PS50294;PS51783;PS50197;PS50082	PF14844;PF13385;PF02138	NA	NA	NA	cd01201;cd06071	NA	NA	NA	NA	NA
KKP00252.1	IPR013860	NA	NA	NA	mobidb-lite	NA	NA	PF08550	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO97370.1	IPR036983	NA	SSF51219	NA	mobidb-lite	G3DSA:3.60.160.10	NA	PF01987	NA	NA	NA	NA	NA	NA	TIGR00266	NA	NA
KKO99284.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	SM00066;SM00906	mobidb-lite	G3DSA:4.10.240.10	PS50048	PF00172;PF04082	NA	PS00463	NA	cd00067;cd12148	NA	Coil	NA	NA	NA
KKP06849.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
