Gene	interpro	Gene3D	SUPERFAMILY	Pfam	PRINTS	MobiDBLite	Coils	CDD	GO	PATHWAY	ProSitePatterns	SMART	ProSiteProfiles	PIRSF	TIGRFAM	Hamap	SFLD
PTB69908.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63076.1	IPR036396	G3DSA:1.10.630.10	SSF48264	PF00067	PR00385;PR00463	NA	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA
PTB64618.1	IPR023184	G3DSA:1.10.287.20	SSF81531	PF02320	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66920.1	IPR015408	G3DSA:2.40.50.140	NA	PF09329	NA	mobidb-lite	Coil	NA	GO:0005634;GO:0006260	Reactome: R-HSA-176187|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA
PTB68169.1	IPR036188	NA	SSF51905	PF00743	PR00411	NA	NA	NA	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA
PTB68814.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69327.1	IPR000719	G3DSA:3.30.200.20;G3DSA:1.10.510.10	SSF56112	PF00069	NA	NA	NA	cd00180	GO:0004672;GO:0005524;GO:0006468	NA	PS00108	SM00220	PS50011	NA	NA	NA	NA
PTB66373.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69286.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64499.1	IPR036866	NA	SSF56281	NA	NA	mobidb-lite	NA	NA	NA	NA	PS00018	NA	NA	NA	NA	NA	NA
PTB66151.1	IPR002110	G3DSA:1.25.40.20	SSF48403	PF01529;PF12796	NA	mobidb-lite	NA	NA	GO:0005515;GO:0016409	NA	NA	SM00248	PS50088;PS50297;PS50216	NA	NA	NA	NA
PTB68531.1	IPR001619	G3DSA:3.40.50.2060	SSF56815	PF00995	NA	mobidb-lite	NA	NA	GO:0006904;GO:0016192	NA	NA	NA	NA	PIRSF005715	NA	NA	NA
PTB67984.1	IPR002067	G3DSA:1.50.40.10	SSF103506	PF00153	PR00926	mobidb-lite	NA	NA	GO:0005347;GO:0055085	NA	NA	NA	PS50920	NA	NA	NA	NA
PTB70703.1	IPR016181	G3DSA:3.40.630.30	SSF55729	PF13302	NA	NA	NA	cd04301	GO:0008080	NA	NA	NA	PS51186	NA	NA	NA	NA
PTB64418.1	IPR000277	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	SSF53383	PF01053	NA	NA	NA	NA	GO:0019346;GO:0030170;GO:0003824	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	PS00868	NA	NA	PIRSF001434	NA	NA	NA
PTB67859.1	IPR013170	NA	NA	PF08312	NA	mobidb-lite	NA	NA	NA	NA	NA	SM01115	NA	NA	NA	NA	NA
PTB61493.1	IPR029021	G3DSA:3.90.190.10	SSF52799	PF00782	NA	NA	NA	cd14498	GO:0016311;GO:0016791;GO:0008138	NA	NA	NA	PS50056	NA	NA	NA	NA
PTB68155.1	IPR000109	G3DSA:1.20.1250.20	SSF103473	PF00854	NA	NA	NA	cd17350	GO:0016020;GO:0022857;GO:0055085;GO:0006857	Reactome: R-HSA-427975	PS01023	NA	NA	NA	NA	NA	NA
PTB63131.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67771.1	IPR036736	G3DSA:3.40.50.12780;G3DSA:1.10.1200.10;G3DSA:3.40.50.720	SSF47336;SSF56801;SSF51735	PF07993;PF00501;PF00550	NA	NA	NA	cd04433;cd05933;cd12117	GO:0003824	Reactome: R-HSA-9640463	PS00012;PS00455	NA	PS50075	NA	NA	NA	NA
PTB64879.1	IPR010829	G3DSA:2.40.40.10	SSF50685	PF07249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65315.1	IPR029044	G3DSA:3.90.550.10	SSF53448	PF03452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70162.1	IPR011701	G3DSA:1.20.1250.20	SSF103473	PF07690	NA	mobidb-lite	NA	cd17327	GO:0055085	NA	NA	NA	PS50850	NA	NA	NA	NA
PTB62848.1	IPR006603	NA	NA	PF04193	NA	NA	NA	NA	NA	NA	NA	SM00679	NA	NA	NA	NA	NA
PTB65862.1	IPR000845	NA	SSF53167	PF01048	NA	NA	NA	cd09008	GO:0003824;GO:0009116	NA	NA	NA	NA	NA	NA	NA	NA
PTB63082.1	IPR029044	G3DSA:3.90.550.20	SSF53448	PF04488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64273.1	IPR012337	G3DSA:3.30.420.10	SSF53098	NA	NA	NA	NA	NA	GO:0003676	NA	NA	NA	NA	NA	NA	NA	NA
PTB67840.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62516.1	IPR001138	G3DSA:4.10.240.10	SSF57701	PF04082;PF00172	NA	mobidb-lite	NA	cd12148;cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PS00463	SM00066	PS50048	NA	NA	NA	NA
PTB65782.1	IPR011701	G3DSA:1.20.1250.20	SSF103473	PF07690	NA	NA	NA	cd17322	GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA
PTB64769.1	IPR007219	NA	NA	PF04082	NA	NA	NA	cd12148	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	SM00906	NA	NA	NA	NA	NA
PTB67468.1	IPR003439	G3DSA:3.40.50.300	SSF52540;SSF90123	PF00005;PF00664	NA	NA	NA	cd18577;cd18578;cd03249	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	PS00211	SM00382	PS50893;PS50929	NA	NA	NA	NA
PTB68061.1	IPR036322	G3DSA:2.130.10.10	SSF50978	PF00400;PF12894	PR00320	NA	NA	cd00200	GO:0005515	NA	PS00678	SM00320	PS50082;PS50294	NA	NA	NA	NA
PTB70007.1	IPR000195	G3DSA:1.10.472.80;G3DSA:1.10.8.270	SSF47923	PF00566	NA	mobidb-lite	NA	NA	NA	NA	NA	SM00164	PS50086	NA	NA	NA	NA
PTB71021.1	IPR013083	G3DSA:3.30.40.10	NA	PF13920	NA	mobidb-lite	NA	cd16616;cd19059	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66657.1	IPR007219	G3DSA:4.10.240.10	SSF57701	PF00172;PF04082	NA	mobidb-lite	NA	cd00067;cd12148	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	PS00463	SM00906;SM00066	PS50048	NA	NA	NA	NA
PTB63464.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65073.1	IPR020843	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF50129;SSF51735	PF13602;PF08240	NA	NA	NA	cd05289	GO:0016491;GO:0055114	NA	NA	SM00829	NA	NA	NA	NA	NA
PTB64737.1	IPR000717	G3DSA:1.10.10.10	SSF46785	PF01399;PF18098	NA	mobidb-lite	Coil	NA		Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	SM00088;SM00753	PS50250	NA	NA	NA	NA
PTB68218.1	IPR001841	G3DSA:3.30.40.10	SSF57850	PF10607;PF13445	NA	mobidb-lite	NA	cd16652	GO:0005515	NA	NA	SM00184;SM00757;SM00668	PS51867;PS50896;PS50897	NA	NA	NA	NA
PTB66676.1	IPR022124	NA	NA	PF12396	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67070.1	IPR000595	G3DSA:2.60.120.10;G3DSA:3.30.750.24	SSF52091;SSF51206	PF01740;PF00916;PF00027	NA	mobidb-lite	NA	cd00038;cd07042;cd17473	GO:0008272;GO:0015116;GO:0016021	NA	NA	SM00100	PS50042;PS50801	NA	NA	NA	NA
PTB62608.1	IPR008775	G3DSA:2.60.120.620	SSF51197	PF05721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61958.1	IPR014718	G3DSA:2.70.98.10	SSF74650	PF01263	NA	NA	NA	cd09019	GO:0030246;GO:0003824;GO:0005975;GO:0016853	KEGG: 00010+5.1.3.3|KEGG: 00052+5.1.3.3|MetaCyc: PWY-6317	PS00545	NA	NA	NA	NA	NA	NA
PTB64929.1	IPR015883	G3DSA:3.20.20.80	SSF55545;SSF51445	PF00728;PF14845	PR00738	NA	NA	cd06562	GO:0004553;GO:0005975;GO:0004563	KEGG: 00511+3.2.1.52|KEGG: 00513+3.2.1.52|KEGG: 00520+3.2.1.52|KEGG: 00531+3.2.1.52|KEGG: 00603+3.2.1.52|KEGG: 00604+3.2.1.52|MetaCyc: PWY-6902|MetaCyc: PWY-7822|MetaCyc: PWY-7883	NA	NA	NA	PIRSF001093	NA	NA	NA
PTB70887.1	IPR011058	G3DSA:2.30.60.10	SSF51322	PF08881	NA	mobidb-lite	NA	NA	NA	NA	NA	SM01111	NA	NA	NA	NA	NA
PTB62991.1	IPR002347	G3DSA:3.40.50.720	SSF51735	PF00106	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69087.1	IPR006671	G3DSA:1.10.472.10	SSF47954	PF00134	NA	mobidb-lite	NA	NA	GO:0000079;GO:0019901;GO:0051726	NA	NA	NA	NA	PIRSF016511	NA	NA	NA
PTB69456.1	IPR041499	G3DSA:3.30.160.60;G3DSA:3.30.200.160	SSF57667	PF17682;PF09734;PF00096	NA	mobidb-lite	Coil	NA	GO:0003676	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	PS00028	SM00355	PS50157	NA	NA	NA	NA
PTB66270.1	IPR008603	NA	NA	PF05502	NA	mobidb-lite	NA	NA	GO:0005869	Reactome: R-HSA-2132295|Reactome: R-HSA-3371497|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436	NA	NA	NA	NA	NA	NA	NA
PTB69234.1	IPR001138	G3DSA:4.10.240.10	NA	NA	NA	NA	Coil	cd00067;cd12148	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	NA	NA	NA	NA	NA
PTB68562.1	IPR004205	G3DSA:1.20.5.210	SSF81508	PF02939	NA	NA	NA	NA	GO:0008121	Reactome: R-HSA-611105	NA	NA	NA	NA	NA	NA	NA
PTB61810.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66033.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67265.1	IPR002347	G3DSA:3.40.50.720	SSF51735	PF00106	PR00081;PR00080	NA	NA	NA	GO:0016491	NA	PS00061	NA	NA	NA	NA	NA	NA
PTB66880.1	IPR022233	NA	NA	PF12584	NA	mobidb-lite	NA	NA		Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA
PTB69903.1	IPR036864	G3DSA:4.10.240.10	SSF57701	PF00172	NA	mobidb-lite	NA	cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	SM00066	PS50048	NA	NA	NA	NA
PTB61556.1	IPR002591	G3DSA:3.40.720.10	SSF53649	PF01663	NA	NA	Coil	NA	GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA
PTB66683.1	IPR018108	G3DSA:1.50.40.10	SSF103506	PF00153	PR00927;PR00926	NA	NA	NA	GO:0005743;GO:0022857;GO:0055085;GO:0005347	NA	NA	NA	PS50920	NA	NA	NA	NA
PTB69131.1	IPR003593	G3DSA:3.40.50.300	SSF52540	PF12698;PF00005	NA	NA	NA	cd03263	GO:0005524;GO:0016887	NA	PS00211	SM00382	PS50893	NA	NA	NA	NA
PTB70517.1	IPR018199	G3DSA:2.40.50.740;G3DSA:3.10.290.40;G3DSA:2.30.30.30	NA	PF16121;PF00900;PF00467;PF08071	NA	NA	NA	cd00165;cd06087	GO:0003723;GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS00528	NA	NA	PIRSF002116	NA	MF_00485	NA
PTB69043.1	IPR019791	G3DSA:1.10.640.10	SSF48264;SSF48113	PF03098	PR00457	NA	NA	cd09817	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004601;GO:0006979;GO:0016491	KEGG: 00591+1.13.11.60	NA	NA	PS50292	NA	NA	NA	NA
PTB67051.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65833.1	IPR008030	G3DSA:3.90.25.10;G3DSA:3.40.50.720	SSF51735	PF05368	NA	NA	NA	cd05259		Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA
PTB66176.1	IPR007568	NA	NA	PF04479	NA	mobidb-lite	Coil	NA	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA
PTB69503.1	IPR011990	G3DSA:1.10.287.110;G3DSA:1.10.8.10;G3DSA:1.25.40.10	SSF48452;SSF46565;SSF46934	NA	NA	mobidb-lite	Coil	NA	GO:0005515	NA	NA	SM00165	PS50030	NA	NA	NA	NA
PTB61845.1	IPR000757	G3DSA:2.60.120.200	SSF49899	PF00722	NA	mobidb-lite	NA	cd00413	GO:0004553;GO:0005975	NA	NA	NA	PS51762	NA	NA	NA	NA
PTB64493.1	IPR029058	G3DSA:3.40.50.1820	SSF53474	PF12697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66629.1	IPR027484	G3DSA:3.30.800.10;G3DSA:3.30.810.10	SSF56104	PF01504	NA	NA	NA	cd00139	GO:0016307;GO:0046488	NA	NA	SM00330	PS51455	NA	NA	NA	NA
PTB67022.1	IPR000504	G3DSA:3.30.70.330	SSF54928	PF00076	NA	mobidb-lite	NA	cd12246	GO:0003676	NA	NA	SM00360	PS50102	NA	NA	NA	NA
PTB67025.1	IPR004841	G3DSA:1.20.1740.10	NA	PF00324	NA	NA	NA	NA	GO:0016020;GO:0055085;GO:0022857;GO:0006865;GO:0016021	NA	PS00218	NA	NA	PIRSF006060	TIGR00913	NA	NA
PTB68925.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63853.1	IPR014756	G3DSA:2.60.40.10	SSF81296	PF01833	NA	mobidb-lite	Coil	cd00102	NA	NA	NA	SM00429	NA	NA	NA	NA	NA
PTB69630.1	IPR000073	G3DSA:1.20.1440.110;G3DSA:3.40.50.1820	SSF53474	PF12697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68918.1	IPR013094	NA	SSF53474	PF07859	NA	mobidb-lite	NA	NA	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA
PTB67869.1	IPR017871	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SSF52540;SSF90123	PF00664;PF00005	NA	mobidb-lite	Coil	cd18583;cd03253	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	PS00211	SM00382	PS50929;PS50893	NA	NA	NA	NA
PTB64870.1	IPR020845	G3DSA:3.30.559.30;G3DSA:3.30.559.10;G3DSA:3.30.300.30;G3DSA:3.40.50.12780;G3DSA:3.40.50.720;G3DSA:1.10.1200.10	SSF56801;SSF52777;SSF47336;SSF51735	PF07993;PF00501;PF00550;PF00668	NA	NA	Coil	cd05918;cd05966	GO:0031177;GO:0003824	Reactome: R-HSA-389661	PS00455;PS00012	SM00823;SM01294	PS50075	NA	TIGR01746;TIGR01733	NA	NA
PTB62599.1	IPR000547	G3DSA:1.25.40.10;G3DSA:2.130.10.110;G3DSA:1.25.40.730	SSF48371;SSF50989	PF00637;PF13838;PF01394	NA	NA	NA	NA	GO:0006886;GO:0016192;GO:0005515;GO:0005198;GO:0030130;GO:0030132;GO:0032051;GO:0071439	Reactome: R-HSA-190873|Reactome: R-HSA-196025|Reactome: R-HSA-3928665|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	NA	SM00299	PS50236	PIRSF002290	NA	NA	NA
PTB70084.1	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64896.1	IPR001138	G3DSA:4.10.240.10	SSF57701	PF00172;PF04082	NA	mobidb-lite	NA	cd00067;cd12148	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PS00463	SM00906;SM00066	PS50048	NA	NA	NA	NA
PTB68996.1	IPR021013	NA	NA	PF11712	NA	mobidb-lite	NA	NA	GO:0070072	NA	NA	NA	NA	NA	NA	NA	NA
PTB68940.1	IPR001547	G3DSA:3.20.20.80	SSF51445	PF00150	NA	mobidb-lite	Coil	NA	GO:0004553;GO:0005975	NA	NA	NA	NA	NA	NA	NA	NA
PTB70706.1	IPR007736	NA	NA	PF05042	NA	NA	NA	NA		KEGG: 00073+1.11.2.3|MetaCyc: PWY-321|MetaCyc: PWY-6917	NA	NA	NA	NA	NA	NA	NA
PTB62614.1	IPR027417	G3DSA:3.40.50.300;G3DSA:1.10.8.60	SSF52540	PF17866;PF13087;PF13086;PF00004	PR00819	mobidb-lite	Coil	cd06008;cd00009;cd17936;cd18808	GO:0005524	NA	NA	SM00382	NA	NA	NA	NA	NA
PTB65936.1	IPR003663	G3DSA:1.20.1250.20	SSF103473	PF00083	PR00171	NA	NA	cd17356	GO:0016020;GO:0022857;GO:0055085;GO:0016021	Reactome: R-HSA-189200	PS00216	NA	PS51257;PS50850	NA	TIGR00879	NA	NA
PTB69869.1	IPR002225	G3DSA:3.40.50.720	SSF51735	PF01073	NA	NA	NA	NA	GO:0003854;GO:0006694;GO:0016616;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA
PTB63653.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64207.1	IPR036259	G3DSA:1.20.1250.20	SSF103473	PF07690	NA	mobidb-lite	NA	cd17352	GO:0055085	NA	NA	NA	PS50850	NA	NA	NA	NA
PTB63150.1	IPR021709	NA	NA	PF11696	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67044.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67614.1	IPR016084	G3DSA:1.20.910.10	SSF48613	NA	NA	NA	NA	NA		Reactome: R-HSA-189483|Reactome: R-HSA-917937	NA	NA	NA	NA	NA	NA	NA
PTB67601.1	IPR019734	NA	SSF48452	PF13432;PF13181	NA	mobidb-lite	NA	NA	GO:0005515	NA	NA	SM00028	PS50005;PS50293	NA	NA	NA	NA
PTB61541.1	IPR019819	G3DSA:3.40.50.1820	SSF53474	PF00135	NA	NA	NA	NA	NA	NA	PS00941;PS00122	NA	NA	NA	NA	NA	NA
PTB61691.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65168.1	IPR033648	G3DSA:1.25.40.550;G3DSA:2.60.34.20	NA	PF05282	NA	NA	NA	cd13778;cd13777	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70678.1	IPR003593	G3DSA:2.30.130.40;G3DSA:1.10.8.60;G3DSA:1.20.58.1480;G3DSA:3.30.230.10	SSF52540;SSF54211;SSF88697	PF00004;PF02190;PF05362	PR00830	NA	Coil	cd00009	GO:0004176;GO:0004252;GO:0006508;GO:0005524;GO:0006515	Reactome: R-HSA-390471|Reactome: R-HSA-9033241	NA	SM00382;SM00464	PS51786;PS51787	PIRSF001174	TIGR00763	MF_03121	NA
PTB66143.1	IPR036188	G3DSA:3.50.50.60	SSF51905	PF13738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63728.1	IPR016939	NA	NA	PF13741	NA	mobidb-lite	NA	NA	GO:0003735;GO:0005763	NA	NA	NA	NA	PIRSF029764	NA	NA	NA
PTB69851.1	IPR005479	G3DSA:3.30.470.20;G3DSA:1.10.1030.10;G3DSA:3.40.50.1380;G3DSA:3.40.50.20;G3DSA:3.30.1490.20	SSF52440;SSF56059;SSF52335;SSF48108	PF02787;PF02786	PR00098	NA	NA	cd01423	GO:0005524;GO:0046872;GO:0006807	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	PS00867;PS00866	SM01096	PS50975;PS51855	NA	TIGR01369	NA	NA
PTB62828.1	IPR036770	G3DSA:1.25.40.20;G3DSA:3.40.50.1170;G3DSA:3.40.50.40	SSF53774;SSF48403	PF00710;PF12796;PF17763	PR00139	NA	NA	cd08963	GO:0005515	Reactome: R-HSA-8963693	NA	SM00870;SM00248	PS50088;PS50297;PS51732	PIRSF500176;PIRSF001220	NA	NA	SFLDS00057
PTB66787.1	IPR038770	G3DSA:1.20.1530.20	NA	PF01758	NA	mobidb-lite	NA	NA	GO:0015103;GO:0015297;GO:0016021;GO:0016020	NA	NA	NA	NA	PIRSF005508	TIGR00832	NA	NA
PTB62417.1	IPR000432	G3DSA:1.10.1420.10;G3DSA:3.30.420.110;G3DSA:3.40.50.300;G3DSA:3.40.1170.10	SSF48334;SSF52540;SSF53150	PF01624;PF05188;PF00488;PF05190;PF05192	NA	NA	Coil	cd03285	GO:0005524;GO:0006298;GO:0030983	Reactome: R-HSA-5632928	PS00486	SM00533;SM00534	NA	PIRSF005813	NA	NA	NA
PTB68369.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63620.1	IPR036259	G3DSA:1.20.1250.20	SSF103473	PF07690	NA	NA	NA	cd17323	GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA
PTB69742.1	IPR032800	NA	NA	PF14558;PF06011	NA	mobidb-lite	NA	NA	NA	NA	NA	SM01320	NA	NA	NA	NA	NA
PTB66420.1	IPR018565	NA	NA	PF09447	NA	NA	Coil	NA	GO:0000776	NA	NA	NA	NA	NA	NA	NA	NA
PTB69653.1	IPR011990	G3DSA:1.25.40.10	SSF48452	PF13414;PF13176;PF04049;PF13181	NA	NA	NA	NA	GO:0005515;GO:0005680;GO:0030071	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	SM00028	PS50005;PS50293	NA	NA	NA	NA
PTB61390.1	IPR007373	G3DSA:3.40.50.10240	SSF63999;SSF63862	PF04265;PF04263	NA	NA	NA	cd07995	GO:0009229;GO:0030975;GO:0004788;GO:0005524;GO:0006772	KEGG: 00730+2.7.6.2|MetaCyc: PWY-6898|MetaCyc: PWY-6907|MetaCyc: PWY-6908|MetaCyc: PWY-7356|Reactome: R-HSA-196819	NA	SM00983	NA	PIRSF031057	TIGR01378	NA	NA
PTB63572.1	IPR000504	G3DSA:3.30.70.330	SSF54928	PF00076	NA	mobidb-lite	NA	NA	GO:0003676	NA	NA	SM00360	PS50102	NA	NA	NA	NA
PTB63225.1	IPR016163	G3DSA:3.40.309.10;G3DSA:3.40.605.10	SSF53720	PF00171	NA	NA	NA	NA	GO:0016491;GO:0016620;GO:0055114	NA	PS00687	NA	NA	NA	NA	NA	NA
PTB64401.1	IPR022879	G3DSA:3.40.50.12240;G3DSA:3.20.20.70	SSF51569;SSF52540	PF00682;PF02874;PF00006	NA	mobidb-lite	NA	cd01135;cd07938;cd18112;cd18118	GO:0005524;GO:0003824;GO:0033180;GO:1902600;GO:0046034	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	PS00152	NA	PS50991	NA	TIGR01040	MF_00310	NA
PTB65009.1	IPR036380	G3DSA:3.40.50.850	SSF52499	PF00857	NA	NA	NA	NA	GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA
PTB69596.1	IPR021109	G3DSA:2.40.70.10	SSF50630	PF00026	PR00792	mobidb-lite	NA	NA	GO:0004190;GO:0006508	NA	NA	NA	PS51767	NA	NA	NA	NA
PTB69607.1	IPR032675	G3DSA:3.80.10.10	SSF52047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64624.1	IPR015943	G3DSA:2.130.10.10	SSF75011	PF10282	NA	NA	NA	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA
PTB61578.1	IPR005336	NA	NA	PF03650	NA	NA	NA	NA	GO:0005743;GO:0006850	NA	NA	NA	NA	NA	NA	NA	NA
PTB66196.1	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69500.1	IPR039924	G3DSA:2.30.29.30	NA	PF03517	NA	mobidb-lite	NA	NA		Reactome: R-HSA-191859	NA	NA	NA	NA	NA	NA	NA
