Gene	interpro	GO	SMART	ProSiteProfiles	SUPERFAMILY	CDD	Gene3D	Pfam	MobiDBLite	PATHWAY	ProSitePatterns	Coils	PRINTS	TIGRFAM	PIRSF	SFLD	Hamap
PTB41061.1	IPR036259	GO:0055085	NA	PS50850	SSF103473	cd17327	G3DSA:1.20.1250.20	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36886.1	IPR008076	GO:0008824;GO:0009439;GO:0003677	SM01116	NA	SSF55234;SSF47413	cd00093;cd00559	G3DSA:1.10.260.40;G3DSA:3.30.1160.10	PF02560	NA	KEGG: 00910+4.2.1.104	NA	NA	PR01693	TIGR00673	PIRSF001263	NA	MF_00535
PTB37044.1	IPR036249	GO:0016209;GO:0016491;GO:0055114	NA	NA	SSF52833	NA	G3DSA:3.40.30.10	PF00578	mobidb-lite	KEGG: 00480+1.11.1.15|Reactome: R-HSA-3299685	NA	NA	NA	NA	NA	NA	NA
PTB40298.1	IPR020904	GO:0016491	NA	NA	SSF51735	cd05233	G3DSA:3.40.50.720	PF13561	NA	NA	PS00061	NA	PR00080;PR00081	NA	NA	NA	NA
PTB37097.1	IPR013320	GO:0004553;GO:0005975	NA	PS51257;PS51762	SSF49899	cd02183	G3DSA:2.60.120.200	PF00722	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB38409.1	IPR020683	GO:0005515;GO:0003824;GO:0009116	SM00248	PS50297;PS50088	SSF53167;SSF52540;SSF48403	cd09008	G3DSA:1.25.40.960;G3DSA:1.25.40.20;G3DSA:3.40.50.300	PF12796;PF13637	NA	NA	NA	Coil	PR01415	NA	NA	NA	NA
PTB40877.1	IPR002993	GO:0008073	NA	NA	SSF55729	NA	G3DSA:3.40.630.60	PF02100	NA	Reactome: R-HSA-350562	NA	NA	NA	NA	NA	NA	NA
PTB44271.1	IPR001214	GO:0005515	NA	PS50280	SSF82199	NA	G3DSA:2.170.270.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37419.1	IPR026635	GO:0008168;GO:0042256;GO:0043022	SM00654	NA	SSF53335;SSF55909	cd00527	G3DSA:3.40.50.150;G3DSA:3.75.10.10	PF01912;PF13847	mobidb-lite	Reactome: R-HSA-8876725	NA	NA	NA	TIGR00323	NA	NA	MF_03188;MF_00032
PTB44372.1	IPR004143	GO:0006464;GO:0004077	NA	PS51733	SSF55681;SSF52317	cd03144;cd16442	G3DSA:3.40.50.880;G3DSA:3.30.930.10	PF03099;PF09825	NA	KEGG: 00785+2.3.1.181|MetaCyc: PWY-6987|MetaCyc: PWY-7382	NA	NA	NA	TIGR00121	NA	NA	NA
PTB38624.1	IPR036020	GO:0005515	NA	PS50020	SSF51045	cd00201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43039.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB44165.1	IPR036188	GO:0016491;GO:0055114	NA	NA	SSF51905	NA	G3DSA:3.50.50.100;G3DSA:3.50.50.60	PF07992	NA	NA	NA	NA	PR00469;PR00368	NA	NA	NA	NA
PTB46057.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB37841.1	IPR017899	GO:0000813;GO:0032509	NA	PS51310;PS51313	SSF140427;SSF140111	NA	G3DSA:1.20.120.1130;G3DSA:1.20.1440.200	PF03997	NA	Reactome: R-HSA-162588|Reactome: R-HSA-174490|Reactome: R-HSA-917729|Reactome: R-HSA-9615710	NA	NA	NA	NA	PIRSF017535	NA	NA
PTB37506.1	IPR036910	NA	SM00398	PS50118	SSF47095	cd01390	G3DSA:1.10.30.10	PF00505	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB38577.1	IPR008010	NA	NA	NA	NA	NA	NA	PF05346	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB37300.1	IPR023631		NA	NA	SSF75304	NA	G3DSA:3.90.1300.10	PF01425	NA	KEGG: 00970+6.3.5.7	NA	NA	NA	NA	NA	NA	NA
PTB40068.1	IPR042121	GO:0005524;GO:0006298	SM00853	NA	SSF118116;SSF55874	cd16926	G3DSA:3.30.1370.100;G3DSA:2.30.42.20;G3DSA:3.30.565.10	PF13589;PF08676	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40482.1	IPR033468	GO:0001401	NA	NA	NA	cd03078	NA	PF17171;PF10568	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB44137.1	IPR028005		NA	NA	NA	NA	NA	PF13878	mobidb-lite	Reactome: R-HSA-2468052	NA	NA	NA	NA	NA	NA	NA
PTB44095.1	IPR014729	NA	NA	NA	SSF52402	cd00293	G3DSA:3.40.50.620	PF00582	mobidb-lite	NA	NA	NA	PR01438	NA	NA	NA	NA
PTB40895.1	IPR001932	GO:0003824;GO:0043169	SM00332	PS51746	SSF81606	cd00143	G3DSA:3.60.40.10	PF00481	mobidb-lite	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	PS01032	NA	NA	NA	NA	NA	NA
PTB45735.1	IPR008972	NA	NA	NA	SSF49503	cd00920	G3DSA:2.60.40.420	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB43877.1	IPR013094	GO:0016787	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF07859	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB35863.1	IPR029063	NA	NA	NA	SSF53335	cd02440	G3DSA:3.40.50.150	PF10294	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB38089.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB41248.1	IPR027417	GO:0003873;GO:0005524;GO:0006000;GO:0003824;GO:0006003	SM00855	NA	SSF52540;SSF53254	cd07067	G3DSA:3.40.50.1240;G3DSA:3.40.50.300	PF00300;PF01591	NA	KEGG: 00051+2.7.1.105+3.1.3.46|Reactome: R-HSA-9634600	PS00175	NA	PR00991	NA	PIRSF000709	NA	NA
PTB35893.1	IPR001611	GO:0005515	NA	PS51450	SSF52058;SSF56219	cd09097	G3DSA:3.80.10.10;G3DSA:3.60.10.10	PF03372;PF13855	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41240.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB46157.1	IPR012312		NA	NA	NA	NA	G3DSA:1.20.120.520	PF01814	NA	Reactome: R-HSA-390471|Reactome: R-HSA-8951664|Reactome: R-HSA-917937|Reactome: R-HSA-983168	NA	Coil	NA	NA	NA	NA	NA
PTB42098.1	IPR010730	NA	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41744.1	IPR000340	GO:0008138;GO:0016311;GO:0004725	SM00404	PS51181	SSF52799	cd14497	NA	PF00782	mobidb-lite	NA	PS00383	NA	NA	NA	NA	NA	NA
PTB37102.1	IPR011701	GO:0055085	NA	PS50850	SSF103473	cd17329	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45660.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PS50011	SSF56112	cd00180	G3DSA:1.10.510.10	PF00069	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB37601.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35888.1	NA	NA	NA	NA	NA	NA	NA	PF13233	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37893.1	IPR036259	NA	NA	NA	SSF103473	NA	NA	PF06912	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36053.1	IPR024977	GO:0005515	SM00320	PS50082;PS50294	SSF50978	cd00200	G3DSA:2.130.10.10	PF12894;PF00400	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40227.1	IPR013536	NA	NA	PS51397	SSF54236	cd01812	G3DSA:3.10.20.90	PF08325	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB42535.1	IPR016117	GO:0004358;GO:0006526	NA	NA	SSF56266	cd02152	G3DSA:3.60.70.12;G3DSA:3.10.20.340;G3DSA:3.30.2330.10	PF01960	NA	KEGG: 00220+2.3.1.35+2.3.1.1|MetaCyc: PWY-5154	NA	NA	NA	TIGR00120	NA	NA	MF_01106
PTB42826.1	IPR007242	GO:0000045;GO:0005737	NA	NA	SSF54236	cd01612	G3DSA:3.10.20.90	PF04110	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-5205685|Reactome: R-HSA-8934903|Reactome: R-HSA-936440	NA	NA	NA	NA	NA	NA	NA
PTB46753.1	IPR002052	GO:0003676;GO:0008168;GO:0032259	NA	NA	SSF53335	NA	G3DSA:3.40.50.150	NA	NA	NA	PS00092	NA	NA	NA	NA	NA	NA
PTB35987.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35116.1	IPR002355	GO:0005507;GO:0016491;GO:0055114	NA	NA	SSF49503	cd13876;cd13898;cd13850	G3DSA:2.60.40.420	PF07732;PF07731;PF00394	NA	NA	PS00080;PS00079	NA	NA	NA	NA	NA	NA
PTB45639.1	IPR036770	GO:0005515;GO:0046872	SM00248	PS50297;PS50088	SSF48403	NA	G3DSA:1.25.40.20	PF12796	mobidb-lite	NA	PS00202	NA	NA	NA	NA	NA	NA
PTB36166.1	IPR013783		NA	PS51257	SSF51445;SSF49303;SSF49785	NA	G3DSA:2.60.40.10;G3DSA:2.60.120.260;G3DSA:3.20.20.80	PF17786;PF17753	NA	KEGG: 00511+3.2.1.25|Reactome: R-HSA-6798695|Reactome: R-HSA-8853383	NA	NA	NA	NA	NA	NA	NA
PTB45120.1	IPR029071	GO:0005515	SM00594;SM00166	NA	SSF54236;SSF52833;SSF46934	cd01767	G3DSA:3.40.30.10;G3DSA:3.10.20.90;G3DSA:1.10.8.10	PF00789;PF14555	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB45303.1	IPR023442	NA	NA	NA	SSF57716	cd00472	G3DSA:3.30.160.440;G3DSA:2.30.170.20	PF01246	mobidb-lite	NA	PS01073	Coil	NA	NA	NA	NA	NA
PTB41770.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42746.1	IPR027267	GO:0005515;GO:0005737	SM00721	NA	SSF103657	cd07600	G3DSA:1.20.1270.60	PF10455	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB42050.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42089.1	IPR011531	GO:0006820;GO:0016021	NA	NA	NA	NA	G3DSA:1.10.287.570	PF00955	mobidb-lite	Reactome: R-HSA-425381	NA	NA	NA	NA	NA	NA	NA
PTB36449.1	IPR024629	NA	NA	NA	NA	NA	NA	PF12829	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45030.1	IPR028626	GO:0003735;GO:0005840;GO:0006412	NA	NA	SSF50249	cd04457	G3DSA:2.40.50.140	PF01200	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS00961	NA	NA	NA	NA	NA	MF_00292
PTB38455.1	IPR002110	GO:0005515	SM00248	PS50088;PS50297	SSF52540;SSF48403	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	PF12796	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37595.1	IPR004827	GO:0003700;GO:0006355	SM00338	PS50217	SSF57959	cd12193	G3DSA:1.20.5.170	PF07716	mobidb-lite	NA	PS00036	Coil	NA	NA	NA	NA	NA
PTB44835.1	IPR002347	NA	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
PTB37006.1	IPR028133	GO:0005869;GO:0007017	NA	NA	NA	NA	NA	PF04912	mobidb-lite	Reactome: R-HSA-2132295|Reactome: R-HSA-2565942|Reactome: R-HSA-3371497|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-8854518	NA	Coil	NA	NA	NA	NA	NA
PTB45223.1	IPR017853	NA	NA	NA	SSF51445	NA	G3DSA:3.20.20.80	PF11790	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB34737.1	IPR008906	GO:0046983	NA	NA	SSF53098	NA	NA	PF05699	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43405.1	IPR000504	GO:0003676	SM00360	PS50102	SSF54928	NA	G3DSA:3.30.70.330	PF00076	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35735.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42660.1	IPR013319	GO:0004553;GO:0000272;GO:0008810	NA	NA	SSF49899	NA	G3DSA:2.60.120.180	PF01670	NA	MetaCyc: PWY-6717|MetaCyc: PWY-6784	NA	NA	NA	NA	NA	NA	NA
PTB40395.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB45623.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	SSF57701	cd00067	G3DSA:4.10.240.10	PF00172	mobidb-lite	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB37968.1	IPR006076	GO:0016491;GO:0055114;GO:0003884	NA	NA	SSF54373;SSF51971	NA	G3DSA:3.40.50.720;G3DSA:3.30.9.10	PF01266	NA	Reactome: R-HSA-389661|Reactome: R-HSA-9033241	PS00677	NA	NA	NA	NA	NA	NA
PTB41313.1	IPR037069	GO:0016627;GO:0050660;GO:0055114	NA	NA	SSF47203;SSF56645	cd00567	G3DSA:1.10.540.10;G3DSA:1.20.140.10;G3DSA:2.40.110.10	PF02771;PF00441	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37401.1	IPR023213	GO:0016747	NA	NA	NA	NA	G3DSA:3.30.559.10	PF02458	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA
PTB43135.1	IPR013783	GO:0004553;GO:0005975	NA	NA	SSF49303;SSF49785;SSF51445	NA	G3DSA:2.60.40.10;G3DSA:2.60.120.260;G3DSA:3.20.20.80	PF00703;PF17753;PF17786	NA	Reactome: R-HSA-2024096|Reactome: R-HSA-2160916|Reactome: R-HSA-2206292|Reactome: R-HSA-6798695	NA	NA	NA	NA	NA	NA	NA
PTB38554.1	IPR020683	GO:0005515	SM00248	PS50297;PS50088	SSF48403	NA	G3DSA:1.25.40.20	PF00023	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37822.1	IPR011583	GO:0008061;GO:0005975	SM00636	NA	SSF54556;SSF51445	NA	G3DSA:3.10.50.10;G3DSA:3.20.20.80	PF00704	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	PR00551	NA	NA	NA	NA
PTB43028.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36264.1	IPR036770	GO:0005515	SM00248	PS50088;PS50297	SSF48403;SSF52540	NA	G3DSA:3.40.50.300;G3DSA:1.25.40.20	PF13857;PF12796	NA	NA	NA	NA	PR01415	NA	NA	NA	NA
PTB42957.1	IPR001965		SM00249;SM00382	PS50016	SSF57903;SSF52540	cd15492;cd00009	G3DSA:3.40.50.300;G3DSA:3.30.40.10	PF13831;PF14629;PF13191	mobidb-lite	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	PS01359	NA	NA	NA	NA	NA	NA
PTB44191.1	IPR002777	GO:0006457;GO:0016272;GO:0051082	NA	NA	SSF46579	cd00632	G3DSA:1.10.287.370	PF01920	NA	Reactome: R-HSA-389957	NA	Coil	NA	NA	NA	NA	NA
PTB39763.1	IPR028587	GO:0004017;GO:0006172;GO:0005524;GO:0016776;GO:0006139;GO:0019205	NA	NA	SSF52540	cd01428	G3DSA:3.40.50.300	PF00406;PF05191	NA	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	PS00113	Coil	PR00094	TIGR01351	NA	NA	MF_03168;MF_00235
PTB45760.1	IPR035994	GO:0003824;GO:0009116	NA	NA	SSF53167	cd09008	NA	PF01048	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB43976.1	IPR002842	GO:0033178;GO:0046961;GO:1902600	NA	NA	SSF160527	NA	G3DSA:3.30.2320.30	PF01991	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	NA	Coil	NA	NA	NA	NA	MF_00311
PTB34924.1	IPR003615	NA	NA	NA	NA	NA	NA	PF13391	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB39184.1	IPR020904	GO:0016491	SM00822	NA	SSF51735	NA	G3DSA:3.40.50.720	PF00106	NA	NA	PS00061	NA	PR00081	NA	NA	NA	NA
PTB40045.1	IPR018744	NA	NA	NA	NA	NA	NA	PF10056	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40870.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB44225.1	IPR035994	GO:0003824;GO:0009116	NA	NA	SSF53167	cd09008	NA	PF01048	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB38856.1	IPR004827	GO:0003700;GO:0006355;GO:0003677	SM00338	PS50217	SSF57959	cd14687	G3DSA:1.20.5.170	PF00170;PF11786;PF11787;PF11785	mobidb-lite	NA	NA	Coil	PR00043	NA	NA	NA	NA
PTB40497.1	IPR001645	GO:0004326;GO:0005524;GO:0009396;GO:0009058;GO:0016874	NA	NA	SSF53623;SSF53244	NA	G3DSA:3.40.1190.10;G3DSA:3.90.190.20	NA	NA	KEGG: 00790+6.3.2.17|MetaCyc: PWY-2161|Reactome: R-HSA-196757	PS01012	Coil	NA	TIGR01499	PIRSF038895	NA	NA
PTB46130.1	IPR019388	GO:0005789;GO:0019915	NA	NA	NA	NA	NA	PF10261	NA	Reactome: R-HSA-8964572	NA	NA	NA	NA	NA	NA	NA
PTB44232.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	SM00906	NA	NA	cd12148	NA	PF04082	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB45909.1	IPR036590	NA	NA	NA	SSF143081	NA	G3DSA:3.90.1680.10	PF02586	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB46449.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PTB45523.1	IPR000073	NA	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF00561	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB46148.1	IPR002108	GO:0003779	SM00102	PS51263	SSF55753	cd11284;cd11285	G3DSA:3.40.20.10	PF00241	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42251.1	IPR008928	GO:0003824	NA	NA	SSF48208	NA	G3DSA:1.50.10.10;G3DSA:2.70.98.110	PF16923;PF03200	NA	KEGG: 00510+3.2.1.106|MetaCyc: PWY-7918|MetaCyc: PWY-7919|Reactome: R-HSA-4793954|Reactome: R-HSA-532668	NA	Coil	NA	NA	NA	NA	NA
PTB43542.1	IPR000182	GO:0008080	NA	PS51186	SSF55729	cd04301	G3DSA:3.40.630.30	PF00583	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PTB44023.1	IPR004798	GO:0006816;GO:0015369;GO:0006812;GO:0008324;GO:0016021;GO:0055085	NA	NA	NA	NA	G3DSA:1.20.1420.30;G3DSA:1.20.58.1130	PF01699	mobidb-lite	Reactome: R-HSA-425561	NA	NA	NA	TIGR00378;TIGR00846	NA	NA	NA
PTB34937.1	IPR022198	NA	NA	NA	NA	NA	NA	PF12520	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB40608.1	IPR009072	GO:0046982;GO:0006352	NA	NA	SSF47113	cd07979	G3DSA:1.10.20.10	PF02291	mobidb-lite	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA	NA	NA
PTB46587.1	IPR008576	GO:0006480;GO:0008168	NA	NA	SSF53335	NA	G3DSA:3.40.50.150	PF05891	NA	NA	NA	NA	NA	NA	PIRSF016958	NA	NA
PTB37157.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB41427.1	IPR026822		NA	NA	NA	NA	NA	PF12656	mobidb-lite	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA
PTB41562.1	IPR022780	NA	NA	NA	NA	NA	NA	PF05783	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB43712.1	IPR004813	GO:0055085	NA	NA	NA	NA	NA	PF03169	NA	NA	NA	NA	NA	TIGR00728	NA	NA	NA
PTB36925.1	IPR007109	NA	SM00879	PS50833	NA	NA	NA	PF04427	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB45879.1	IPR013216	GO:0008168;GO:0016020	SM00244	NA	SSF53335;SSF117892	cd03401;cd02440	G3DSA:3.40.50.150	PF08241;PF01145	mobidb-lite	Reactome: R-HSA-8949664	NA	Coil	PR00679	NA	NA	NA	NA
PTB42432.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PTB43488.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	SM00906	NA	NA	cd12148	NA	PF04082	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB37706.1	IPR013726	NA	NA	NA	NA	NA	NA	PF08520	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44754.1	IPR036869	GO:0005515	SM00028;SM00271	PS50005;PS50293;PS50076	SSF46565;SSF48452	cd06257	G3DSA:1.10.287.110;G3DSA:1.25.40.10	PF00226;PF13432	NA	NA	NA	NA	PR00625	NA	NA	NA	NA
PTB47180.1	IPR019163		NA	NA	NA	NA	NA	PF09766	NA	Reactome: R-HSA-159236|Reactome: R-HSA-72187|Reactome: R-HSA-73856	NA	Coil	NA	NA	NA	NA	NA
PTB43301.1	IPR001805	GO:0004001;GO:0006166;GO:0016773	NA	NA	SSF53613	cd01168	G3DSA:3.30.1110.10;G3DSA:3.40.1190.20	PF00294	NA	KEGG: 00230+2.7.1.20|MetaCyc: PWY-6619|Reactome: R-HSA-74217	PS00584	NA	PR00989	NA	NA	NA	NA
PTB47192.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	PR01217	NA	NA	NA	NA
PTB41508.1	IPR000537	GO:0016021;GO:0016765	NA	NA	NA	cd13965	NA	PF01040	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45214.1	IPR026533	NA	NA	NA	SSF52972	NA	G3DSA:3.90.950.10	PF01931	NA	NA	NA	NA	NA	NA	NA	NA	MF_00648
PTB43588.1	IPR016181	GO:0008080	NA	PS51186	SSF55729	cd04301	G3DSA:3.40.630.30	PF00583	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46403.1	IPR036236	GO:0003676	SM00355	PS50157	SSF57667	NA	G3DSA:3.30.160.60	PF00096	mobidb-lite	NA	PS00028	NA	NA	NA	NA	NA	NA
PTB35418.1	IPR027496	GO:0016491;GO:0019509;GO:0010309;GO:0055114	NA	NA	SSF51182	NA	G3DSA:2.60.120.10	PF03079	NA	KEGG: 00270+1.13.11.54|MetaCyc: PWY-4361|Reactome: R-HSA-1237112	NA	NA	NA	NA	NA	NA	MF_03154
PTB36388.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB34908.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	SM00906	NA	NA	cd12148	NA	PF04082	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB38030.1	IPR018843	NA	NA	NA	NA	NA	NA	PF10395	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB35585.1	IPR016215	GO:0004497;GO:0016705;GO:0055114	NA	NA	SSF51679	cd01095	G3DSA:3.20.20.30	PF00296	NA	NA	NA	NA	NA	TIGR03860	PIRSF000337	NA	NA
PTB39535.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB44342.1	IPR011057	NA	NA	NA	SSF51316	NA	G3DSA:2.170.150.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB40281.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB37275.1	IPR036770	GO:0005515	SM00248	PS50297	SSF52540;SSF48403	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	PF12796;PF05729	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB46345.1	IPR011993		SM01287;SM01286;SM01285	NA	SSF55920	cd01091	G3DSA:2.30.29.30;G3DSA:2.30.29.210;G3DSA:2.30.29.150;G3DSA:3.90.230.10;G3DSA:3.40.350.10	PF00557;PF08644;PF14826;PF08512	mobidb-lite	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	NA	Coil	NA	NA	NA	NA	NA
PTB35822.1	IPR002347	GO:0016491	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF13561	NA	NA	PS00061	NA	PR00081	NA	NA	NA	NA
PTB36095.1	IPR012341	GO:0003824	NA	NA	SSF48208	NA	G3DSA:1.50.10.10;G3DSA:2.60.420.10	PF17390	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB40284.1	IPR000425	GO:0015267;GO:0016020;GO:0055085	NA	NA	SSF81338	NA	G3DSA:1.20.1080.10	PF00230	NA	Reactome: R-HSA-432047	NA	NA	PR00783	NA	NA	NA	NA
PTB35379.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB45805.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
