Gene	MobiDBLite	interpro	SMART	GO	PRINTS	Gene3D	CDD	ProSitePatterns	ProSiteProfiles	SUPERFAMILY	Pfam	Coils	PIRSF	PATHWAY	Hamap	TIGRFAM	SFLD
EGR52129.1	mobidb-lite	IPR017438	NA	GO:0003951;GO:0019674;GO:0006741	NA	G3DSA:3.40.50.10330;G3DSA:2.60.200.30	NA	NA	NA	SSF111331	PF01513	NA	NA	KEGG: 00760+2.7.1.23|MetaCyc: PWY-5083|MetaCyc: PWY-7268|MetaCyc: PWY-7269|Reactome: R-HSA-196807	MF_00361	NA	NA
EGR51049.1	NA	IPR002347	NA	NA	PR00081	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA
EGR48164.1	mobidb-lite	NA	NA	NA	NA	NA	cd18724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51382.1	mobidb-lite	IPR032880	NA	GO:0016020	NA	NA	NA	NA	NA	NA	PF13967;PF02714;PF14703	Coil	NA	NA	NA	NA	NA
EGR48608.1	NA	IPR011333	NA	GO:0051260	NA	G3DSA:3.30.710.10	cd18316	NA	NA	SSF54695	PF02214	NA	NA	NA	NA	NA	NA
EGR48475.1	NA	IPR023606	NA	GO:0008410	NA	G3DSA:3.40.50.10540	NA	NA	NA	SSF89796	PF02515	NA	NA	NA	NA	NA	NA
EGR49798.1	mobidb-lite	IPR024371	NA	GO:0008521;GO:0016021	NA	G3DSA:1.20.1250.20	cd17485	NA	NA	SSF103473	PF13000	NA	NA	Reactome: R-HSA-425397|Reactome: R-HSA-5619061	NA	NA	NA
EGR48786.1	mobidb-lite	IPR000195	SM00164	NA	NA	G3DSA:1.10.8.270;G3DSA:1.10.472.80	NA	NA	PS50086	SSF47923	PF00566	NA	NA	NA	NA	NA	NA
EGR51834.1	mobidb-lite	IPR002058	NA	NA	NA	G3DSA:3.30.460.10;G3DSA:1.10.1410.10	NA	NA	NA	SSF81301;SSF81631	PF03828	NA	NA	NA	NA	NA	NA
EGR44495.1	mobidb-lite	IPR035107	NA	GO:0008033;GO:0000049;GO:0002098;GO:0034227	NA	G3DSA:3.40.50.620	cd01993	NA	NA	SSF52402	PF01171;PF16503	NA	PIRSF004976	Reactome: R-HSA-6782315	MF_03053	NA	NA
EGR45800.1	mobidb-lite	IPR005821	NA	GO:0005216;GO:0006811;GO:0016020;GO:0055085;GO:0005509	NA	G3DSA:1.20.120.350;G3DSA:1.10.287.70;G3DSA:1.10.238.10	NA	NA	PS50222	SSF81324	PF00520	NA	NA	NA	NA	NA	NA
EGR47580.1	mobidb-lite	IPR025676	NA	NA	NA	NA	NA	NA	NA	NA	PF14420	NA	NA	NA	NA	NA	NA
EGR47394.1	mobidb-lite	IPR029033	SM00855	NA	NA	G3DSA:3.40.50.1240	cd07067	NA	NA	SSF53254	PF00300	NA	NA	NA	NA	NA	NA
EGR47425.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR49151.1	NA	IPR036390	NA	GO:0000786;GO:0003677;GO:0006334;GO:0042025	NA	G3DSA:1.10.10.10	NA	NA	PS51504	SSF46785	PF00538	NA	NA	NA	NA	NA	NA
EGR52451.1	mobidb-lite	IPR011993	SM00233	NA	NA	G3DSA:2.30.29.30	cd13298;cd13299	NA	PS50003	SSF50729	PF00169	NA	NA	NA	NA	NA	NA
EGR49204.1	NA	IPR002523	NA	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	G3DSA:1.20.58.340	NA	NA	NA	SSF144083	PF01544	Coil	NA	NA	NA	NA	NA
EGR50973.1	mobidb-lite	IPR017441	SM00220	GO:0005524;GO:0004709;GO:0005737;GO:0051403;GO:0004672;GO:0006468	NA	G3DSA:1.10.510.10	cd06626	PS00107;PS00108	PS50011	SSF56112	PF00069	NA	PIRSF037579	NA	NA	NA	NA
EGR47970.1	mobidb-lite	IPR012978	NA	NA	NA	NA	NA	NA	NA	SSF48371	PF08161	Coil	NA	NA	NA	NA	NA
EGR47405.1	mobidb-lite	IPR024679	NA		NA	NA	NA	NA	NA	SSF48371	PF12333	NA	NA	Reactome: R-HSA-6791226	NA	NA	NA
EGR50930.1	NA	IPR001377	SM01405	GO:0003735;GO:0005840;GO:0006412	NA	NA	NA	PS00578	NA	NA	PF01092	Coil	PIRSF002129	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-166208|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA
EGR52702.1	mobidb-lite	IPR008501	NA	GO:0000445;GO:0006397	NA	NA	NA	NA	NA	NA	PF05615	Coil	NA	Reactome: R-HSA-159236|Reactome: R-HSA-72187|Reactome: R-HSA-73856	NA	NA	NA
EGR48667.1	NA	IPR004045	NA	GO:0005515	NA	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	cd03189;cd03046	NA	PS50404;PS50405	SSF47616;SSF52833	PF13417	NA	NA	NA	NA	NA	SFLDS00019;SFLDG00358
EGR45440.1	NA	IPR005522	NA	GO:0016301;GO:0032958	NA	G3DSA:1.10.510.50	NA	NA	NA	SSF56104	PF03770	NA	NA	NA	NA	NA	NA
EGR46886.1	mobidb-lite	IPR001210	NA	GO:0003735;GO:0005840;GO:0006412	NA	G3DSA:1.10.60.20	NA	PS00712	NA	SSF116820	PF00833	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	MF_00511	NA	NA
EGR49232.1	NA	IPR001384	NA	GO:0004222;GO:0006508;GO:0008237	PR00768	G3DSA:2.60.40.2970;G3DSA:3.40.390.10	cd11008	NA	NA	SSF55486	PF02102	NA	NA	NA	NA	NA	NA
EGR48732.1	NA	IPR019334	NA	NA	NA	NA	NA	NA	NA	NA	PF10190	NA	NA	NA	NA	NA	NA
EGR50553.1	mobidb-lite	IPR012571	NA	GO:0000001;GO:0005743;GO:0007005	NA	NA	NA	NA	NA	NA	PF08118	NA	NA	NA	NA	NA	NA
EGR52881.1	NA	IPR029063	NA	NA	NA	G3DSA:3.40.50.150	cd02440	NA	NA	SSF53335	PF13847	NA	NA	NA	NA	NA	NA
EGR47258.1	NA	IPR000717	SM00753;SM00088		NA	G3DSA:1.25.40.570	NA	NA	PS50250	SSF46785	PF01399;PF10602	Coil	NA	Reactome: R-HSA-8951664	NA	NA	NA
EGR52406.1	NA	IPR039528	NA	GO:0016740	NA	G3DSA:3.90.550.10	cd06442	NA	NA	SSF53448	PF00535	NA	NA	KEGG: 00510+2.4.1.83|MetaCyc: PWY-7661|MetaCyc: PWY-7921|MetaCyc: PWY-7922|MetaCyc: PWY-7979|Reactome: R-HSA-162699|Reactome: R-HSA-4717374|Reactome: R-HSA-4719360|Reactome: R-HSA-4719377	NA	NA	NA
EGR44585.1	mobidb-lite	IPR017441	SM00220	GO:0005524;GO:0004672;GO:0006468	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	cd14008	PS00107	PS50011	SSF56112	PF00069	NA	NA	NA	NA	NA	NA
EGR50861.1	mobidb-lite	IPR027359	NA	GO:0005216;GO:0006811;GO:0016020;GO:0055085	NA	G3DSA:1.20.120.350	NA	NA	NA	NA	PF00520	Coil	NA	NA	NA	NA	NA
EGR47283.1	NA	IPR019845	NA	GO:0016765;GO:0009058;GO:0016740;GO:0008610;GO:0016021;GO:0004310;GO:0006696;GO:0051996	NA	G3DSA:1.10.600.10	cd00683	PS01044	NA	SSF48576	PF00494	NA	NA	Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	NA	TIGR01559	SFLDS00005;SFLDG01018
EGR44259.1	mobidb-lite	IPR015421	NA	GO:0003824;GO:0019346;GO:0030170;GO:0004121;GO:0071266	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	cd00614	PS00868	NA	SSF53383	PF01053	NA	PIRSF001434	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	NA	TIGR01329	NA
EGR46002.1	NA	IPR001578	NA	GO:0004843;GO:0006511	PR00707	G3DSA:3.40.532.10	cd09616	NA	NA	SSF54001	PF01088	NA	NA	Reactome: R-HSA-5689603	NA	NA	NA
EGR46177.1	NA	IPR036291	NA	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA
EGR51941.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51664.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44343.1	mobidb-lite	IPR013243	NA	NA	NA	NA	NA	NA	PS51505	NA	PF08313	Coil	NA	NA	NA	NA	NA
EGR45016.1	NA	IPR003663	NA	GO:0016020;GO:0022857;GO:0055085;GO:0016021	NA	G3DSA:1.20.1250.20	cd17356	NA	PS50850	SSF103473	PF00083	Coil	NA	Reactome: R-HSA-189200	NA	TIGR00879	NA
EGR47262.1	mobidb-lite	IPR036047	NA	GO:0005515	NA	NA	NA	NA	PS50181	SSF81383;SSF50978	NA	NA	NA	NA	NA	NA	NA
EGR51712.1	NA	IPR029069	NA		NA	G3DSA:3.10.129.10	cd03443	NA	NA	SSF54637	PF03061	NA	NA	Reactome: R-HSA-77289	NA	TIGR00369	NA
EGR47215.1	NA	IPR010730	NA	NA	NA	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA
EGR46140.1	NA	IPR023333	NA	GO:0004298;GO:0005839;GO:0051603;GO:0004175	PR00141	G3DSA:3.60.20.10	cd03762	PS00854	PS51476	SSF56235	PF00227	NA	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA
EGR47528.1	NA	IPR041672	NA	NA	NA	NA	NA	NA	NA	NA	PF18035;PF05529	Coil	NA	NA	NA	NA	NA
EGR51851.1	mobidb-lite	IPR009057	SM00717	GO:0003677;GO:0005515	NA	G3DSA:1.10.10.10;G3DSA:1.10.10.60	cd02336;cd00167	NA	PS50934;PS51293	SSF46689	PF16495;PF00249;PF04433	Coil	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA
EGR50022.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45026.1	NA	IPR020902	SM00268	NA	PR00190	G3DSA:3.90.640.10;G3DSA:3.30.420.40	cd00012	PS01132	NA	SSF53067	PF00022	NA	NA	NA	NA	NA	NA
EGR46393.1	NA	IPR032710	NA	NA	NA	G3DSA:3.10.450.50	NA	NA	NA	SSF54427	NA	NA	NA	NA	NA	NA	NA
EGR51298.1	NA	IPR036430	NA	GO:0003723;GO:0033897	NA	G3DSA:3.90.730.10	cd01061	PS00530;PS00531	NA	SSF55895	PF00445	NA	NA	Reactome: R-HSA-6798695	NA	NA	NA
EGR45563.1	NA	IPR008775	NA	NA	NA	G3DSA:2.60.120.620	NA	NA	NA	SSF51197	PF05721	NA	NA	NA	NA	NA	NA
EGR50263.1	mobidb-lite	IPR002492	NA	GO:0003677;GO:0006313;GO:0015074	NA	G3DSA:3.30.420.470	NA	NA	NA	NA	PF01498	Coil	NA	NA	NA	NA	NA
EGR53062.1	NA	IPR008928	NA	GO:0003824;GO:0008496;GO:0016052	NA	G3DSA:1.50.10.20	NA	NA	NA	SSF48208	PF03663	NA	PIRSF016302	NA	NA	NA	NA
EGR44324.1	NA	IPR035994	NA	GO:0003824;GO:0009116	NA	G3DSA:3.40.50.1580	cd09008	NA	NA	SSF53167	PF01048	NA	NA	NA	NA	NA	NA
EGR49888.1	NA	IPR023612	NA	GO:0004222;GO:0006508	PR00730	G3DSA:3.10.170.10;G3DSA:1.10.390.10	cd09597	NA	NA	SSF55486	PF16485;PF01447;PF02868	NA	NA	NA	NA	NA	NA
EGR48589.1	mobidb-lite	IPR019339	SM01083	NA	NA	NA	NA	NA	NA	NA	PF10197	Coil	NA	NA	NA	NA	NA
EGR50224.1	NA	IPR023632	NA	GO:0015986;GO:0045261;GO:0046933	PR00126	G3DSA:3.40.1380.10;G3DSA:1.10.287.80	cd12151	PS00153	NA	SSF52943	PF00231	NA	PIRSF039089	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	NA	TIGR01146	NA
EGR52937.1	NA	IPR001733	NA	GO:0006465;GO:0008233;GO:0016020;GO:0008236;GO:0016021	PR00728	NA	cd06530	PS00501	NA	SSF51306	PF00717	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-381771|Reactome: R-HSA-400511|Reactome: R-HSA-422085	NA	TIGR02228	NA
EGR48940.1	NA	IPR006153	NA	GO:0006812;GO:0015299;GO:0016021;GO:0055085	NA	G3DSA:1.20.1530.20	NA	NA	NA	NA	PF00999	NA	NA	NA	NA	NA	NA
EGR51829.1	mobidb-lite	IPR040706	NA	GO:0004402;GO:0006355;GO:0016573	NA	G3DSA:2.30.30.140;G3DSA:1.10.10.10;G3DSA:3.30.60.60;G3DSA:3.40.630.30	cd04301;cd18986	NA	PS51726	SSF55729;SSF54160	PF17772;PF01853;PF11717	NA	NA	Reactome: R-HSA-3214847	NA	NA	NA
EGR46102.1	NA	IPR004853	NA	NA	NA	NA	NA	NA	NA	NA	PF03151	NA	NA	NA	NA	NA	NA
EGR51935.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49245.1	NA	IPR011234	NA	GO:0003824;GO:0004334;GO:0009072	NA	G3DSA:3.90.850.10;G3DSA:2.30.30.230	NA	NA	NA	SSF63433;SSF56529	PF01557;PF09298	NA	NA	KEGG: 00350+3.7.1.2|KEGG: 00643+3.7.1.2|Reactome: R-HSA-8963684	NA	TIGR01266	NA
EGR52439.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR52526.1	NA	IPR018271	NA	GO:0003735;GO:0005840;GO:0006412	NA	G3DSA:4.10.830.10	NA	PS00527	NA	NA	PF00253	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA
EGR45379.1	mobidb-lite	IPR000717	SM00088;SM00753		NA	G3DSA:1.10.10.10	NA	NA	PS50250	SSF46785	PF18098;PF01399	Coil	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA
EGR46295.1	mobidb-lite	IPR001579	SM00236	GO:0004553;GO:0005975;GO:0005576;GO:0030248	NA	G3DSA:3.20.20.80	NA	PS01095	PS51164	SSF51445;SSF57180	PF00704;PF00734	NA	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	NA
EGR47968.1	mobidb-lite	NA	NA	NA	PR01217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47909.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR49078.1	NA	IPR000182	NA	GO:0008080	NA	G3DSA:3.40.630.30	cd04301	NA	PS51186	SSF55729	PF00583	NA	NA	NA	NA	NA	NA
EGR50473.1	mobidb-lite	IPR005579	NA	NA	NA	NA	NA	NA	NA	NA	PF03879	Coil	NA	NA	NA	NA	NA
EGR46460.1	mobidb-lite	IPR036837	NA	GO:0006812;GO:0008324;GO:0016021;GO:0055085	NA	G3DSA:1.20.1510.10;G3DSA:3.30.70.1350	NA	NA	NA	SSF160240;SSF161111	PF16916;PF01545	Coil	NA	Reactome: R-HSA-435368	NA	TIGR01297	NA
EGR49718.1	NA	IPR016181	NA	GO:0008080	NA	G3DSA:3.40.630.30	NA	NA	NA	SSF55729	PF13302	NA	NA	NA	NA	NA	NA
EGR52368.1	NA	IPR007698	SM01002;SM01003	GO:0004754;GO:0009085	NA	G3DSA:3.40.50.720	cd12188	NA	NA	SSF51735;SSF52283	PF05222	NA	PIRSF018250	KEGG: 00300+1.5.1.7|KEGG: 00310+1.5.1.7	NA	NA	NA
EGR47005.1	NA	IPR007577	NA	NA	NA	NA	NA	NA	NA	SSF53448	PF04488	NA	NA	NA	NA	NA	NA
EGR44578.1	mobidb-lite	IPR012677	SM00360	GO:0003676	NA	G3DSA:3.30.70.330;G3DSA:3.30.1370.50	cd12253	NA	PS51061;PS50102	SSF54928;SSF82708	PF01424;PF00076	Coil	NA	NA	NA	NA	NA
EGR49345.1	mobidb-lite	IPR002554	NA	GO:0000159;GO:0007165;GO:0019888	NA	G3DSA:1.25.10.10	NA	NA	NA	SSF48371	PF01603	NA	PIRSF028043	Reactome: R-HSA-141444|Reactome: R-HSA-195253|Reactome: R-HSA-196299|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-389513|Reactome: R-HSA-432142|Reactome: R-HSA-4641262|Reactome: R-HSA-5339716|Reactome: R-HSA-5358747|Reactome: R-HSA-5358749|Reactome: R-HSA-5358751|Reactome: R-HSA-5358752|Reactome: R-HSA-5467337|Reactome: R-HSA-5467340|Reactome: R-HSA-5467348|Reactome: R-HSA-5663220|Reactome: R-HSA-5673000|Reactome: R-HSA-5675221|Reactome: R-HSA-6811558|Reactome: R-HSA-68877	NA	NA	NA
EGR46042.1	NA	IPR036397	SM00479	GO:0003676	NA	G3DSA:3.30.420.10	NA	NA	NA	SSF53098	NA	NA	NA	NA	NA	NA	NA
EGR49388.1	mobidb-lite	IPR001810	NA	GO:0005515	NA	NA	NA	NA	PS50181	NA	NA	NA	NA	NA	NA	NA	NA
EGR44770.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50992.1	NA	NA	NA	NA	NA	G3DSA:2.120.10.70	NA	NA	NA	SSF89372	NA	NA	NA	NA	NA	NA	NA
EGR50848.1	mobidb-lite	IPR023418	NA		NA	G3DSA:2.60.40.180	NA	PS00768;PS00769	NA	SSF49472	PF00576	NA	NA	Reactome: R-HSA-2453864|Reactome: R-HSA-2453902|Reactome: R-HSA-3000171|Reactome: R-HSA-6798695|Reactome: R-HSA-975634|Reactome: R-HSA-977225	NA	NA	NA
EGR48634.1	NA	IPR003689	NA	GO:0016020;GO:0030001;GO:0046873;GO:0055085;GO:0005385;GO:0016021;GO:0071577	NA	NA	NA	NA	NA	NA	PF02535	NA	NA	NA	NA	TIGR00820	NA
EGR47107.1	NA	IPR002347	NA	NA	PR00081;PR00080	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA
EGR48538.1	mobidb-lite	IPR028115	NA	NA	NA	NA	NA	NA	NA	NA	PF14831;PF09804	NA	NA	NA	NA	NA	NA
EGR49435.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44083.1	NA	IPR013087	NA	GO:0003676	NA	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	NA	PS00028	PS50089;PS51873	SSF57850	PF01485	NA	NA	NA	NA	NA	NA
EGR51199.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR51095.1	mobidb-lite	IPR002657	NA	GO:0016020;GO:0015103;GO:0015297;GO:0016021	NA	G3DSA:1.20.1530.20	NA	NA	NA	NA	PF01758	NA	PIRSF005508	NA	NA	TIGR00832	NA
EGR51195.1	NA	IPR000056	NA	GO:0005975;GO:0016857;GO:0003824;GO:0004750;GO:0006098	NA	G3DSA:3.20.20.70	cd00429	PS01086;PS01085	NA	SSF51366	PF00834	NA	PIRSF001461	KEGG: 00030+5.1.3.1|KEGG: 00040+5.1.3.1|KEGG: 00710+5.1.3.1|MetaCyc: PWY-1861|MetaCyc: PWY-5723|Reactome: R-HSA-71336	NA	NA	NA
EGR49478.1	NA	IPR042098	NA	GO:0016491;GO:0055114;GO:0005506;GO:0045329;GO:0050353	NA	G3DSA:3.60.130.10;G3DSA:3.30.2020.30	cd00250	NA	NA	SSF51197	PF02668;PF06155	NA	NA	Reactome: R-HSA-71262	NA	TIGR02410	NA
EGR50108.1	mobidb-lite	IPR017168	NA	GO:0005618;GO:0016798;GO:0071555;GO:0004553;GO:0005975	NA	G3DSA:2.60.120.200	cd02183	NA	PS51762	SSF49899	PF00722	NA	PIRSF037299	NA	NA	NA	NA
EGR50248.1	mobidb-lite	IPR036034	NA	GO:0005515	NA	G3DSA:2.30.42.10	NA	NA	PS51865	SSF50156	PF04495	NA	NA	Reactome: R-HSA-162658	NA	NA	NA
EGR45351.1	mobidb-lite	IPR011701	NA	GO:0055085	NA	G3DSA:1.20.1250.20	cd17316	NA	PS50850	SSF103473	PF07690	NA	NA	NA	NA	NA	NA
EGR47845.1	mobidb-lite	IPR000008	SM00239	GO:1903474	NA	G3DSA:2.60.40.150	cd08681	NA	PS50004	SSF49562	PF00168	NA	NA	NA	NA	NA	NA
EGR52916.1	mobidb-lite	IPR025279	NA	NA	NA	NA	cd06503	NA	NA	NA	PF13945	Coil	NA	NA	NA	NA	NA
EGR46397.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48061.1	NA	NA	NA	NA	NA	G3DSA:1.20.1170.10	NA	NA	NA	SSF58100	NA	Coil	NA	NA	NA	NA	NA
EGR50387.1	NA	IPR001155	NA	GO:0010181;GO:0016491;GO:0055114;GO:0003824	NA	G3DSA:3.20.20.70	cd02932	NA	NA	SSF51395	PF00724	NA	NA	NA	NA	NA	NA
EGR45231.1	NA	IPR036188	NA	GO:0016491;GO:0055114	PR00469;PR00368	G3DSA:3.50.50.100	NA	NA	NA	SSF51905	PF07992	NA	NA	NA	NA	NA	NA
EGR52629.1	mobidb-lite	IPR012340	SM00976	GO:0000723;GO:0000784;GO:0003677;GO:0043047	NA	G3DSA:2.40.50.140	cd04497	NA	NA	SSF50249	PF02765;PF16686	Coil	NA	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110330|Reactome: R-HSA-110331|Reactome: R-HSA-1221632|Reactome: R-HSA-171306|Reactome: R-HSA-2559586	NA	NA	NA
EGR49049.1	NA	IPR027417	SM00382	GO:0005524;GO:0016887	NA	G3DSA:3.40.50.300	cd03263	PS00211	PS50893	SSF52540	PF12698;PF00005	NA	NA	NA	NA	NA	NA
EGR51432.1	NA	IPR013880	NA	NA	NA	NA	NA	NA	NA	NA	PF08571	NA	NA	NA	NA	NA	NA
EGR50093.1	NA	IPR032675	NA	NA	NA	G3DSA:3.80.10.10	NA	NA	NA	SSF52047	NA	NA	NA	NA	NA	NA	NA
EGR52502.1	NA	IPR004695	NA	GO:0016021;GO:0055085	NA	G3DSA:1.50.10.150	cd09318	NA	NA	NA	PF03595	NA	NA	NA	NA	NA	NA
EGR52553.1	mobidb-lite	IPR034158	SM00360	GO:0003676	NA	G3DSA:3.30.70.330	cd12334;cd12335	NA	PS50102	SSF54928	PF00076	NA	NA	Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA
EGR49021.1	mobidb-lite	IPR004345	NA		NA	NA	NA	NA	NA	NA	PF03134	Coil	NA	Reactome: R-HSA-381753	NA	NA	NA
EGR50187.1	mobidb-lite	IPR002523	NA	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	G3DSA:1.20.58.340	NA	NA	NA	SSF144083;SSF143865	PF01544	NA	NA	NA	NA	NA	NA
