Gene	interpro	GO	Pfam	SUPERFAMILY	Gene3D	ProSitePatterns	MobiDBLite	ProSiteProfiles	Coils	PRINTS	PATHWAY	CDD	Hamap	SMART	TIGRFAM	PIRSF	SFLD
RFU78060.1	IPR011990	GO:0005515;GO:0043531	PF00931;PF13424;PF13374	SSF52540;SSF48452	G3DSA:1.25.40.10;G3DSA:3.40.50.300	NA	mobidb-lite	NA	NA	NA	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750|Reactome: R-HSA-9627069	NA	NA	NA	NA	NA	NA
RFU74765.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	SSF48264	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81353.1	IPR007567	NA	PF04478	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76293.1	IPR000182	GO:0008080	PF13302	SSF55729	G3DSA:3.40.630.30	NA	NA	PS51186	NA	NA	NA	cd04301	NA	NA	NA	NA	NA
RFU80001.1	IPR036291		PF05368	SSF51735	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	NA	NA	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA
RFU77541.1	IPR027417	NA	NA	SSF52540	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74524.1	IPR003807	NA	PF02656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79642.1	IPR029068	NA	NA	SSF54593	G3DSA:3.10.180.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75273.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76153.1	IPR014756	NA	NA	SSF81296	G3DSA:2.60.40.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76274.1	IPR019098	NA	PF09649	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SM01082	NA	NA	NA
RFU78861.1	IPR000727	GO:0016020;GO:0016192	PF00804;PF05739	SSF47661	G3DSA:1.20.58.70	NA	mobidb-lite	PS50192	NA	NA	NA	cd15849	NA	SM00397	NA	NA	NA
RFU80856.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80558.1	IPR036318	GO:0050660;GO:0016491;GO:0055114;GO:0071949	PF01565;PF08031	SSF56176	G3DSA:3.30.465.40;G3DSA:3.30.465.50	NA	NA	PS51387	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81864.1	IPR036291	GO:0016491	PF00106	SSF51735	G3DSA:3.40.50.720	PS00061	NA	NA	NA	PR00080;PR00081	NA	cd05233	NA	NA	NA	NA	NA
RFU80279.1	IPR001223	GO:0005975;GO:0008061	PF00704	SSF51445	NA	NA	NA	NA	NA	NA	NA	NA	NA	SM00636	NA	NA	NA
RFU78234.1	IPR000892	GO:0003735;GO:0005840;GO:0006412	PF01283	NA	G3DSA:3.30.1740.20	PS00733	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81274.1	IPR008030		PF05368	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	Reactome: R-HSA-70635	cd05259	NA	NA	NA	NA	NA
RFU78965.1	IPR006789	GO:0005885;GO:0015629;GO:0030833;GO:0034314	PF04699	SSF69103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF039096	NA
RFU72989.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU76422.1	IPR007817	NA	PF05141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75094.1	IPR006011	GO:0016020;GO:0016192	PF00804	SSF47661	G3DSA:1.20.58.70	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU77357.1	IPR003607	NA	PF13023	SSF109604	G3DSA:1.10.3210.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SM00471	NA	NA	NA
RFU81918.1	IPR006162	GO:0003824;GO:0031177	PF00501;PF00668;PF00550	SSF56801;SSF52777;SSF47336	G3DSA:2.30.38.10;G3DSA:3.30.559.30;G3DSA:3.30.300.30;G3DSA:3.40.50.12780;G3DSA:3.30.559.10;G3DSA:1.10.1200.10	PS00012;PS00455	mobidb-lite	PS50075	NA	NA	Reactome: R-HSA-389661	cd05918	NA	SM01294;SM00823	NA	NA	NA
RFU81327.1	IPR008145	GO:0004385;GO:0006163	PF00625	SSF52540	G3DSA:3.30.63.10;G3DSA:3.40.50.300	PS00856	NA	PS50052	NA	NA	KEGG: 00230+2.7.4.8|MetaCyc: PWY-7221|Reactome: R-HSA-2161541|Reactome: R-HSA-499943	cd00071	NA	SM00072	TIGR03263	NA	NA
RFU79148.1	IPR013087	GO:0003676	PF00096	SSF57667	G3DSA:3.30.160.60	PS00028	mobidb-lite	PS50157	NA	NA	NA	NA	NA	SM00355	NA	NA	NA
RFU77425.1	IPR001412	GO:0000166;GO:0004812;GO:0005524;GO:0006418	NA	NA	NA	PS00178	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79565.1	IPR000261	GO:0005515	NA	SSF47473	G3DSA:1.10.238.10	NA	mobidb-lite	PS50031	NA	NA	NA	cd00052	NA	SM00027	NA	NA	NA
RFU75101.1	IPR000409	GO:0005515	PF13385;PF02138;PF14844	SSF49899;SSF81837;SSF50978;SSF50729	G3DSA:2.60.120.200;G3DSA:1.10.1540.10;G3DSA:2.130.10.10	NA	mobidb-lite	PS50197;PS50294;PS51783;PS50082	NA	NA	NA	cd01201;cd06071	NA	SM01026;SM00320	NA	NA	NA
RFU79704.1	IPR000182	GO:0008080	PF13673	SSF55729	G3DSA:3.40.630.30	NA	NA	PS51186	NA	NA	NA	cd04301	NA	NA	NA	NA	NA
RFU73510.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76181.1	IPR019496	GO:0046872	PF10453	SSF90229	G3DSA:4.10.1000.10	NA	mobidb-lite	PS50103	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU76793.1	IPR002347	GO:0016491	PF00106	SSF51735	G3DSA:3.40.50.720	PS00061	NA	NA	NA	PR00081;PR00080	NA	cd05374	NA	SM00822	NA	NA	NA
RFU79617.1	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	SSF48264	G3DSA:1.10.630.10	NA	NA	NA	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA
RFU80166.1	IPR001509	GO:0003824;GO:0050662	PF01370;PF13460	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78723.1	IPR007704	GO:0006506;GO:0016021;GO:0016758	PF05007	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA
RFU78014.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72592.1	IPR016712	NA	PF11709	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75452.1	IPR014729	GO:0000049;GO:0002098;GO:0034227	PF10288	SSF52402	G3DSA:3.40.50.620	NA	NA	NA	NA	NA	Reactome: R-HSA-6782315	NA	NA	NA	NA	NA	NA
RFU79019.1	IPR002016	GO:0004601;GO:0006979;GO:0020037;GO:0055114	PF00141	SSF48113	G3DSA:1.10.520.10;G3DSA:1.10.420.10	PS00435;PS00436	NA	PS50873	NA	PR00458;PR00459	Reactome: R-HSA-2408557	cd00691	NA	NA	NA	NA	NA
RFU79601.1	IPR002877	GO:0008168;GO:0032259	PF01728	SSF53335	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72582.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	SSF56112	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PS00108	NA	PS50011	NA	NA	NA	NA	NA	SM00220	NA	NA	NA
RFU80236.1	IPR007873	GO:0000030;GO:0030176	PF05208	NA	NA	NA	NA	NA	NA	NA	KEGG: 00510+2.4.1.258|KEGG: 00513+2.4.1.258|Reactome: R-HSA-446193|Reactome: R-HSA-4720475	NA	NA	NA	NA	NA	NA
RFU76829.1	IPR023198	GO:0016787	PF13419	SSF56784	G3DSA:1.10.150.240;G3DSA:3.40.50.1000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01509	NA	SFLDS00003;SFLDG01129
RFU77302.1	IPR001623	NA	PF00226	SSF46565	G3DSA:1.10.287.110	NA	NA	PS50076	NA	PR00625	NA	cd06257	NA	SM00271	NA	NA	NA
RFU72060.1	IPR032466	GO:0005615	PF08451	SSF51556	G3DSA:3.20.20.140	NA	NA	NA	NA	NA	KEGG: 00230+3.5.4.4|MetaCyc: PWY-6609|MetaCyc: PWY-6611|MetaCyc: PWY-7179|MetaCyc: PWY-7179-1|Reactome: R-HSA-5683826|Reactome: R-HSA-6798695	NA	NA	NA	NA	NA	NA
RFU76518.1	IPR001619	GO:0006904;GO:0016192	PF00995	SSF56815	G3DSA:3.40.50.2060	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF005715	NA
RFU72701.1	IPR022407	GO:0043546;GO:0055114;GO:0042128;GO:0016491;GO:0020037;GO:0030151	PF00174;PF00175;PF00970;PF00173;PF03404	SSF52343;SSF81296;SSF63380;SSF55856;SSF56524	G3DSA:2.60.40.650;G3DSA:3.40.50.80;G3DSA:2.40.30.10;G3DSA:3.10.120.10;G3DSA:3.90.420.10	PS00559;PS00191	mobidb-lite	PS50255;PS51384	NA	PR00406;PR00407;PR00363	Reactome: R-HSA-1614517	cd06183	NA	SM01117	NA	NA	NA
RFU72277.1	IPR001012	GO:0005515	PF00789	SSF54236;SSF52833	G3DSA:3.40.30.10;G3DSA:3.10.20.90	NA	NA	PS50033;PS51257	Coil	NA	NA	cd01767	NA	SM00594;SM00166	NA	NA	NA
RFU78500.1	IPR000960	GO:0004499;GO:0050660;GO:0050661;GO:0055114	PF00743	SSF51905	G3DSA:3.50.50.60	NA	NA	NA	NA	PR00370	NA	NA	NA	NA	NA	NA	NA
RFU74285.1	IPR012338	NA	PF00144	SSF56601	G3DSA:3.40.710.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74530.1	IPR011701	GO:0055085;GO:0022857	PF07690	SSF103473	NA	NA	mobidb-lite	PS50850	NA	PR01035	NA	cd17323	NA	NA	NA	NA	NA
RFU79706.1	IPR036259	GO:0055085	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	mobidb-lite	PS50850	NA	NA	NA	cd17323	NA	NA	NA	NA	NA
RFU81317.1	IPR001199	NA	PF00173	SSF55856	G3DSA:3.10.120.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SM01117	NA	NA	NA
RFU74887.1	IPR002925	GO:0016787	PF01738	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81031.1	IPR001202	GO:0005515	PF01846;PF00397	SSF51045;SSF81698	G3DSA:2.20.70.10;G3DSA:1.10.10.440	PS01159	mobidb-lite	PS50020	Coil	NA	NA	cd00201	NA	SM00456;SM00441	NA	NA	NA
RFU75806.1	IPR036259	NA	NA	SSF103473	G3DSA:1.20.1720.10	NA	NA	NA	NA	NA	NA	cd17323	NA	NA	NA	NA	NA
RFU74920.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	SSF48264	G3DSA:1.10.630.10	PS00086	NA	NA	Coil	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA
RFU78784.1	IPR012340	GO:0003723;GO:0004540	PF00773	SSF50249	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SM00955	NA	NA	NA
RFU72591.1	IPR002616	GO:0006400;GO:0016763;GO:0008479;GO:0101030	PF01702	SSF51713	G3DSA:3.20.20.105	NA	NA	NA	NA	NA	MetaCyc: PWY-6700|Reactome: R-HSA-6782315	NA	MF_00168	NA	TIGR00449;TIGR00430	NA	NA
RFU75978.1	IPR036388	GO:0008168;GO:0008171	PF00891	SSF46785;SSF53335	G3DSA:1.10.10.10;G3DSA:3.40.50.150	NA	mobidb-lite	PS51683	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73629.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80619.1	IPR036852	GO:0004252;GO:0006508	PF00082	SSF52743	G3DSA:3.40.50.200	PS00138	NA	NA	NA	PR00723	NA	NA	NA	NA	NA	NA	NA
RFU80724.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74721.1	IPR005645	NA	PF03959	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80280.1	IPR006913	GO:0016846	PF04828	SSF51316	G3DSA:2.170.150.70	NA	NA	NA	NA	NA	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	NA	NA	NA	NA
RFU73303.1	IPR013255		PF08234	NA	G3DSA:3.30.457.50	NA	NA	NA	Coil	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA
RFU75853.1	IPR010686	NA	PF06884	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78020.1	IPR018607	GO:0007064;GO:0031390	PF09696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80814.1	IPR000534	GO:0016620;GO:0051287;GO:0055114;GO:0003942;GO:0006526	PF01118	SSF51735;SSF55347	G3DSA:3.40.50.720;G3DSA:3.30.360.10	PS01224	NA	NA	NA	NA	KEGG: 00220+1.2.1.38|MetaCyc: PWY-5154|MetaCyc: PWY-7400	NA	NA	SM00859	TIGR01850	NA	NA
RFU80736.1	IPR002110	GO:0005515;GO:0003824;GO:0009116	PF12796;PF13637	SSF52540;SSF48403;SSF53167	G3DSA:1.25.40.20;G3DSA:1.25.40.960;G3DSA:3.40.50.300	NA	NA	PS50088;PS50297	Coil	PR01415	NA	cd17933;cd09008	NA	SM00248	NA	NA	NA
RFU72175.1	IPR029030	NA	PF00656	SSF52129	G3DSA:3.40.50.12660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77081.1	IPR032466	GO:0016810;GO:0016787	PF01979	SSF51556;SSF51338	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU80617.1	IPR000845	GO:0003824;GO:0009116;GO:0005515	PF01048;PF12796;PF05729	SSF48403;SSF52540;SSF53167	G3DSA:3.40.50.300;G3DSA:1.25.40.20	NA	NA	PS50088;PS50837;PS50297	NA	NA	NA	cd09008	NA	SM00248	NA	NA	NA
RFU81116.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72795.1	IPR001962	GO:0004066;GO:0006529	PF00733;PF13537	SSF56235;SSF52402	G3DSA:3.40.50.620;G3DSA:3.60.20.10	NA	mobidb-lite	PS51278	NA	NA	KEGG: 00250+6.3.5.4|Reactome: R-HSA-380994|Reactome: R-HSA-8963693	cd01991;cd00712	NA	NA	TIGR01536	PIRSF001589	NA
RFU81940.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	SSF57701	G3DSA:4.10.240.10	PS00463	NA	PS50048	NA	NA	NA	cd00067	NA	SM00066	NA	NA	NA
RFU74116.1	IPR037175	GO:0004061;GO:0019441	PF04199	SSF102198	G3DSA:3.50.30.50	NA	NA	NA	NA	NA	KEGG: 00380+3.5.1.9|KEGG: 00630+3.5.1.9|MetaCyc: PWY-5651|MetaCyc: PWY-6309|MetaCyc: PWY-7717|MetaCyc: PWY-7733|MetaCyc: PWY-7734|MetaCyc: PWY-7765	NA	NA	NA	NA	NA	NA
RFU78405.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU82074.1	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	SSF48264	G3DSA:1.10.630.10	PS00086	NA	NA	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA
RFU73481.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79174.1	IPR023152	GO:0043087;GO:0005515;GO:0007165	PF03836;PF00616	SSF48350;SSF143885	G3DSA:1.10.506.10	PS00509	NA	PS50018	Coil	NA	Reactome: R-HSA-5626467	cd05132	NA	SM00323	NA	NA	NA
RFU79798.1	IPR001810	GO:0005515	PF00646	SSF81383	NA	NA	NA	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76672.1	IPR029063	GO:0008610	PF02353	SSF53335	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	cd02440	NA	NA	NA	PIRSF003085	NA
RFU81058.1	IPR000845	GO:0003824;GO:0009116	PF01048	SSF53167	NA	NA	NA	NA	NA	NA	NA	cd09008	NA	NA	NA	NA	NA
RFU80791.1	IPR012132	GO:0016614;GO:0050660;GO:0055114	PF05199;PF00732	SSF54373;SSF51905	G3DSA:3.30.560.10;G3DSA:3.50.50.60	PS00624;PS00623	NA	NA	NA	NA	Reactome: R-HSA-6798163	NA	NA	NA	NA	PIRSF000137	NA
RFU72703.1	IPR011701	GO:0055085;GO:0015112;GO:0015113;GO:0015706;GO:0015707;GO:0016021	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	NA	PS50850	NA	NA	NA	cd17341	NA	NA	TIGR00886	NA	NA
RFU79035.1	IPR017441	GO:0005524;GO:0004672;GO:0006468	PF00069	SSF56112	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PS00107;PS00108	mobidb-lite	PS50011	NA	NA	NA	NA	NA	SM00220	NA	PIRSF000615	NA
RFU72298.1	IPR002364	GO:0008270;GO:0016491	PF13602	SSF51735;SSF50129	G3DSA:3.90.180.10;G3DSA:3.40.50.720	PS01162	mobidb-lite	NA	NA	NA	NA	cd08267	NA	SM00829	NA	NA	NA
RFU75455.1	IPR001680	GO:0005515	PF00400	SSF50978	G3DSA:2.130.10.10	NA	NA	PS50082;PS50294	NA	NA	NA	cd17234	NA	SM00320	NA	NA	NA
RFU80574.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	cd12148	NA	SM00906	NA	NA	NA
RFU80872.1	IPR001180	GO:0005085;GO:0035556	PF00780;PF00610;PF15405;PF00621	SSF48065;SSF46785;SSF50729	G3DSA:2.30.29.30;G3DSA:1.20.900.10;G3DSA:1.10.10.10	NA	mobidb-lite	PS50010;PS50219;PS50186	NA	NA	NA	cd04435;cd00160	NA	SM00049;SM00036;SM00325	NA	NA	NA
RFU77864.1	IPR013251	GO:0005876;GO:0008608;GO:0042729	PF08287	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU75011.1	IPR007513	NA	PF04419	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81992.1	IPR030400	GO:0006508;GO:0004252;GO:0008236	PF09286	SSF52743;SSF54897	NA	NA	NA	PS51695	NA	NA	Reactome: R-HSA-381038	cd04056;cd11377	NA	SM00944	NA	NA	NA
RFU72070.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72116.1	IPR000644	NA	PF00571	SSF54631	G3DSA:3.10.580.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79478.1	IPR001680	GO:0005515	PF14538	SSF48371;SSF50978	G3DSA:2.130.10.10;G3DSA:1.25.10.10	PS00678	mobidb-lite	PS50082;PS50294	NA	PR01547	Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-3371571|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-8943724|Reactome: R-HSA-9639288	NA	NA	SM00320;SM01302	NA	NA	NA
RFU79650.1	IPR016193	GO:0003824	PF00383	SSF53927	G3DSA:3.40.140.10	NA	mobidb-lite	PS51747	NA	NA	NA	cd01285	NA	NA	NA	NA	NA
RFU73015.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73856.1	IPR036188	NA	PF13738	SSF51905	G3DSA:3.50.50.60	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU81908.1	IPR023210	GO:0016491;GO:0055114	PF00248	SSF51430	G3DSA:3.20.20.100	NA	NA	NA	NA	PR00069	NA	cd06660	NA	NA	NA	NA	NA
RFU78762.1	IPR016039	GO:0003824;GO:0016747	PF00108;PF02803	SSF53901	G3DSA:3.40.47.10	PS00099;PS00098	NA	NA	NA	NA	NA	cd00751	NA	NA	TIGR01930	PIRSF000429	NA
RFU79873.1	IPR029058	NA	PF05705	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77767.1	IPR001830	GO:0003824;GO:0005992;GO:0003825	PF00982	SSF53756	G3DSA:3.40.50.2000	NA	NA	NA	NA	NA	KEGG: 00500+2.4.1.15	cd03788	NA	NA	TIGR02400	NA	NA
RFU76931.1	IPR002220	GO:0016829;GO:0003824	PF00701	SSF51569	G3DSA:3.20.20.70	NA	NA	NA	NA	PR00146	NA	cd00408	NA	SM01130	NA	PIRSF001365	NA
RFU79929.1	IPR001214	GO:0005515	PF00856	SSF82199	G3DSA:3.30.60.180;G3DSA:2.170.270.10	PS01360	NA	PS50280	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72992.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75749.1	IPR009772	NA	PF07065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78203.1	IPR029063	NA	NA	SSF53335	G3DSA:3.40.50.150	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80961.1	IPR024974	NA	PF13019	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU80505.1	IPR036291	NA	NA	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79843.1	IPR007541	NA	PF04450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72629.1	IPR005683	GO:0005741;GO:0006886	PF04281	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-5205685	NA	NA	NA	NA	NA	NA
RFU73879.1	IPR022031		PF12231	SSF48371	NA	NA	mobidb-lite	NA	Coil	NA	Reactome: R-HSA-5693571	NA	NA	NA	NA	NA	NA
RFU76471.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	SSF57701	NA	PS00463	mobidb-lite	NA	NA	NA	NA	cd00067;cd12148	NA	SM00906;SM00066	NA	NA	NA
RFU80343.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0016712	PF00067	SSF48264	G3DSA:1.10.630.10	PS00086	NA	NA	NA	PR01239;PR00385	NA	NA	NA	NA	NA	NA	NA
RFU77580.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74239.1	IPR011990	GO:0005515	PF06985	NA	G3DSA:1.25.40.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77945.1	IPR035994	GO:0003824;GO:0009116	PF01048	SSF53167	NA	NA	NA	NA	NA	NA	NA	cd09008	NA	NA	NA	NA	NA
RFU74011.1	IPR036259	GO:0055085	PF07690	SSF103473	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	mobidb-lite	PS50850	NA	NA	NA	cd17476	NA	NA	NA	NA	NA
RFU73264.1	IPR013809	NA	PF01417	SSF48464	G3DSA:1.25.40.90	NA	mobidb-lite	PS50942	Coil	NA	NA	cd16992	NA	SM00273	NA	NA	NA
RFU77011.1	IPR020846	GO:0055085	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	NA	PS50850	NA	NA	NA	cd17323	NA	NA	NA	NA	NA
RFU81449.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72507.1	IPR038518	GO:0003824	PF16923;PF03200	SSF48208	G3DSA:2.70.98.110;G3DSA:1.50.10.10	NA	NA	NA	NA	NA	KEGG: 00510+3.2.1.106|MetaCyc: PWY-7918|MetaCyc: PWY-7919|Reactome: R-HSA-4793954|Reactome: R-HSA-532668	NA	NA	NA	NA	NA	NA
RFU81670.1	IPR017853	GO:0003796;GO:0009253;GO:0016998	PF01183	SSF51445	G3DSA:3.20.20.80	PS00953	NA	NA	NA	NA	NA	cd06412	NA	SM00641	NA	NA	NA
RFU76600.1	IPR036187	GO:0005524;GO:0006298;GO:0030983	PF05188;PF05192;PF00488	SSF48334;SSF52540;SSF53150	G3DSA:3.40.50.300;G3DSA:1.10.1420.10;G3DSA:3.30.420.110	PS00486	mobidb-lite	NA	Coil	NA	NA	NA	NA	SM00534;SM00533	NA	PIRSF005813	NA
RFU77652.1	IPR036526	GO:0006807;GO:0016810	PF00795	SSF56317	G3DSA:3.60.110.10	PS00920	NA	PS50263	NA	NA	NA	cd07564	NA	NA	NA	NA	NA
RFU77994.1	IPR018108	NA	PF00153	SSF103506	G3DSA:1.50.40.10	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78930.1	IPR007567	NA	PF04478	NA	NA	NA	mobidb-lite	NA	NA	PR01217	NA	NA	NA	NA	NA	NA	NA
RFU77472.1	IPR036291	NA	NA	SSF51735;SSF50129	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	NA	NA	NA	NA	NA	cd08267	NA	NA	NA	NA	NA
RFU78087.1	IPR029062	NA	NA	SSF52317	G3DSA:3.40.50.880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81299.1	IPR002908	GO:0008199;GO:0016226;GO:0004322;GO:0005739;GO:0055114	PF01491	SSF55387	G3DSA:3.30.920.10	PS01344	mobidb-lite	PS50810	NA	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-1362409	NA	NA	SM01219	TIGR03421;TIGR03422	NA	NA
RFU72790.1	IPR002110	GO:0005515	PF12796;PF00023	SSF48403	G3DSA:1.25.40.20	NA	NA	PS50088;PS50297	NA	PR01415	NA	NA	NA	SM00248	NA	NA	NA
