Gene	interpro	GO	SUPERFAMILY	PATHWAY	SMART	Pfam	Gene3D	MobiDBLite	Coils	CDD	ProSiteProfiles	PIRSF	ProSitePatterns	PRINTS	Hamap	TIGRFAM	SFLD
PTB78178.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72174.1	IPR009939	GO:0016977	NA	KEGG: 00520+3.2.1.132	NA	PF07335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80898.1	IPR011990	GO:0005515;GO:0006396	SSF48452	NA	SM00386	PF02184	G3DSA:1.25.40.10	NA	Coil	NA	PS50293	NA	NA	NA	NA	NA	NA
PTB74955.1	IPR014710	GO:0004476;GO:0009298;GO:0005975;GO:0008270	SSF51182	KEGG: 00051+5.3.1.8|KEGG: 00520+5.3.1.8|MetaCyc: PWY-3861|MetaCyc: PWY-3881|MetaCyc: PWY-5659|MetaCyc: PWY-6992|MetaCyc: PWY-7456|MetaCyc: PWY-7586|MetaCyc: PWY-882|Reactome: R-HSA-4043916|Reactome: R-HSA-446205	NA	PF01238	G3DSA:2.60.120.10;G3DSA:1.10.441.10	NA	NA	NA	NA	PIRSF001480	PS00966;PS00965	PR00714	NA	TIGR00218	NA
PTB80591.1	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	NA	PF04116	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB80362.1	IPR042277	GO:0015031	NA	Reactome: R-HSA-6798695	NA	PF03398	G3DSA:1.20.1260.60	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77235.1	IPR016009		NA	MetaCyc: PWY-6829|MetaCyc: PWY-7285|MetaCyc: PWY-7286	NA	PF01746	G3DSA:3.40.1280.30	mobidb-lite	NA	cd18089	PS51675	NA	NA	NA	NA	NA	NA
PTB79604.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77259.1	IPR009374	GO:0003743;GO:0005737;GO:0005852;GO:0006446;GO:0043022	SSF46785;SSF48371	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	PF10075	G3DSA:1.10.10.10;G3DSA:1.25.40.250	NA	NA	NA	PS50250	NA	NA	NA	MF_03010	NA	NA
PTB75495.1	IPR036259	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	NA	NA	cd17325	NA	NA	NA	NA	NA	NA	NA
PTB77237.1	IPR011184	GO:0005524;GO:0006298;GO:0030983	SSF53150;SSF48334;SSF52540	Reactome: R-HSA-5632928	SM00533;SM00534	PF05192;PF01624;PF00488;PF05188	G3DSA:3.30.420.110;G3DSA:3.40.1170.10;G3DSA:3.40.50.300	NA	NA	NA	NA	PIRSF005813	PS00486	NA	NA	NA	NA
PTB72861.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80877.1	IPR015943	GO:0005515	SSF50978;SSF82171	Reactome: R-HSA-6811438|Reactome: R-HSA-6811440|Reactome: R-HSA-8876198	NA	PF07064	G3DSA:2.130.10.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81141.1	IPR020683	GO:0005515	SSF48403	NA	SM00248	PF12796	NA	mobidb-lite	Coil	NA	PS50088;PS50297	NA	NA	NA	NA	NA	NA
PTB80703.1	IPR015289	GO:0031221;GO:0046556;GO:0046373	SSF110221;SSF49899	KEGG: 00520+3.2.1.55	NA	PF09206;PF05270	G3DSA:2.80.10.50;G3DSA:2.60.120.200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74043.1	IPR001611	GO:0005515	SSF52058	NA	SM00369;SM00365	PF12799	G3DSA:3.80.10.10	mobidb-lite	NA	NA	PS51450	NA	NA	NA	NA	NA	NA
PTB75250.1	IPR036188	GO:0016614;GO:0055114;GO:0050660	SSF54373;SSF51905	Reactome: R-HSA-6798163	NA	PF05199;PF00732	G3DSA:3.50.50.60;G3DSA:3.30.560.10	NA	NA	cd18043	NA	PIRSF000137	PS00624	NA	NA	NA	NA
PTB71607.1	IPR013650	GO:0005524;GO:0046872;GO:0006099;GO:0003824	SSF56059;SSF52210	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384|Reactome: R-HSA-71403	NA	PF08442;PF00549	G3DSA:3.30.470.20;G3DSA:3.30.1490.20	NA	NA	NA	PS50975	PIRSF001554	NA	NA	NA	NA	NA
PTB76946.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78485.1	IPR029760	GO:0004602;GO:0006979;GO:0055114	SSF52833	Reactome: R-HSA-3299685	NA	PF00255	G3DSA:3.40.30.10	NA	NA	cd00340	PS51355	PIRSF000303	PS00763;PS00460	PR01011	NA	NA	NA
PTB75876.1	IPR027417	GO:0004385;GO:0006163	SSF52540	KEGG: 00230+2.7.4.8|MetaCyc: PWY-7221|Reactome: R-HSA-2161541|Reactome: R-HSA-499943	SM00072	PF00625	G3DSA:3.40.50.300;G3DSA:3.30.63.10	NA	NA	cd00071	PS50052	NA	PS00856	NA	MF_00328	TIGR03263	NA
PTB77829.1	IPR022085	NA	NA	NA	NA	PF12311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76182.1	IPR000056	GO:0005975;GO:0016857;GO:0004750;GO:0006098;GO:0003824	SSF51366	KEGG: 00030+5.1.3.1|KEGG: 00040+5.1.3.1|KEGG: 00710+5.1.3.1|MetaCyc: PWY-1861|MetaCyc: PWY-5723|Reactome: R-HSA-71336	NA	PF00834	G3DSA:3.20.20.70	NA	NA	cd00429	NA	PIRSF001461	PS01086;PS01085	NA	NA	NA	NA
PTB77823.1	IPR008949	GO:0008299	SSF48576	NA	NA	PF00348	G3DSA:1.10.600.10	NA	NA	NA	NA	NA	PS00444	NA	NA	NA	NA
PTB76043.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	NA	PR00385;PR00463	NA	NA	NA
PTB74099.1	IPR003594	GO:0000160;GO:0000155;GO:0007165;GO:0005515;GO:0016310;GO:0016772	SSF55874;SSF52172;SSF47384;SSF55785	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	SM00387;SM00448;SM00086;SM00091;SM00388	PF00512;PF02518;PF00072;PF08447	G3DSA:3.30.450.20;G3DSA:3.40.50.2300;G3DSA:3.30.565.10;G3DSA:1.10.287.130	mobidb-lite	NA	cd00156;cd00130;cd16922;cd00082	PS50109;PS50112;PS50110	NA	NA	PR00344	NA	TIGR00229	NA
PTB77498.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	NA	PF00172	G3DSA:4.10.240.10	NA	NA	NA	PS50048	NA	PS00463	NA	NA	NA	NA
PTB75631.1	IPR029062	GO:0003883;GO:0006221;GO:0006241	SSF52540;SSF52317	KEGG: 00240+6.3.4.2|MetaCyc: PWY-7176|MetaCyc: PWY-7177|MetaCyc: PWY-7185|Reactome: R-HSA-499943	NA	PF00117;PF06418	G3DSA:3.40.50.880;G3DSA:3.40.50.300	NA	NA	cd03113;cd01746	PS51273	NA	NA	NA	NA	TIGR00337	NA
PTB73482.1	IPR029044	NA	SSF53448	NA	NA	PF04488	G3DSA:3.90.550.20	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB80010.1	IPR019194		NA	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955	NA	PF09816	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB72121.1	IPR010730	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81246.1	IPR042264	GO:0017183	NA	MetaCyc: PWY-6482|MetaCyc: PWY-7546|Reactome: R-HSA-5358493	NA	PF01866	G3DSA:3.40.50.11850;G3DSA:3.40.50.11860;G3DSA:3.40.50.11840	mobidb-lite	NA	NA	NA	PIRSF004967	NA	NA	NA	TIGR00322	SFLDS00032
PTB71388.1	IPR023214	NA	SSF56784	NA	NA	NA	G3DSA:1.10.720.60;G3DSA:3.40.50.1000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72286.1	IPR001382	GO:0004571;GO:0005509;GO:0016020;GO:0003824	SSF48225	NA	NA	PF01532	G3DSA:1.50.10.10	NA	NA	NA	NA	NA	NA	PR00747	NA	NA	NA
PTB80663.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA
PTB81712.1	IPR005103		NA	KEGG: 00500+3.2.1.4|MetaCyc: PWY-6788	NA	PF03443	G3DSA:2.70.50.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75117.1	IPR010799	NA	NA	NA	NA	PF07171;PF07364	NA	NA	NA	NA	NA	PIRSF012702	NA	NA	NA	NA	NA
PTB71321.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77016.1	IPR036291	NA	SSF51735	NA	SM00822	PF00106	G3DSA:3.40.50.720	NA	NA	cd05233	NA	NA	NA	PR00081	NA	NA	NA
PTB79267.1	IPR037525	NA	NA	NA	NA	PF11754	G3DSA:2.60.40.3960	mobidb-lite	NA	NA	PS51821	NA	NA	NA	NA	NA	NA
PTB81222.1	IPR006222	GO:0005515	SSF103025	KEGG: 00260+2.1.2.10|KEGG: 00670+2.1.2.10|Reactome: R-HSA-6783984	NA	PF01571	G3DSA:3.30.1360.120	NA	NA	NA	NA	PIRSF006487	NA	NA	NA	TIGR03317	NA
PTB76464.1	IPR000058	GO:0008270	SSF118310	NA	SM00154	PF01428	G3DSA:4.10.1110.10	NA	NA	NA	PS51039	NA	NA	NA	NA	NA	NA
PTB81926.1	IPR016305	GO:0004476;GO:0009298;GO:0005975;GO:0008270	SSF51182	KEGG: 00051+5.3.1.8|KEGG: 00520+5.3.1.8|MetaCyc: PWY-3861|MetaCyc: PWY-3881|MetaCyc: PWY-5659|MetaCyc: PWY-6992|MetaCyc: PWY-7456|MetaCyc: PWY-7586|MetaCyc: PWY-882|Reactome: R-HSA-4043916|Reactome: R-HSA-446205	NA	PF01238	G3DSA:1.10.441.10;G3DSA:2.60.120.10	NA	Coil	NA	NA	PIRSF001480	NA	PR00714	NA	TIGR00218	NA
PTB76622.1	IPR040450	GO:0006367	SSF50916;SSF46785	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	NA	PF02270;PF17683	G3DSA:1.10.10.10	mobidb-lite	NA	cd07980	NA	NA	NA	NA	NA	NA	NA
PTB77219.1	IPR023115	GO:0003743;GO:0005525;GO:0006413;GO:0003924	SSF52540;SSF50447;SSF52156	Reactome: R-HSA-5368286	NA	PF11987;PF00009	G3DSA:2.40.30.10;G3DSA:3.40.50.300;G3DSA:3.40.50.10050	mobidb-lite	NA	cd03692;cd03702;cd01887	PS51722	NA	PS01176	NA	MF_00100_B	TIGR00487;TIGR00231	NA
PTB77990.1	IPR000195	NA	SSF47923	NA	SM00164	PF00566	G3DSA:1.10.472.80;G3DSA:1.10.8.270	mobidb-lite	NA	NA	PS50086	NA	NA	NA	NA	NA	NA
PTB71312.1	IPR025207	GO:0031511	NA	NA	NA	PF13093	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB72627.1	IPR019339		NA	Reactome: R-HSA-72163	SM01083	PF10197;PF12542	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB81807.1	IPR032387	GO:0006629;GO:0030729;GO:0003824	SSF56801	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857	NA	PF16177;PF13193;PF00501	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	NA	NA	cd05943	NA	NA	PS00455	NA	NA	TIGR01217	NA
PTB72473.1	IPR029063	NA	SSF53335	NA	NA	NA	G3DSA:3.40.50.150	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79962.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74841.1	IPR001936	GO:0043087;GO:0007165	SSF49562;SSF48350	NA	SM00239;SM00323	PF00168;PF00616	G3DSA:1.10.506.10;G3DSA:2.60.40.150	mobidb-lite	NA	cd05137	PS50018	NA	PS00509	NA	NA	NA	NA
PTB73928.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79891.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78236.1	IPR029058	GO:0006629	SSF53474	Reactome: R-HSA-426048	NA	PF01764	G3DSA:3.40.50.1820	NA	NA	cd00519	NA	NA	NA	NA	NA	NA	NA
PTB71189.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81010.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80932.1	IPR007252	GO:0005643;GO:0017056	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-141444|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-5663220|Reactome: R-HSA-6784531|Reactome: R-HSA-68877	NA	PF04121	G3DSA:1.20.190.50;G3DSA:1.10.3450.20	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75093.1	IPR036866	NA	SSF56281	NA	NA	PF00753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76533.1	IPR036188	NA	SSF51905	NA	NA	PF13450	G3DSA:3.50.50.60;G3DSA:3.90.660.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80363.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76819.1	IPR036259	GO:0016020;GO:0022857;GO:0055085;GO:0016021	SSF103473	Reactome: R-HSA-189200	NA	PF00083	G3DSA:1.20.1250.20	NA	NA	cd17315	PS50850	NA	PS00216	PR00171	NA	TIGR00879	NA
PTB79282.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74213.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77735.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	SM00066	PF00172	G3DSA:4.10.240.10	mobidb-lite	Coil	cd00067	PS50048	NA	PS00463	NA	NA	NA	NA
PTB79685.1	IPR016024	GO:0005515;GO:0008536;GO:0006886	SSF48371	NA	SM00913	PF03378;PF03810;PF08506	G3DSA:1.25.10.10	NA	NA	NA	PS50166	NA	NA	NA	NA	NA	NA
PTB78573.1	IPR020846	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17352	PS50850	NA	NA	NA	NA	NA	NA
PTB76821.1	IPR011990	GO:0005515	SSF48452	NA	SM00028	PF07719	G3DSA:1.25.40.10	NA	NA	NA	PS50005	NA	NA	NA	NA	NA	NA
PTB77531.1	IPR041698	NA	SSF53335	NA	NA	PF13649	G3DSA:3.40.50.150	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
PTB72218.1	IPR001189	GO:0004784;GO:0006801;GO:0046872;GO:0055114	SSF54719;SSF46609	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505|Reactome: R-HSA-9615017	NA	PF02777;PF00081	G3DSA:2.40.500.20;G3DSA:1.10.287.990	NA	NA	NA	NA	PIRSF000349	PS00088	PR01703	NA	NA	NA
PTB71059.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71985.1	IPR014722	GO:0003723;GO:0003746;GO:0006452;GO:0043022;GO:0045901;GO:0045905	SSF50249;SSF50104	NA	NA	PF01287	G3DSA:2.30.30.30;G3DSA:2.40.50.140	NA	NA	cd04469	NA	NA	NA	NA	NA	NA	NA
PTB73382.1	IPR018485	GO:0005975;GO:0016773;GO:0004370;GO:0006072	SSF53067	KEGG: 00561+2.7.1.30|MetaCyc: PWY-4261	NA	PF02782;PF00370	G3DSA:3.30.420.40	NA	NA	NA	NA	PIRSF000538	PS00933;PS00445	NA	NA	TIGR01311	NA
PTB80711.1	IPR000504	GO:0003676;GO:0006397;GO:0046872	SSF54928	NA	SM00360	PF01480;PF00076	G3DSA:3.30.70.330	mobidb-lite	Coil	cd12257	PS50102;PS50103	NA	NA	NA	NA	NA	NA
PTB76085.1	IPR027417	GO:0005975;GO:0016301	SSF52540	KEGG: 00030+2.7.1.12|MetaCyc: PWY-5530	NA	PF01202	G3DSA:3.40.50.300	mobidb-lite	NA	cd02021	NA	NA	NA	NA	NA	TIGR01313	NA
PTB79164.1	IPR012677	GO:0003676;GO:0003723;GO:0005634;GO:0006397	SSF54928	NA	SM00360	PF15519;PF00076	G3DSA:3.30.70.330	mobidb-lite	NA	cd12284;cd12283;cd12285	PS50102	NA	NA	NA	NA	TIGR01622	NA
PTB78292.1	IPR001199	NA	SSF55856	NA	SM01117	PF00173	G3DSA:3.10.120.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76244.1	IPR001452	GO:0005515	SSF50044	NA	SM00326	PF00018;PF04366	G3DSA:2.30.30.40	NA	NA	cd11525;cd11842	PS50002	NA	NA	PR01887;PR00452	NA	NA	NA
PTB77804.1	IPR000717	NA	SSF46785	NA	SM00088;SM00753	PF01399	G3DSA:1.25.40.570	NA	Coil	NA	PS50250	NA	NA	NA	NA	NA	NA
PTB72391.1	IPR027417	GO:0005515	SSF52540;SSF48403	NA	SM00248	PF12796	G3DSA:3.40.50.300;G3DSA:1.25.40.20	NA	NA	NA	PS50297;PS50088	NA	NA	NA	NA	NA	NA
PTB80850.1	IPR000941	GO:0000015;GO:0000287;GO:0004634;GO:0006096	SSF54826;SSF51604	KEGG: 00010+4.2.1.11|KEGG: 00680+4.2.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1622|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218|MetaCyc: PWY-8004	SM01192;SM01193	PF00113;PF03952	G3DSA:3.20.20.120;G3DSA:3.30.390.10	NA	NA	cd03313	NA	PIRSF001400	PS00164	PR00148	MF_00318	TIGR01060	SFLDS00001;SFLDF00002
PTB72319.1	IPR036249	GO:0015035	SSF52833	Reactome: R-HSA-156590|Reactome: R-HSA-9033241	NA	PF01323	G3DSA:3.40.30.10	NA	Coil	cd03024	NA	NA	NA	NA	NA	NA	NA
PTB74871.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB80986.1	NA	NA	NA	NA	NA	NA	G3DSA:1.20.140.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80841.1	NA	NA	NA	NA	NA	PF13233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75402.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77204.1	IPR012943	GO:0005815	NA	NA	NA	PF07989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81652.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	NA	SM00066;SM00906	PF00172;PF04082	G3DSA:4.10.240.10	mobidb-lite	NA	cd00067;cd12148	PS50048	NA	NA	NA	NA	NA	NA
PTB75691.1	IPR002067	GO:0005347;GO:0055085	SSF103506	NA	NA	PF00153	G3DSA:1.50.40.10	NA	NA	NA	PS50920	NA	NA	PR00926	NA	NA	NA
PTB77202.1	IPR029030	NA	SSF52129	NA	NA	PF00656	G3DSA:3.40.50.12660	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75567.1	IPR023827	GO:0004252;GO:0006508	SSF52743	NA	NA	PF00082	G3DSA:3.40.50.200	NA	Coil	cd00306	NA	NA	PS00136	PR00723	NA	NA	NA
PTB78495.1	IPR016025	GO:0005198;GO:0006886;GO:0016192;GO:0030130;GO:0030132	SSF50989	Reactome: R-HSA-190873|Reactome: R-HSA-196025|Reactome: R-HSA-3928665|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	NA	NA	G3DSA:2.130.10.110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75582.1	IPR036866	NA	SSF56281	NA	SM00849	PF00753	G3DSA:3.60.15.10	NA	NA	cd07730	NA	NA	NA	NA	NA	NA	NA
PTB72655.1	IPR036291	GO:0003854;GO:0006694;GO:0016616;GO:0055114	SSF51735	NA	NA	PF01073	G3DSA:3.40.50.720	NA	NA	cd05227	NA	NA	NA	NA	NA	NA	NA
PTB71154.1	IPR011057	NA	SSF51316	NA	NA	NA	G3DSA:2.170.150.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71513.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	SM00066	PF11951;PF00172	G3DSA:4.10.240.10	mobidb-lite	NA	cd00067	PS50048	NA	PS00463	NA	NA	NA	NA
PTB75068.1	IPR015500	GO:0004252;GO:0006508;GO:0005618;GO:0016020	SSF52743	NA	NA	PF06280;PF00082	G3DSA:3.40.50.200	NA	NA	cd07489	NA	NA	PS00138;PS00136	PR00723	NA	NA	NA
PTB71923.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80155.1	IPR036259	NA	SSF103473	NA	NA	NA	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17352	NA	NA	NA	NA	NA	NA	NA
PTB73800.1	IPR018253	NA	SSF46565	NA	SM00271	PF00226	G3DSA:1.10.287.110	mobidb-lite	Coil	cd06257	PS50076	NA	PS00636	PR00625	NA	NA	NA
PTB80689.1	IPR012338	NA	SSF56601	NA	NA	PF00144	G3DSA:3.40.710.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76308.1	IPR001650	GO:0005524	SSF52540	NA	SM00490;SM00487	PF00271;PF00176	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	mobidb-lite	NA	cd18003;cd18793	PS51192;PS51204;PS51194	NA	PS00690	NA	NA	NA	NA
PTB73668.1	IPR021109	GO:0004190;GO:0006508	SSF50630	NA	NA	PF00026	G3DSA:2.40.70.10	mobidb-lite	NA	cd05471	PS51767	NA	NA	PR00792	NA	NA	NA
PTB77734.1	IPR002347	NA	SSF51735	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	PR00081	NA	NA	NA
PTB78875.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78116.1	IPR019734	GO:0005515	SSF48452	NA	SM00028	PF13432;PF00515	G3DSA:1.25.40.10	mobidb-lite	Coil	NA	PS50005;PS50293	NA	NA	NA	NA	NA	NA
PTB79612.1	IPR015419	NA	NA	NA	NA	PF09341	G3DSA:3.30.310.50	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76536.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73181.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78545.1	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	SSF103473	Reactome: R-HSA-189200	NA	PF00083	G3DSA:1.20.1250.20	NA	NA	cd17356	PS50850	NA	PS00217;PS00216	PR00171	NA	TIGR00879	NA
PTB80672.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	SSF57701	NA	SM00906;SM00066	PF04082;PF00172	G3DSA:4.10.240.10	mobidb-lite	NA	cd12148;cd00067	PS50048	NA	NA	NA	NA	NA	NA
PTB71823.1	IPR012677	GO:0003676	SSF54928	NA	SM00360	PF00076	G3DSA:3.30.70.330	mobidb-lite	NA	cd00590	PS50102	NA	NA	NA	NA	NA	NA
PTB77288.1	IPR005829	GO:0016021;GO:0022857;GO:0055085	SSF103473	NA	NA	PF00083	G3DSA:1.20.1250.20	NA	NA	cd17356	PS50850	NA	PS00216	NA	NA	NA	NA
PTB78154.1	IPR009071	NA	SSF47095	NA	SM00398	PF09011	G3DSA:1.10.30.10	mobidb-lite	Coil	cd00084	PS50118	NA	NA	NA	NA	NA	NA
PTB79468.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81602.1	IPR000073	GO:0006508;GO:0008233	SSF53474	KEGG: 00330+3.4.11.5	NA	PF00561	NA	NA	NA	NA	NA	NA	NA	PR00793	NA	NA	NA
