Gene	Gene3D	interpro	GO	ProSiteProfiles	SUPERFAMILY	Pfam	SMART	MobiDBLite	PATHWAY	ProSitePatterns	CDD	Coils	PRINTS	TIGRFAM	Hamap	PIRSF	SFLD
PNP43444.1	G3DSA:2.60.120.920	IPR013144	GO:0005515	PS50897;PS50188;PS50896	SSF49899	PF10607;PF00622	SM00757;SM00449;SM00667;SM00668	mobidb-lite	Reactome: R-HSA-8851805	NA	cd12909	Coil	NA	NA	NA	NA	NA
PNP43105.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48481.1	G3DSA:1.10.418.20;G3DSA:3.40.395.10	IPR003653	GO:0006508;GO:0008234	PS50600	SSF54001	PF02902	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43595.1	G3DSA:2.60.40.10;G3DSA:2.60.120.260;G3DSA:3.40.50.1700;G3DSA:3.20.20.300	IPR026891	GO:0004553;GO:0005975	PS51820	SSF52279;SSF51445	PF14310;PF07691;PF00933;PF01915	SM01217;SM00758	NA	NA	NA	NA	NA	PR00133	NA	NA	NA	NA
PNP45514.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40289.1	G3DSA:3.40.50.1820	IPR029058	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48672.1	G3DSA:3.40.50.720;G3DSA:3.90.25.10	IPR036291		NA	SSF51735	PF05368	NA	NA	Reactome: R-HSA-70635	NA	cd05251	NA	NA	NA	NA	NA	NA
PNP39964.1	NA	IPR003691	GO:0016021	NA	NA	PF02537	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38917.1	G3DSA:3.40.309.10;G3DSA:3.40.605.10	IPR012134	GO:0004350;GO:0006561;GO:0050661;GO:0055114;GO:0016491;GO:0016620	NA	SSF53720	PF00171	NA	NA	KEGG: 00330+1.2.1.41|KEGG: 00332+1.2.1.41|MetaCyc: PWY-3341|MetaCyc: PWY-6922	PS01223	cd07079	NA	NA	TIGR00407	MF_00412	PIRSF000151	NA
PNP37194.1	NA	IPR012337	NA	NA	SSF53098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38860.1	G3DSA:3.40.50.300	IPR040632	NA	NA	SSF52540	PF17784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42296.1	NA	IPR009836	NA	NA	NA	PF07173	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42546.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44802.1	G3DSA:2.130.10.10	IPR019775	GO:0005515	NA	SSF50998	PF12816	NA	mobidb-lite	NA	PS00678	NA	Coil	NA	NA	NA	NA	NA
PNP44531.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP39962.1	G3DSA:3.40.50.10190;G3DSA:1.10.3260.10;G3DSA:3.30.470.30;G3DSA:2.40.50.140	IPR036599	GO:0003677;GO:0003910;GO:0006281;GO:0006310;GO:0005524;GO:0071897;GO:0003909;GO:0051103	PS50172;PS50160	SSF117018;SSF50249;SSF52113;SSF56091	PF04679;PF16589;PF04675;PF01068	SM00292	mobidb-lite	NA	PS00697	cd17722;cd07903;cd17715	Coil	NA	TIGR00574	NA	NA	NA
PNP46046.1	G3DSA:2.60.120.10	IPR013096	NA	NA	SSF51182	PF07883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44323.1	G3DSA:3.30.465.40;G3DSA:3.40.462.20	IPR036318	GO:0050660;GO:0016491;GO:0055114;GO:0071949	PS51387	SSF56176	PF01565;PF08031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42569.1	G3DSA:3.30.420.10	IPR013520	GO:0003676;GO:0000175	NA	SSF53098	PF00929	SM00479	NA	NA	NA	cd06135	NA	NA	NA	NA	NA	NA
PNP41496.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41934.1	G3DSA:3.30.360.10;G3DSA:3.40.50.720	IPR000683	GO:0016491	NA	SSF51735	PF01408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37484.1	G3DSA:3.40.718.10	IPR024084	GO:0016616;GO:0055114	NA	SSF53659	PF00180	NA	NA	Reactome: R-HSA-71403	NA	NA	NA	NA	NA	NA	NA	NA
PNP40569.1	NA	IPR021858	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42402.1	NA	IPR032717	NA	NA	SSF144232	PF13824	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47916.1	G3DSA:3.20.20.80	IPR024655	NA	NA	SSF51445	PF11790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48908.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40124.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP48246.1	NA	IPR030378	GO:0005525	PS51721	SSF52540	PF01926	NA	mobidb-lite	NA	NA	cd01857	NA	NA	NA	NA	NA	NA
PNP37576.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38291.1	NA	IPR012173	GO:0005634;GO:0005732;GO:0006364;GO:0034457	NA	NA	PF04006	NA	mobidb-lite	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	Coil	NA	NA	NA	PIRSF017300	NA
PNP48709.1	G3DSA:1.10.472.10	IPR013922	GO:0000079;GO:0019901	NA	NA	PF08613	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP38955.1	G3DSA:3.40.50.10540	IPR023606	GO:0008410	NA	SSF89796	PF02515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44232.1	G3DSA:1.10.20.10	IPR006809	GO:0005634;GO:0006367;GO:0046982	NA	SSF47113	PF04719	NA	mobidb-lite	NA	NA	cd08048	NA	NA	NA	NA	NA	NA
PNP44885.1	G3DSA:2.40.100.10	IPR002130	GO:0000413;GO:0003755;GO:0006457	PS50072	SSF50891	PF00160	NA	NA	NA	PS00170	NA	NA	PR00153	NA	NA	PIRSF001467	NA
PNP47476.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd12082	NA	NA	NA	NA	NA	NA
PNP47368.1	G3DSA:3.40.50.11990	IPR038103		NA	NA	PF05179	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-201722|Reactome: R-HSA-5632684|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	NA	NA	NA	NA	NA	NA	NA	NA
PNP44425.1	G3DSA:3.30.420.10	IPR012337	GO:0003676;GO:0004523	PS50879	SSF53098	PF00075	NA	mobidb-lite	NA	NA	cd09276	NA	NA	NA	NA	NA	NA
PNP43404.1	G3DSA:3.30.70.330	IPR000467	GO:0003676	PS50174	SSF54928	PF01585;PF00076	SM00443	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39061.1	G3DSA:3.90.1170.10	IPR036920	GO:0003735;GO:0005840;GO:0006412;GO:0019843	NA	SSF54686	PF00252	NA	mobidb-lite	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PS00701	cd01433	NA	PR00060	TIGR01164	NA	NA	NA
PNP45652.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP48513.1	G3DSA:3.40.50.720	IPR002347	GO:0016491	NA	SSF51735	PF00106	NA	NA	NA	PS00061	NA	NA	PR00081	NA	NA	NA	NA
PNP46077.1	NA	IPR006042	GO:0016020;GO:0022857;GO:0055085	NA	NA	PF00860	NA	mobidb-lite	Reactome: R-HSA-196836	NA	NA	NA	NA	TIGR00801	NA	NA	NA
PNP48087.1	G3DSA:3.30.40.10;G3DSA:3.30.800.10;G3DSA:1.20.58.1870;G3DSA:3.50.7.10	IPR013083	GO:0016307;GO:0046488;GO:0005524;GO:0046872	PS51455;PS50178	SSF57903;SSF52029;SSF56104	PF01504;PF00118;PF01363	SM00330;SM00064	mobidb-lite	NA	NA	cd03334;cd17300	Coil	NA	NA	NA	NA	NA
PNP39235.1	NA	IPR021858	NA	NA	NA	PF11951	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42584.1	G3DSA:2.60.40.420	IPR011706	GO:0005507;GO:0016491;GO:0055114	NA	SSF49503	PF07731;PF07732;PF00394	NA	mobidb-lite	NA	PS00079;PS00080	cd13886;cd13857;cd13910	NA	NA	NA	NA	NA	NA
PNP42706.1	G3DSA:2.20.28.10;G3DSA:3.40.50.300;G3DSA:2.40.50.140	IPR003593	GO:0003677;GO:0003678;GO:0005524;GO:0006270;GO:0042555;GO:0006260	PS50051	SSF52540;SSF50249	PF14551;PF00493;PF17855;PF17207	SM00382;SM00350	mobidb-lite	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	PS00847	cd17758	Coil	PR01663;PR01657	NA	NA	NA	NA
PNP38788.1	G3DSA:3.50.50.100	IPR036188	GO:0016491;GO:0055114	NA	SSF51905	PF07992	NA	NA	NA	NA	NA	NA	PR00469;PR00368	NA	NA	NA	NA
PNP39705.1	G3DSA:3.40.50.300	IPR027417	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP44040.1	G3DSA:1.10.150.250	IPR005631	GO:0005739;GO:0018293	NA	SSF109910	PF03937	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	MF_03057	NA	NA
PNP37949.1	G3DSA:2.40.70.10	IPR001461	GO:0004190;GO:0006508	PS51257;PS51767	SSF50630	PF00026	NA	NA	NA	PS00141	cd05471	NA	PR00792	NA	NA	NA	NA
PNP40929.1	G3DSA:3.30.450.40;G3DSA:3.40.50.2300;G3DSA:3.30.565.10;G3DSA:1.10.287.130	IPR001789	GO:0000160;GO:0016310;GO:0016772;GO:0000155;GO:0007165	PS50109;PS50110	SSF52172;SSF47384;SSF55781;SSF55874	PF00072;PF00512;PF02518	SM00448;SM00387;SM00388	mobidb-lite	Reactome: R-HSA-70895	NA	cd16922;cd00082;cd00156	Coil	PR00344	NA	NA	NA	NA
PNP46768.1	G3DSA:3.40.50.1000;G3DSA:1.10.150.240	IPR006439	GO:0016787	NA	SSF56784	PF13419;PF04677	NA	NA	NA	NA	NA	NA	PR00413	TIGR01549	NA	NA	SFLDG01129;SFLDS00003
PNP44041.1	G3DSA:3.10.260.10	IPR018004	GO:0003677	PS51299	SSF54616	NA	SM01252	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38525.1	G3DSA:3.40.50.720;G3DSA:3.90.180.10	IPR013154	GO:0055114;GO:0016491	NA	SSF50129;SSF51735	PF08240;PF00107	SM00829	NA	NA	NA	cd08276	NA	NA	NA	NA	NA	NA
PNP40334.1	NA	IPR013657	GO:0055085	NA	NA	PF08449	NA	NA	NA	NA	NA	NA	NA	TIGR00803	NA	NA	NA
PNP42199.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44728.1	NA	NA	NA	NA	SSF56300	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40636.1	G3DSA:3.30.70.330	IPR000504	GO:0003676	PS50102	SSF54928	PF00076	SM00361;SM00360	mobidb-lite	NA	NA	cd12622;cd12614;cd12619	NA	NA	NA	NA	NA	NA
PNP45853.1	G3DSA:3.40.50.300	IPR001650	GO:0003676;GO:0005524	PS51195;PS51192;PS51194	SSF52540	PF00271;PF00270;PF13959	SM00490;SM00487;SM01178	mobidb-lite	NA	NA	cd17949;cd18787	NA	NA	NA	NA	NA	NA
PNP47378.1	G3DSA:3.20.20.100	IPR023210	GO:0016491;GO:0055114	NA	SSF51430	PF00248	NA	NA	NA	NA	cd06660	Coil	PR00069	NA	NA	NA	NA
PNP37468.1	G3DSA:3.40.1090.10	IPR016035	GO:0006629;GO:0004806	PS51635	SSF52151	PF11815;PF01734	NA	mobidb-lite	NA	NA	cd07232	Coil	NA	NA	NA	NA	NA
PNP43890.1	G3DSA:3.90.180.10;G3DSA:3.40.50.720	IPR014183	GO:0006069;GO:0008270;GO:0051903;GO:0055114;GO:0016491	NA	SSF51735;SSF50129	PF00107;PF08240	NA	NA	KEGG: 00010+1.1.1.1|KEGG: 00071+1.1.1.1|KEGG: 00260+1.1.1.1|KEGG: 00350+1.1.1.1|KEGG: 00592+1.1.1.1|KEGG: 00625+1.1.1.1|KEGG: 00626+1.1.1.1|KEGG: 00680+1.1.1.284|KEGG: 00830+1.1.1.1|KEGG: 00980+1.1.1.1|KEGG: 00982+1.1.1.1|MetaCyc: PWY-1801|MetaCyc: PWY-3162|MetaCyc: PWY-5057|MetaCyc: PWY-5076|MetaCyc: PWY-5078|MetaCyc: PWY-5079|MetaCyc: PWY-5082|MetaCyc: PWY-5480|MetaCyc: PWY-5486|MetaCyc: PWY-5751|MetaCyc: PWY-6313|MetaCyc: PWY-6333|MetaCyc: PWY-6342|MetaCyc: PWY-6587|MetaCyc: PWY-6802|MetaCyc: PWY-6871|MetaCyc: PWY-7013|MetaCyc: PWY-7111|MetaCyc: PWY-7118|MetaCyc: PWY-7396|MetaCyc: PWY-7798|Reactome: R-HSA-71384	PS00059	cd08300	NA	NA	TIGR02818	NA	NA	NA
PNP40943.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41391.1	G3DSA:3.40.50.12540;G3DSA:2.60.200.30	IPR002504	GO:0003951;GO:0006741;GO:0019674	NA	SSF111331	PF01513	NA	mobidb-lite	KEGG: 00760+2.7.1.23|MetaCyc: PWY-5083|MetaCyc: PWY-7268|MetaCyc: PWY-7269|Reactome: R-HSA-196807	NA	NA	NA	NA	NA	MF_00361	NA	NA
PNP41298.1	NA	IPR002076	GO:0016021	NA	NA	PF01151	NA	mobidb-lite	KEGG: 00062+2.3.1.199|MetaCyc: PWY-5080|MetaCyc: PWY-5972|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-7035|MetaCyc: PWY-7036|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|MetaCyc: PWY-8041|Reactome: R-HSA-75876	NA	NA	NA	NA	NA	NA	NA	NA
PNP47710.1	G3DSA:3.30.60.190	IPR007529	NA	PS51083	SSF144232	PF04438	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39137.1	G3DSA:3.40.532.10	IPR036959	GO:0004843;GO:0006511	NA	SSF54001	PF01088	NA	mobidb-lite	Reactome: R-HSA-5689603	NA	NA	NA	PR00707	NA	NA	NA	NA
PNP48054.1	G3DSA:1.10.506.10;G3DSA:1.10.418.10;G3DSA:1.20.5.190	IPR000048	GO:0005515;GO:0043087;GO:0007165	PS50021;PS50018;PS50096	SSF47576;SSF143885;SSF48350	PF00612;PF03836;PF00307;PF00616	SM00323;SM00015;SM00033	mobidb-lite	Reactome: R-HSA-5626467	NA	cd00014;cd05127	NA	NA	NA	NA	NA	NA
PNP37707.1	NA	IPR025340	NA	NA	NA	PF14033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41488.1	G3DSA:3.30.40.10;G3DSA:1.10.720.30;G3DSA:2.60.120.780	IPR023321	GO:0008270	PS51044;PS50800;PS51466	NA	PF14324;PF02891	NA	mobidb-lite	Reactome: R-HSA-3232118|Reactome: R-HSA-3899300|Reactome: R-HSA-4090294	NA	NA	NA	NA	NA	NA	NA	NA
PNP43037.1	G3DSA:3.30.60.90;G3DSA:1.10.10.60;G3DSA:1.10.10.780	IPR016827	GO:0003713;GO:0006357;GO:0035065;GO:0003677;GO:0008270;GO:0005515	PS51293;PS50934;PS50135	SSF46689;SSF57850	PF00249;PF00569	SM00291;SM00717	mobidb-lite	Reactome: R-HSA-3214847	PS01357	cd02335	Coil	NA	NA	NA	PIRSF025024	NA
PNP48432.1	G3DSA:3.50.50.60	IPR036188	GO:0016614;GO:0055114	PS50835	SSF51905	PF05199	NA	NA	Reactome: R-HSA-6798163	NA	NA	NA	NA	NA	NA	NA	NA
PNP47813.1	G3DSA:3.40.50.2000	NA	NA	NA	SSF53756	PF13692	NA	NA	NA	NA	cd03823	NA	NA	NA	NA	NA	NA
PNP41950.1	G3DSA:3.40.30.10;G3DSA:1.25.10.10;G3DSA:3.90.1720.30	IPR013535	GO:0045454	PS51396;PS51858;PS51352	SSF52833	PF08324;PF00085;PF05903	SM01179	NA	NA	PS00194	cd02947	NA	NA	NA	NA	NA	NA
PNP38330.1	G3DSA:2.130.10.10	IPR001680	GO:0005515	PS50082;PS50294	SSF50978	PF00400	SM00320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38580.1	G3DSA:3.30.559.30;G3DSA:3.30.559.10;G3DSA:3.40.50.12780;G3DSA:3.30.300.30;G3DSA:1.10.1200.10	IPR009081	GO:0031177;GO:0003824	PS50075	SSF52777;SSF47336;SSF56801	PF00501;PF00550;PF00668	SM01294;SM00823	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	PS00012;PS00455	cd05918	NA	NA	TIGR01733	NA	NA	NA
PNP48148.1	G3DSA:1.25.40.90	IPR013809	NA	PS50942	SSF48464	PF01417	SM00273	mobidb-lite	NA	NA	cd16992	Coil	NA	NA	NA	NA	NA
PNP47500.1	G3DSA:3.40.30.10	IPR019716		NA	NA	PF10780	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	Coil	NA	NA	NA	NA	NA
PNP43960.1	G3DSA:2.70.150.10;G3DSA:1.20.1110.10;G3DSA:2.70.150.20;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10	IPR006544	GO:0006812;GO:0016021;GO:0016887;GO:0000166	NA	SSF81665;SSF81660;SSF81653;SSF56784	PF00702;PF00122	NA	mobidb-lite	Reactome: R-HSA-936837	PS00154	cd07543	Coil	PR00119	TIGR01657;TIGR01494	NA	NA	SFLDF00027;SFLDG00002
PNP40540.1	NA	IPR000237	NA	PS50913	NA	PF10375	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP43333.1	NA	IPR029033	NA	NA	SSF53254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38129.1	G3DSA:2.40.30.30	IPR023465	GO:0008531;GO:0009231	NA	SSF82114	NA	SM00904	mobidb-lite	Reactome: R-HSA-196843	NA	NA	NA	NA	NA	NA	NA	NA
PNP40298.1	G3DSA:3.10.110.10	IPR016135		PS50127	SSF54495	PF00179	SM00212	mobidb-lite	Reactome: R-HSA-983168	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41895.1	NA	IPR007191	GO:0000145;GO:0006904	NA	NA	PF04048	NA	mobidb-lite	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	Coil	NA	NA	NA	NA	NA
PNP40727.1	G3DSA:3.20.20.80	IPR025705	GO:0004563;GO:0005975;GO:0004553	NA	SSF51445;SSF55545	PF14845;PF00728	NA	NA	KEGG: 00511+3.2.1.52|KEGG: 00513+3.2.1.52|KEGG: 00520+3.2.1.52|KEGG: 00531+3.2.1.52|KEGG: 00603+3.2.1.52|KEGG: 00604+3.2.1.52|MetaCyc: PWY-6902|MetaCyc: PWY-7822|MetaCyc: PWY-7883|Reactome: R-HSA-1660662|Reactome: R-HSA-2022857|Reactome: R-HSA-2024101|Reactome: R-HSA-2160916	NA	cd06562	NA	PR00738	NA	NA	PIRSF001093	NA
PNP40355.1	NA	IPR018961	NA	NA	NA	PF09350	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39040.1	G3DSA:3.40.50.150	IPR013216	GO:0008168	NA	SSF53335	PF08241	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA
PNP43580.1	G3DSA:3.10.310.10	IPR008794	NA	NA	SSF54506	PF05544	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF029792	SFLDS00028
PNP47728.1	G3DSA:3.30.70.330	IPR000504	GO:0003676;GO:0003723;GO:0005634;GO:0006397	PS50102	SSF54928	PF15519;PF00076	SM00360	mobidb-lite	NA	NA	cd12284;cd12285;cd12283	NA	NA	TIGR01622	NA	NA	NA
PNP40303.1	G3DSA:2.30.30.140	IPR000313	NA	PS50812	SSF63748	PF00855	SM00293	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP40353.1	NA	IPR000961	GO:0004674;GO:0005524;GO:0006468	PS51285	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP43561.1	G3DSA:1.20.1250.20	IPR036259	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PS50850	SSF103473	PF00083	NA	NA	Reactome: R-HSA-189200	PS00217	cd17356	NA	NA	TIGR00879	NA	NA	NA
PNP43600.1	G3DSA:1.20.1720.10	IPR036259	GO:0055085	PS50850	SSF103473	PF07690	NA	mobidb-lite	NA	NA	cd17502	NA	PR01036	NA	NA	NA	NA
PNP48100.1	G3DSA:1.10.510.10;G3DSA:3.30.200.20	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	PS50011;PS51285	SSF49562;SSF56112	PF00433;PF00069	SM00220;SM00133	mobidb-lite	NA	PS00107;PS00108	cd11651	NA	NA	NA	NA	NA	NA
PNP40271.1	G3DSA:1.10.287.110	IPR036869	NA	PS50076	SSF46565	PF00226;PF09320	SM00271	mobidb-lite	NA	NA	cd06257	NA	PR00625	NA	NA	NA	NA
PNP40706.1	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	IPR004046	GO:0005515	PS50404;PS50405	SSF47616;SSF52833	PF14497;PF02798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDG00358;SFLDS00019
PNP43807.1	G3DSA:1.25.40.20	IPR002110	GO:0005515	PS50088;PS50297	SSF48403	PF13637;PF13857;PF12796	SM00248	NA	NA	NA	NA	NA	PR01415	NA	NA	NA	NA
PNP43839.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45002.1	G3DSA:1.20.1250.20	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021	PS50850;PS51257	SSF103473	PF00083	NA	NA	Reactome: R-HSA-189200	PS00217;PS00216	cd17356	NA	PR00171	TIGR00879	NA	NA	NA
PNP43374.1	G3DSA:3.40.50.150	IPR033684	NA	NA	SSF53335	PF10294	NA	NA	NA	NA	NA	NA	NA	NA	MF_03198	NA	NA
PNP45492.1	NA	NA	NA	NA	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46174.1	G3DSA:3.40.50.2000;G3DSA:2.30.29.30	IPR011993	GO:0005975;GO:0016758;GO:0030259	PS50003	SSF53756;SSF50729	PF03033;PF00169;PF00201;PF02893	SM00233;SM00568	mobidb-lite	KEGG: 00550+2.4.1.227|MetaCyc: PWY-5265|MetaCyc: PWY-6385|MetaCyc: PWY-6470|MetaCyc: PWY-6471	NA	cd13216;cd13215;cd03784	NA	NA	NA	NA	NA	NA
PNP38768.1	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	IPR020846	GO:0055085	PS50850	SSF103473	PF07690	NA	NA	NA	NA	cd17502	NA	NA	NA	NA	NA	NA
PNP41915.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP48108.1	G3DSA:3.40.50.720	IPR036291	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40379.1	G3DSA:2.130.10.10	IPR036322	GO:0005515	PS50082;PS50294	SSF50978	PF00400	SM00320	mobidb-lite	NA	PS00678	NA	NA	PR00320	NA	NA	NA	NA
PNP48782.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	cd12148	NA	NA	NA	NA	NA	NA
PNP39239.1	G3DSA:3.30.420.10	IPR012337	GO:0003676	NA	SSF53098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41667.1	G3DSA:4.10.240.10	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	SSF57701	PF00172	SM00066	mobidb-lite	NA	PS00463	cd00067	NA	NA	NA	NA	NA	NA
PNP45446.1	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	IPR036259	GO:0055085	PS50850	SSF103473	PF07690	NA	mobidb-lite	NA	NA	cd17323	NA	NA	NA	NA	NA	NA
PNP43090.1	G3DSA:1.20.120.1080;G3DSA:2.40.50.140;G3DSA:3.40.50.300	IPR003029	GO:0003676;GO:0004386	PS50126;PS51192;PS51194	SSF50249;SSF52540	PF00271;PF07717;PF04408;PF00575	SM00487;SM00316;SM00490;SM00847	mobidb-lite	NA	PS00690	cd05684;cd17971;cd18791	Coil	NA	NA	NA	NA	NA
PNP39198.1	G3DSA:3.20.20.80	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0004553	PS51164	SSF51445;SSF57180	PF00150;PF00734	SM00236	NA	NA	PS00562	NA	NA	NA	NA	NA	NA	NA
PNP39644.1	NA	IPR013057	NA	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40885.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP42838.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43272.1	G3DSA:3.20.20.70	IPR004136	GO:0018580;GO:0055114;GO:0003824	NA	SSF51412	PF03060	NA	NA	NA	NA	cd04730	NA	NA	NA	NA	NA	NA
PNP42531.1	G3DSA:2.60.120.200	IPR009784	NA	NA	SSF49899	PF07081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40768.1	NA	IPR011059	GO:0016810;GO:0016888;GO:0016787;GO:0016812	NA	SSF51338;SSF51556	PF01979	NA	NA	KEGG: 00240+3.5.2.3|MetaCyc: PWY-5686|MetaCyc: PWY-7790|MetaCyc: PWY-7791	PS01137;PS00482	NA	NA	NA	NA	NA	NA	NA
PNP40415.1	G3DSA:3.40.50.2020	IPR005946	GO:0000287;GO:0004749;GO:0009165;GO:0009116	NA	SSF53271	PF14572;PF13793	SM01400	mobidb-lite	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1	NA	cd06223	NA	NA	TIGR01251	NA	NA	NA
PNP38732.1	G3DSA:3.40.50.150	IPR025714	NA	NA	SSF53335	PF13847	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA
