Gene	MobiDBLite	interpro	GO	Gene3D	SUPERFAMILY	ProSiteProfiles	Pfam	SMART	Coils	CDD	ProSitePatterns	PRINTS	PATHWAY	TIGRFAM	Hamap	PIRSF	SFLD
PKK53946.1	mobidb-lite	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0004553	G3DSA:3.20.20.80	SSF51445;SSF57180	PS51164	PF00734;PF00704	SM00236	NA	NA	PS01095	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	NA	NA
PKK46509.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	NA	NA	NA	cd00067	NA	NA	NA	NA	NA	NA	NA
PKK54689.1	mobidb-lite	NA	NA	G3DSA:1.10.10.60	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK48627.1	NA	IPR013154	GO:0055114;GO:0016491	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF51735;SSF50129	NA	PF08240	SM00829	NA	cd08249	NA	NA	NA	NA	NA	NA	NA
PKK42301.1	mobidb-lite	IPR001680	GO:0005515	NA	SSF50978	PS50082;PS50294	PF00400	SM00320	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK47486.1	mobidb-lite	IPR018939	NA	G3DSA:2.70.130.10	SSF50911	PS51257	PF09451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK51161.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	PF04082	SM00906	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
PKK48588.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK42420.1	mobidb-lite	IPR036603	GO:0006351;GO:0046983;GO:0003677;GO:0003899	G3DSA:3.30.1360.10	SSF55257	NA	PF13656	NA	Coil	cd07029	PS01154	NA	NA	NA	NA	NA	NA
PKK44999.1	mobidb-lite	IPR001841	NA	G3DSA:3.30.40.10	SSF57850	PS50089	PF13639	SM00184	NA	cd16454	NA	NA	NA	NA	NA	NA	NA
PKK43610.1	NA	IPR002347	NA	G3DSA:3.40.50.720	SSF51735	NA	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA
PKK47075.1	NA	IPR002842	GO:0033178;GO:0046961;GO:1902600	G3DSA:3.30.2320.30	SSF160527	NA	PF01991	NA	Coil	NA	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	NA	MF_00311	NA	NA
PKK52404.1	mobidb-lite	IPR036465	NA	G3DSA:3.40.50.410	SSF53300	PS50234	PF00092	SM00327	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK54224.1	NA	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	G3DSA:1.10.630.10	SSF48264	NA	PF00067	NA	Coil	NA	PS00086	PR00463;PR00385	NA	NA	NA	NA	NA
PKK46577.1	mobidb-lite	IPR023299	GO:0000166;GO:0016021;GO:0000287;GO:0005524;GO:0015914;GO:0140326	G3DSA:3.40.1110.10;G3DSA:3.40.50.1000	SSF81665;SSF81660;SSF81653;SSF56784	NA	PF00702;PF00122;PF16209;PF13246;PF16212	NA	NA	cd02073	PS00154	PR00119	Reactome: R-HSA-936837	TIGR01494;TIGR01652	NA	NA	SFLDF00027;SFLDG00002
PKK48727.1	mobidb-lite	IPR001849	NA	G3DSA:2.30.29.30	SSF50729	PS50003	PF00169;PF08174	SM00233	Coil	cd13278	NA	NA	NA	NA	NA	NA	NA
PKK49798.1	NA	IPR040632	NA	G3DSA:3.40.50.300	SSF52540	NA	PF17784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK52340.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45033.1	mobidb-lite	IPR035979	GO:0003676	NA	SSF54928	NA	NA	NA	NA	cd00590	NA	NA	NA	NA	NA	NA	NA
PKK49541.1	mobidb-lite	IPR041177	GO:0004518;GO:0006281;GO:0008821	G3DSA:3.40.50.1010	SSF88723;SSF47807	NA	PF18380;PF00752;PF00867	SM00484;SM00485	NA	cd09870;cd09906	NA	PR00853	NA	NA	NA	NA	NA
PKK46879.1	NA	IPR020583	GO:0046855;GO:0046854;GO:0008934	G3DSA:3.40.190.80;G3DSA:3.30.540.10	SSF56655	NA	PF00459	NA	NA	cd01639	PS00629;PS00630	PR00377	KEGG: 00521+3.1.3.25|KEGG: 00562+3.1.3.25|KEGG: 04070+3.1.3.25|MetaCyc: PWY-2301|MetaCyc: PWY-4702|MetaCyc: PWY-6363|Reactome: R-HSA-1855183	NA	NA	NA	NA
PKK41001.1	NA	IPR006140	GO:0051287;GO:0055114;GO:0016616	G3DSA:3.40.50.720	SSF52283;SSF51735	NA	PF02826;PF00389	NA	NA	cd12168	PS00065;PS00670	NA	NA	NA	NA	NA	NA
PKK44538.1	mobidb-lite	IPR027925	GO:0003677;GO:0003678;GO:0005524;GO:0006270;GO:0042555;GO:0006260	G3DSA:2.40.50.140;G3DSA:2.20.28.10;G3DSA:3.40.50.300	SSF52540;SSF50249	PS50051	PF14551;PF17855;PF00493;PF17207	SM00382;SM00350	Coil	cd17758	PS00847	PR01663;PR01657	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	NA	NA	NA	NA
PKK42897.1	mobidb-lite	IPR018957	GO:0046872	G3DSA:3.30.40.10	SSF57850	PS50089	PF00097	SM00184	Coil	cd16536	PS00518	NA	NA	NA	NA	NA	NA
PKK54334.1	mobidb-lite	IPR036322	GO:0005515	G3DSA:2.130.10.10;G3DSA:1.20.1280.50	SSF50978;SSF81383	PS50294;PS50181;PS50082	PF12937	SM00256	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50741.1	NA	IPR002347	GO:0016491	G3DSA:3.40.50.720	SSF51735	NA	PF00106	NA	NA	cd05374	PS00061	PR00081;PR00080	NA	NA	NA	NA	NA
PKK45194.1	NA	IPR014710	NA	G3DSA:2.60.120.10	SSF51182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK47234.1	NA	IPR036291	GO:0016491	G3DSA:3.40.50.720	SSF51735	NA	PF00106	NA	NA	NA	PS00061	PR00081	NA	NA	NA	NA	NA
PKK54710.1	NA	IPR002893	GO:0005515	G3DSA:3.90.1420.10;G3DSA:3.90.1410.10;G3DSA:3.30.60.180	SSF144232;SSF82199;SSF81822	PS50865;PS50280	PF01753;PF09273;PF00856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK52155.1	NA	IPR024079	GO:0008237	G3DSA:3.40.390.10	SSF55486	NA	PF13688	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK42543.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK42510.1	mobidb-lite	IPR028020	NA	NA	NA	NA	PF13919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK51345.1	mobidb-lite	IPR011430		NA	SSF48371	NA	PF07539	NA	NA	NA	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA
PKK45233.1	NA	IPR036188	GO:0016614;GO:0050660;GO:0055114	G3DSA:3.50.50.60;G3DSA:3.30.560.10	SSF51905;SSF54373	NA	PF05199;PF00732	NA	NA	NA	PS00624	NA	Reactome: R-HSA-6798163	NA	NA	PIRSF000137	NA
PKK48604.1	mobidb-lite	IPR027911	NA	NA	NA	NA	PF15377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50859.1	NA	IPR013154	GO:0055114;GO:0016491	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF50129;SSF51735	NA	PF08240	SM00829	NA	cd08249	NA	NA	NA	NA	NA	NA	NA
PKK45357.1	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	G3DSA:4.10.240.10	SSF57701	NA	PF04082	SM00906	NA	cd12148;cd00067	NA	NA	NA	NA	NA	NA	NA
PKK47961.1	mobidb-lite	IPR021463	NA	NA	NA	NA	PF11312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK46150.1	NA	IPR039261	GO:0016491;GO:0055114;GO:0020037	G3DSA:3.40.50.80;G3DSA:2.40.30.10;G3DSA:3.10.120.10	SSF55856;SSF52343;SSF63380	PS50255;PS51384	PF00970;PF00173;PF00175	SM01117	NA	cd06183	PS00191	PR00363;PR00371;PR00406	Reactome: R-HSA-1237044	NA	NA	NA	NA
PKK50611.1	NA	IPR007244	GO:0017196;GO:0031417	NA	NA	NA	PF04112	NA	NA	NA	NA	NA	Reactome: R-HSA-6811440	NA	NA	NA	NA
PKK54081.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK47847.1	NA	IPR003953		G3DSA:3.90.700.10;G3DSA:3.50.50.60	SSF51905;SSF56425	NA	PF00890	NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	NA	NA	NA
PKK48736.1	NA	IPR011009	NA	G3DSA:3.90.1200.10	SSF56112	NA	PF01636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50122.1	NA	IPR033730	GO:0004827;GO:0005524;GO:0005737;GO:0006433;GO:0000166;GO:0004812;GO:0006418	G3DSA:3.30.930.10;G3DSA:3.40.50.800	SSF55681;SSF52954	PS50862	PF03129;PF00587	NA	NA	cd00779;cd00861	NA	PR01046	KEGG: 00970+6.1.1.15|Reactome: R-HSA-379726	NA	NA	NA	NA
PKK53213.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK44649.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066	NA	cd00067	PS00463	NA	NA	NA	NA	NA	NA
PKK50971.1	NA	IPR027408		G3DSA:3.30.230.70	SSF54211;SSF55666	NA	PF01138	NA	NA	NA	NA	NA	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	NA	NA	NA
PKK54291.1	NA	IPR036291	GO:0016491	G3DSA:3.40.50.720	SSF51735	NA	PF13561	NA	NA	cd05233	PS00061	PR00081;PR00080	NA	NA	NA	NA	NA
PKK47251.1	NA	IPR008979	GO:0008239;GO:0016787	G3DSA:2.60.120.260;G3DSA:3.40.50.1820;G3DSA:1.10.3020.20	SSF53474;SSF49785	NA	PF02129;PF08530	SM00939	NA	NA	NA	NA	NA	TIGR00976	NA	NA	NA
PKK53719.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066;SM00906	NA	cd00067;cd12148	PS00463	NA	NA	NA	NA	NA	NA
PKK41053.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK42604.1	mobidb-lite	IPR036811	NA	G3DSA:1.10.287.20	SSF81531	NA	PF02320	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK46973.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49315.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172;PF04082	SM00066;SM00906	NA	cd12148;cd00067	NA	NA	NA	NA	NA	NA	NA
PKK49199.1	NA	IPR004045	GO:0005515	G3DSA:3.40.30.110;G3DSA:1.20.1050.10	SSF47616;SSF52833	PS50404;PS50405	PF13410;PF13417	NA	NA	cd00570;cd00299	NA	NA	NA	NA	NA	NA	NA
PKK53821.1	NA	IPR018260	GO:0003735;GO:0005840;GO:0006412;GO:0015934	G3DSA:3.90.470.10	SSF54843	NA	PF00237	NA	NA	cd00336	PS00464	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	TIGR01038	NA	NA	NA
PKK48104.1	mobidb-lite	IPR013057	NA	NA	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK51929.1	mobidb-lite	IPR001263	GO:0016773;GO:0016301	G3DSA:3.30.1010.10;G3DSA:1.10.1070.11	SSF56112;SSF48371	PS51545;PS50290	PF11522;PF00454	SM00146	NA	cd05168	PS00915;PS00916	NA	KEGG: 00562+2.7.1.67|KEGG: 04070+2.7.1.67|MetaCyc: PWY-6351|MetaCyc: PWY-6352	NA	NA	NA	NA
PKK43191.1	NA	IPR014710	NA	G3DSA:2.60.120.10	SSF51182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK46805.1	NA	IPR029032		G3DSA:1.20.1290.10	SSF69118	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-5628897	NA	NA	NA	NA
PKK47044.1	mobidb-lite	IPR029058	NA	G3DSA:3.40.50.1820	SSF53474	NA	PF05057	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF005412	NA
PKK47576.1	mobidb-lite	IPR000086	GO:0016787	G3DSA:3.90.79.10	SSF55811	PS51462	PF00293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK45902.1	NA	IPR022674	GO:0006006;GO:0016614;GO:0050661;GO:0055114;GO:0004345	G3DSA:3.30.360.10;G3DSA:3.40.50.720	SSF51735;SSF55347	NA	PF00479;PF02781	NA	NA	NA	PS00069	PR00079	KEGG: 00030+1.1.1.49|KEGG: 00480+1.1.1.49|MetaCyc: PWY-7268|MetaCyc: PWY-8004	TIGR00871	MF_00966	PIRSF000110	NA
PKK41608.1	mobidb-lite	IPR018830	NA	NA	NA	NA	PF10361	NA	NA	cd15035	NA	NA	NA	NA	NA	NA	NA
PKK54151.1	NA	IPR036291		G3DSA:3.40.50.720;G3DSA:3.90.25.10	SSF51735	NA	PF05368	NA	NA	NA	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
PKK41915.1	NA	IPR012337	GO:0003676	G3DSA:3.30.420.10	SSF53098	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK43004.1	NA	IPR036770	GO:0005515	G3DSA:1.25.40.20	SSF48403	PS50088;PS50297	PF12796	SM00248	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK51844.1	mobidb-lite	IPR029058	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK51333.1	mobidb-lite	IPR007246	GO:0016021;GO:0042765	G3DSA:3.40.630.10	SSF53187	NA	PF04114	NA	NA	NA	NA	NA	Reactome: R-HSA-162791	NA	NA	PIRSF036762	NA
PKK45753.1	mobidb-lite	IPR000261	GO:0005515	G3DSA:1.10.238.10	SSF47473	PS50031	NA	SM00027	NA	cd00052	NA	NA	NA	NA	NA	NA	NA
PKK45010.1	NA	IPR005801	GO:0009058	G3DSA:3.60.120.10;G3DSA:3.40.50.880	SSF56322;SSF52317	PS51273	PF00425;PF00117;PF04715	NA	NA	cd01743	NA	PR00095	KEGG: 00790+2.6.1.85|MetaCyc: PWY-6543|MetaCyc: PWY-8032	TIGR01823	NA	NA	NA
PKK53140.1	NA	NA	NA	NA	SSF55486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48407.1	NA	IPR037401	NA	G3DSA:3.10.450.50	SSF54427	NA	PF13577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50711.1	NA	IPR004147	NA	NA	SSF56112	NA	PF03109	NA	NA	cd13969	NA	NA	NA	NA	NA	NA	NA
PKK49243.1	NA	IPR007344	NA	G3DSA:3.30.460.10	SSF81301	NA	PF04229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK47974.1	NA	IPR036259	GO:0055085	G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	cd17323	NA	NA	NA	NA	NA	NA	NA
PKK43326.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	SSF57701	PS50048	NA	NA	NA	cd00067	NA	NA	NA	NA	NA	NA	NA
PKK46712.1	NA	IPR011583	GO:0008061;GO:0005975;GO:0004553	G3DSA:3.30.60.10;G3DSA:3.10.50.10;G3DSA:3.20.20.80	SSF51445;SSF54556	PS50941	PF00704	SM00636	NA	cd06922	PS01095	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	NA	NA
PKK53966.1	NA	IPR011008	NA	G3DSA:3.30.70.1060	SSF54909	NA	PF03795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48549.1	mobidb-lite	IPR001810	GO:0005515	NA	SSF52047	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK42536.1	mobidb-lite	IPR019340		NA	NA	NA	PF10198	NA	Coil	NA	NA	NA	Reactome: R-HSA-3214847|Reactome: R-HSA-5689880	NA	NA	NA	NA
PKK44084.1	NA	IPR029058	GO:0016787	G3DSA:3.40.50.1820	SSF53474	NA	PF01083	SM01110	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK44230.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49611.1	NA	IPR000182	GO:0008080	G3DSA:3.40.630.30	SSF55729	PS51186	PF13302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49899.1	NA	IPR029063	NA	G3DSA:3.40.50.150	SSF53335	PS51257	PF13578	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
PKK47230.1	NA	IPR032095	GO:0016491;GO:0055114	G3DSA:3.30.360.10;G3DSA:3.40.50.720;G3DSA:1.10.1870.10	SSF51735;SSF55347	NA	PF16653;PF03435	NA	NA	NA	NA	NA	Reactome: R-HSA-71064	NA	NA	NA	NA
PKK52536.1	mobidb-lite	IPR000591	GO:0035556;GO:0007165	G3DSA:1.10.555.10;G3DSA:1.20.1270.60	SSF48350;SSF46785;SSF103657	PS50186;PS50238;PS51741	PF00610;PF00620;PF00611	SM00324;SM00055	NA	cd04399	NA	NA	Reactome: R-HSA-194840	NA	NA	NA	NA
PKK43711.1	NA	IPR005198	GO:0008496;GO:0016052;GO:0003824	G3DSA:1.50.10.20	SSF48208	NA	PF03663	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF016302	NA
PKK44490.1	mobidb-lite	IPR020846	GO:0055085	G3DSA:1.20.1250.20	SSF103473	PS50850	PF07690	NA	NA	cd17502	NA	NA	NA	NA	NA	NA	NA
PKK47910.1	NA	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	G3DSA:3.50.50.60	SSF51905	NA	PF13450;PF00743	NA	NA	NA	NA	PR00419	NA	NA	NA	PIRSF000332	NA
PKK42932.1	mobidb-lite	IPR011017	NA	G3DSA:2.30.170.20	SSF57716	NA	PF01246	SM00746	NA	cd00472	NA	NA	NA	NA	NA	NA	NA
PKK42313.1	NA	IPR021858	NA	NA	NA	NA	PF11951	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
PKK49596.1	mobidb-lite	IPR024771	GO:0003676	G3DSA:3.30.1370.50	SSF82708	PS51061;PS51673	PF12752;PF01424	NA	Coil	cd02642	NA	NA	NA	NA	NA	NA	NA
PKK41991.1	mobidb-lite	IPR038630	NA	G3DSA:2.30.170.20;G3DSA:3.30.160.440	SSF57716	NA	PF01246	NA	Coil	cd00472	PS01073	NA	NA	NA	NA	NA	NA
PKK50132.1	NA	IPR015421	GO:0003824;GO:0009058;GO:0030170	G3DSA:3.40.640.10	SSF53383	NA	PF00155	NA	NA	cd00609	NA	NA	NA	NA	NA	NA	NA
PKK47817.1	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172;PF04082	SM00906;SM00066	NA	cd00067;cd12148	PS00463	NA	NA	NA	NA	NA	NA
PKK43112.1	NA	IPR003171	GO:0004489;GO:0006555;GO:0055114	G3DSA:3.20.20.220	SSF51730	NA	PF02219	NA	NA	cd00537	NA	NA	KEGG: 00670+1.5.1.20|KEGG: 00720+1.5.1.20|MetaCyc: PWY-2201|MetaCyc: PWY-3841|Reactome: R-HSA-196757	TIGR00677	NA	NA	NA
PKK49866.1	mobidb-lite	IPR006906		NA	NA	NA	PF04821;PF05029	NA	Coil	NA	NA	NA	Reactome: R-HSA-5693607	NA	NA	NA	NA
PKK45087.1	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172;PF11951	SM00066	NA	cd00067	PS00463	NA	NA	NA	NA	NA	NA
PKK45093.1	mobidb-lite	IPR018087	GO:0004553;GO:0005975;GO:0005576;GO:0030248	G3DSA:3.20.20.80	SSF57180;SSF51445	PS51164	PF00734;PF00150	SM00236	NA	NA	PS00659;PS00562	NA	NA	NA	NA	NA	NA
PKK53257.1	NA	IPR005786	GO:0004084;GO:0009081;GO:0003824	G3DSA:3.30.470.10;G3DSA:3.20.10.10	SSF56752	NA	PF01063	NA	NA	cd01557	PS00770	NA	KEGG: 00270+2.6.1.42|KEGG: 00280+2.6.1.42|KEGG: 00290+2.6.1.42|KEGG: 00770+2.6.1.42|KEGG: 00966+2.6.1.42|MetaCyc: PWY-5057|MetaCyc: PWY-5076|MetaCyc: PWY-5078|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5108|MetaCyc: PWY-7767|Reactome: R-HSA-70895	TIGR01123	NA	PIRSF006468	NA
PKK49671.1	NA	IPR021838	NA	NA	NA	NA	PF11913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK47479.1	NA	IPR019334	NA	NA	NA	NA	PF10190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK52117.1	NA	IPR002773	GO:0008612	G3DSA:3.40.910.10	SSF52467	NA	PF01916	NA	NA	NA	NA	NA	Reactome: R-HSA-204626	TIGR00321	NA	NA	NA
PKK45384.1	NA	IPR009161	GO:0003872;GO:0005524;GO:0005737;GO:0006096;GO:0006002	G3DSA:3.40.50.450;G3DSA:3.40.50.460	SSF53784	NA	PF00365	NA	NA	NA	PS00433	PR00476	KEGG: 00010+2.7.1.11|KEGG: 00030+2.7.1.11|KEGG: 00051+2.7.1.11|KEGG: 00052+2.7.1.11|KEGG: 00680+2.7.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1861|MetaCyc: PWY-5484|MetaCyc: PWY-7385|Reactome: R-HSA-70171	TIGR02478	MF_03184	PIRSF000533	NA
PKK48835.1	NA	IPR001547	GO:0004553;GO:0005975	G3DSA:3.20.20.80	SSF51445	NA	PF00150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK42206.1	mobidb-lite	IPR000905	GO:0002949;GO:0004222	G3DSA:3.30.420.40	SSF53067	NA	PF00814	NA	NA	NA	PS01016	NA	Reactome: R-HSA-6782315	NA	MF_01445	NA	NA
PKK53363.1	mobidb-lite	IPR032704	NA	G3DSA:3.40.50.300	SSF52540	NA	PF14617	NA	Coil	cd17957	NA	NA	NA	NA	NA	NA	NA
PKK55186.1	NA	IPR036291	GO:0055114;GO:0016491	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF51735;SSF50129	NA	PF00107;PF08240	SM00829	NA	cd05276	NA	NA	Reactome: R-HSA-6803205	TIGR02824	NA	NA	NA
PKK52167.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49371.1	mobidb-lite	IPR013087	GO:0003676	G3DSA:3.30.160.60	NA	PS50157	PF12874	SM00355	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50523.1	NA	IPR023395	GO:0005347;GO:0055085	G3DSA:1.50.40.10	SSF103506	PS50920	PF00153	NA	NA	NA	NA	PR00926	NA	NA	NA	NA	NA
PKK48744.1	mobidb-lite	IPR005024	GO:0007034	G3DSA:1.10.287.1060	NA	NA	PF03357	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PKK48477.1	NA	IPR017932	GO:0097367;GO:1901135	G3DSA:3.40.50.10490	SSF56235;SSF53697	PS51278;PS51464	PF01380;PF13522	NA	NA	cd00714;cd05009;cd05008	NA	NA	KEGG: 00250+2.6.1.16|KEGG: 00520+2.6.1.16|MetaCyc: PWY-6749|MetaCyc: PWY-8013|Reactome: R-HSA-446210	NA	NA	NA	NA
PKK42501.1	NA	IPR017276	GO:0005507;GO:0005743;GO:0006825;GO:0006878;GO:0008535	G3DSA:3.40.30.10	SSF52833	NA	PF02630	NA	NA	cd02968	NA	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	PIRSF037736	NA
PKK42600.1	mobidb-lite	IPR021840	NA	NA	NA	NA	PF11915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK49924.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK40785.1	NA	IPR012621	GO:0005742;GO:0030150	NA	NA	NA	PF08038	NA	NA	NA	NA	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-5205685	NA	NA	NA	NA
PKK54162.1	NA	IPR016181	GO:0008080	G3DSA:3.40.630.30	SSF55729	NA	PF13302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53461.1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	SSF57701	PS50048	PF00172	SM00066	NA	cd12148;cd00067	PS00463	NA	NA	NA	NA	NA	NA
PKK46671.1	NA	IPR000073	GO:0003824;GO:0018786	G3DSA:3.40.50.1820	SSF53474	NA	PF00561	NA	NA	NA	NA	PR00412;PR00111	KEGG: 00361+3.8.1.5|KEGG: 00625+3.8.1.5	NA	MF_01231	NA	NA
PKK54848.1	NA	IPR008030		G3DSA:3.40.50.720;G3DSA:3.90.25.10	SSF51735	NA	PF05368	NA	NA	cd05259	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
PKK49911.1	NA	IPR001214	GO:0005515	G3DSA:2.170.270.10	SSF82199	NA	PF00856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK50794.1	NA	IPR003656	GO:0003677;GO:0003676	G3DSA:3.30.160.60	SSF57667	PS50808;PS50157	PF00096	SM00355	NA	NA	PS00028	NA	NA	NA	NA	NA	NA
PKK49502.1	NA	IPR013087	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	G3DSA:3.30.160.60	SSF57667	PS50157	PF04082;PF00096	SM00355	NA	cd12148	PS00028	NA	NA	NA	NA	NA	NA
